transcript_id	transcript_id_ens	Type_annotation
AhpC.6.selenocysteine	cds-CAL6428832.1	Downstream
AhpC.6.selenocysteine	cds-CAL6428859.1	Stop codon
EhSEP2.1.selenocysteine	cds-CAL6332851.1	Downstream
FrnE.1.selenocysteine	cds-CAL6420810.1	Downstream
FrnE.2.selenocysteine	cds-CAL6416435.1	Downstream
GPX.1.selenocysteine	cds-CAL6305770.1	Skipped
GPX.2.selenocysteine	cds-CAL6403940.1	Skipped
GPX.3.selenocysteine	cds-CAL6277917.1	Skipped
GPX.4.selenocysteine	cds-CAL6427625.1	Skipped
MSP.1.selenocysteine	cds-CAL6333127.1	Downstream
MsrA.2.selenocysteine	cds-CAL6275851.1	Out of frame
MsrA.2.selenocysteine	cds-CAL6275896.1	Downstream
MsrA.3.selenocysteine	cds-CAL6413915.1	Downstream
Ostsp1.1.selenocysteine	cds-CAL6399682.1	Stop codon
Ostsp3.2.selenocysteine	cds-CAL6345171.1	Downstream
Ostsp3.2.selenocysteine	cds-CAL6345195.1	Stop codon
SELENOF.1.selenocysteine	cds-CAL6280065.1	Downstream
SELENOM.1.selenocysteine	cds-CAL6300925.1	Skipped
SELENOT.5.selenocysteine	cds-CAL6412718.1	Skipped
SELENOU.1.selenocysteine	cds-CAL6312659.1	Stop codon
SELENOU.1.selenocysteine	cds-CAL6312679.1	Downstream
SELENOU.4.selenocysteine	cds-CAL6276579.1	Skipped
SELENOW.1.selenocysteine	cds-CAL6275040.1	Downstream
SELENOW.6.selenocysteine	cds-CAL6314424.1	Downstream
TXNRD.1.selenocysteine	cds-CAL6339455.1	Stop codon
