transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_019375445.1	Well annotated
DIO.3.selenocysteine	cds-XP_019374247.1	Well annotated
DIO.3.selenocysteine	cds-XP_019374248.1	Well annotated
DIO.5.selenocysteine	cds-XP_019356816.1	Well annotated
DIO.5.selenocysteine	cds-XP_019356818.1	Skipped
GPX.4.selenocysteine	cds-XP_019361667.1	Well annotated
GPX.9.selenocysteine	cds-XP_019369083.1	Well annotated
MSRB.1.selenocysteine	cds-XP_019368126.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_019357111.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_019370247.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_019370253.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_019370262.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_019360551.1	Well annotated
SELENOK.2.selenocysteine	cds-XP_019360552.1	Stop codon
SELENON.8.selenocysteine	cds-XP_019367992.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_019364794.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_019356948.1	Well annotated
SELENOS.1.selenocysteine	cds-XP_019359540.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_019358573.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_019357846.1	Well annotated
TXNRD.15.selenocysteine	cds-XP_019370888.1	Stop codon
TXNRD.15.selenocysteine	cds-XP_019370889.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_019362521.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_019360472.1	Stop codon
