transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP01210029287	Downstream
DIO.1.selenocysteine	ENSP01210029288	Well annotated
DIO.3.selenocysteine	ENSP01210016623	Well annotated
DIO.3.selenocysteine	ENSP01210016625	Well annotated
DIO.3.selenocysteine	ENSP01210016627	Upstream
DIO.3.selenocysteine	ENSP01210016628	Out of frame
DIO.3.selenocysteine	ENSP01210016630	Upstream
DIO.3.selenocysteine	ENSP01210016631	Upstream
DIO.3.selenocysteine	ENSP01210016632	Upstream
DIO.4.selenocysteine	ENSP01210081487	Well annotated
DIO.4.selenocysteine	ENSP01210081489	Well annotated
DIO.4.selenocysteine	ENSP01210081490	Well annotated
DIO.4.selenocysteine	ENSP01210081491	Out of frame
DIO.4.selenocysteine	ENSP01210081492	Out of frame
DIO.4.selenocysteine	ENSP01210081494	Upstream
DIO.4.selenocysteine	ENSP01210081495	Out of frame
DIO.4.selenocysteine	ENSP01210081496	Skipped
DIO.4.selenocysteine	ENSP01210081497	Downstream
DIO.4.selenocysteine	ENSP01210081499	Well annotated
DIO.4.selenocysteine	ENSP01210081501	Upstream
DIO.4.selenocysteine	ENSP01210081503	Upstream
GPX.11.selenocysteine	ENSP01210022611	Well annotated
GPX.11.selenocysteine	ENSP01210022612	Well annotated
GPX.11.selenocysteine	ENSP01210022613	Well annotated
GPX.11.selenocysteine	ENSP01210022614	Well annotated
GPX.11.selenocysteine	ENSP01210022615	Well annotated
GPX.11.selenocysteine	ENSP01210022616	Well annotated
GPX.11.selenocysteine	ENSP01210022617	Well annotated
GPX.11.selenocysteine	ENSP01210022618	Downstream
GPX.11.selenocysteine	ENSP01210022619	Well annotated
GPX.11.selenocysteine	ENSP01210022620	Well annotated
GPX.11.selenocysteine	ENSP01210022621	Well annotated
GPX.11.selenocysteine	ENSP01210022622	Downstream
GPX.16.selenocysteine	ENSP01210077497	Well annotated
GPX.16.selenocysteine	ENSP01210077499	Well annotated
GPX.16.selenocysteine	ENSP01210077501	Upstream
GPX.16.selenocysteine	ENSP01210077503	Upstream
GPX.16.selenocysteine	ENSP01210077506	Out of frame
GPX.18.selenocysteine	ENSP01210083953	Well annotated
GPX.18.selenocysteine	ENSP01210083954	Well annotated
GPX.3.selenocysteine	ENSP01210096321	Well annotated
GPX.3.selenocysteine	ENSP01210096322	Well annotated
GPX.3.selenocysteine	ENSP01210096323	Skipped
GPX.3.selenocysteine	ENSP01210096324	Well annotated
GPX.3.selenocysteine	ENSP01210096325	Well annotated
GPX.3.selenocysteine	ENSP01210096326	Well annotated
GPX.3.selenocysteine	ENSP01210096327	Skipped
GPX.3.selenocysteine	ENSP01210096328	Well annotated
GPX.3.selenocysteine	ENSP01210096329	Well annotated
GPX.3.selenocysteine	ENSP01210096330	Well annotated
GPX.3.selenocysteine	ENSP01210096331	Well annotated
GPX.3.selenocysteine	ENSP01210096332	Upstream
GPX.3.selenocysteine	ENSP01210096333	Well annotated
GPX.3.selenocysteine	ENSP01210096334	Well annotated
GPX.5.selenocysteine	ENSP01210071837	Well annotated
GPX.5.selenocysteine	ENSP01210071838	Well annotated
GPX.5.selenocysteine	ENSP01210071839	Skipped
GPX.5.selenocysteine	ENSP01210071840	Well annotated
MSRB.2.selenocysteine	ENSP01210097847	Well annotated
MSRB.2.selenocysteine	ENSP01210097849	Upstream
MSRB.2.selenocysteine	ENSP01210097850	Out of frame
MSRB.2.selenocysteine	ENSP01210097852	Out of frame
SELENOF.3.selenocysteine	ENSP01210103698	Well annotated
SELENOF.3.selenocysteine	ENSP01210103699	Well annotated
SELENOF.3.selenocysteine	ENSP01210103700	Well annotated
SELENOF.3.selenocysteine	ENSP01210103701	Out of frame
SELENOF.3.selenocysteine	ENSP01210103702	Out of frame
SELENOH.2.selenocysteine	ENSP01210098507	Well annotated
SELENOH.2.selenocysteine	ENSP01210098508	Well annotated
SELENOH.2.selenocysteine	ENSP01210098510	Out of frame
SELENOI.3.selenocysteine	ENSP01210018640	Upstream
SELENOI.3.selenocysteine	ENSP01210018642	Well annotated
SELENOI.3.selenocysteine	ENSP01210018644	Upstream
SELENOK.7.selenocysteine	ENSP01210107961	Well annotated
SELENOK.7.selenocysteine	ENSP01210107962	Out of frame
SELENOM.2.selenocysteine	ENSP01210003678	Well annotated
SELENOM.2.selenocysteine	ENSP01210003679	Well annotated
SELENON.4.selenocysteine	ENSP01210061737	Well annotated
SELENON.4.selenocysteine	ENSP01210061744	Well annotated
SELENON.4.selenocysteine	ENSP01210061750	Well annotated
SELENON.4.selenocysteine	ENSP01210061756	Well annotated
SELENOO.7.selenocysteine	ENSP01210002453	Well annotated
SELENOP.3.selenocysteine	ENSP01210088692	Well annotated
SELENOP.3.selenocysteine	ENSP01210088693	Well annotated
SELENOP.3.selenocysteine	ENSP01210088696	Well annotated
