transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP01300004936	Downstream
DIO.1.selenocysteine	ENSP01300004938	Well annotated
DIO.3.selenocysteine	ENSP01300073131	Well annotated
DIO.3.selenocysteine	ENSP01300073133	Well annotated
DIO.3.selenocysteine	ENSP01300073135	Upstream
DIO.3.selenocysteine	ENSP01300073137	Out of frame
DIO.3.selenocysteine	ENSP01300073141	Upstream
DIO.3.selenocysteine	ENSP01300073144	Upstream
DIO.3.selenocysteine	ENSP01300073146	Upstream
DIO.4.selenocysteine	ENSP01300073081	Well annotated
DIO.4.selenocysteine	ENSP01300073086	Well annotated
DIO.4.selenocysteine	ENSP01300073091	Well annotated
DIO.4.selenocysteine	ENSP01300073095	Out of frame
DIO.4.selenocysteine	ENSP01300073097	Out of frame
DIO.4.selenocysteine	ENSP01300073100	Upstream
DIO.4.selenocysteine	ENSP01300073101	Out of frame
DIO.4.selenocysteine	ENSP01300073102	Skipped
DIO.4.selenocysteine	ENSP01300073105	Downstream
DIO.4.selenocysteine	ENSP01300073109	Well annotated
DIO.4.selenocysteine	ENSP01300073112	Upstream
DIO.4.selenocysteine	ENSP01300073116	Upstream
GPX.12.selenocysteine	ENSP01300088419	Well annotated
GPX.12.selenocysteine	ENSP01300088420	Well annotated
GPX.12.selenocysteine	ENSP01300088421	Upstream
GPX.12.selenocysteine	ENSP01300088422	Upstream
GPX.12.selenocysteine	ENSP01300088423	Out of frame
GPX.20.selenocysteine	ENSP01300018151	Well annotated
GPX.20.selenocysteine	ENSP01300018153	Well annotated
GPX.25.selenocysteine	ENSP01300030290	Well annotated
GPX.25.selenocysteine	ENSP01300030291	Well annotated
GPX.25.selenocysteine	ENSP01300030294	Well annotated
GPX.25.selenocysteine	ENSP01300030295	Well annotated
GPX.25.selenocysteine	ENSP01300030296	Well annotated
GPX.25.selenocysteine	ENSP01300030297	Well annotated
GPX.25.selenocysteine	ENSP01300030298	Well annotated
GPX.25.selenocysteine	ENSP01300030299	Downstream
GPX.25.selenocysteine	ENSP01300030300	Well annotated
GPX.25.selenocysteine	ENSP01300030301	Well annotated
GPX.25.selenocysteine	ENSP01300030302	Well annotated
GPX.25.selenocysteine	ENSP01300030303	Downstream
GPX.3.selenocysteine	ENSP01300091641	Well annotated
GPX.3.selenocysteine	ENSP01300091642	Well annotated
GPX.3.selenocysteine	ENSP01300091644	Skipped
GPX.3.selenocysteine	ENSP01300091645	Well annotated
GPX.3.selenocysteine	ENSP01300091647	Well annotated
GPX.3.selenocysteine	ENSP01300091649	Well annotated
GPX.3.selenocysteine	ENSP01300091651	Skipped
GPX.3.selenocysteine	ENSP01300091653	Well annotated
GPX.3.selenocysteine	ENSP01300091655	Well annotated
GPX.3.selenocysteine	ENSP01300091656	Well annotated
GPX.3.selenocysteine	ENSP01300091658	Well annotated
GPX.3.selenocysteine	ENSP01300091660	Upstream
GPX.3.selenocysteine	ENSP01300091662	Well annotated
GPX.3.selenocysteine	ENSP01300091663	Well annotated
GPX.5.selenocysteine	ENSP01300059771	Well annotated
GPX.5.selenocysteine	ENSP01300059772	Well annotated
GPX.5.selenocysteine	ENSP01300059773	Skipped
GPX.5.selenocysteine	ENSP01300059774	Well annotated
MSRB.2.selenocysteine	ENSP01300077516	Well annotated
MSRB.2.selenocysteine	ENSP01300077517	Upstream
MSRB.2.selenocysteine	ENSP01300077518	Out of frame
MSRB.2.selenocysteine	ENSP01300077519	Out of frame
SELENOF.3.selenocysteine	ENSP01300059966	Well annotated
SELENOF.3.selenocysteine	ENSP01300059968	Well annotated
SELENOF.3.selenocysteine	ENSP01300059969	Well annotated
SELENOF.3.selenocysteine	ENSP01300059972	Out of frame
SELENOF.3.selenocysteine	ENSP01300059973	Out of frame
SELENOH.2.selenocysteine	ENSP01300046675	Well annotated
SELENOH.2.selenocysteine	ENSP01300046677	Well annotated
SELENOH.2.selenocysteine	ENSP01300046678	Out of frame
SELENOI.3.selenocysteine	ENSP01300036496	Upstream
SELENOI.3.selenocysteine	ENSP01300036499	Well annotated
SELENOI.3.selenocysteine	ENSP01300036500	Upstream
SELENOK.7.selenocysteine	ENSP01300092605	Well annotated
SELENOK.7.selenocysteine	ENSP01300092606	Out of frame
SELENOM.2.selenocysteine	ENSP01300109619	Well annotated
SELENOM.2.selenocysteine	ENSP01300109620	Well annotated
SELENON.4.selenocysteine	ENSP01300064030	Well annotated
SELENON.4.selenocysteine	ENSP01300064031	Well annotated
SELENON.4.selenocysteine	ENSP01300064033	Well annotated
SELENON.4.selenocysteine	ENSP01300064036	Well annotated
SELENOO.7.selenocysteine	ENSP01300004823	Well annotated
SELENOP.3.selenocysteine	ENSP01300069448	Well annotated
SELENOP.3.selenocysteine	ENSP01300069449	Well annotated
SELENOP.3.selenocysteine	ENSP01300069450	Well annotated
SELENOP.3.selenocysteine	ENSP01300069451	Well annotated
SELENOP.3.selenocysteine	ENSP01300069452	Well annotated
SELENOP.3.selenocysteine	ENSP01300069453	Well annotated
SELENOS.2.selenocysteine	ENSP01300097107	Well annotated
SELENOS.2.selenocysteine	ENSP01300097108	Well annotated
SELENOS.2.selenocysteine	ENSP01300097109	Well annotated
SELENOS.2.selenocysteine	ENSP01300097110	Upstream
SELENOT.5.selenocysteine	ENSP01300097437	Downstream
SELENOT.5.selenocysteine	ENSP01300097438	Downstream
SELENOT.5.selenocysteine	ENSP01300097439	Well annotated
SELENOT.5.selenocysteine	ENSP01300097440	Upstream
SELENOT.5.selenocysteine	ENSP01300097441	Downstream
SELENOW.3.selenocysteine	ENSP01300008899	Well annotated
SELENOW.4.selenocysteine	ENSP01300007036	Well annotated
SELENOW.4.selenocysteine	ENSP01300007037	Well annotated
SELENOW.4.selenocysteine	ENSP01300007038	Well annotated
SELENOW.4.selenocysteine	ENSP01300007039	Well annotated
SEPHS2.1.selenocysteine	ENSP01300066074	Well annotated
TXNRD.10.selenocysteine	ENSP01300065393	Well annotated
TXNRD.10.selenocysteine	ENSP01300065394	Upstream
TXNRD.10.selenocysteine	ENSP01300065395	Well annotated
TXNRD.10.selenocysteine	ENSP01300065396	Well annotated
TXNRD.10.selenocysteine	ENSP01300065397	Upstream
TXNRD.10.selenocysteine	ENSP01300065398	Well annotated
TXNRD.10.selenocysteine	ENSP01300065399	Upstream
TXNRD.10.selenocysteine	ENSP01300065400	Well annotated
TXNRD.10.selenocysteine	ENSP01300065401	Upstream
TXNRD.10.selenocysteine	ENSP01300065402	Well annotated
TXNRD.10.selenocysteine	ENSP01300065403	Upstream
TXNRD.10.selenocysteine	ENSP01300065404	Upstream
TXNRD.10.selenocysteine	ENSP01300065405	Well annotated
TXNRD.10.selenocysteine	ENSP01300065406	Upstream
TXNRD.10.selenocysteine	ENSP01300065407	Upstream
TXNRD.13.selenocysteine	ENSP01300110321	Well annotated
TXNRD.13.selenocysteine	ENSP01300110322	Well annotated
TXNRD.34.selenocysteine	ENSP01300029051	Well annotated
TXNRD.34.selenocysteine	ENSP01300029053	Well annotated
TXNRD.34.selenocysteine	ENSP01300029056	Out of frame
TXNRD.34.selenocysteine	ENSP01300029057	Well annotated
TXNRD.34.selenocysteine	ENSP01300029059	Well annotated
TXNRD.34.selenocysteine	ENSP01300029061	Well annotated
TXNRD.34.selenocysteine	ENSP01300029062	Well annotated
TXNRD.34.selenocysteine	ENSP01300029063	Well annotated
TXNRD.34.selenocysteine	ENSP01300029064	Well annotated
TXNRD.34.selenocysteine	ENSP01300029065	Well annotated
TXNRD.34.selenocysteine	ENSP01300029066	Upstream
TXNRD.34.selenocysteine	ENSP01300029068	Upstream
