transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_039740168.1	Stop codon
DIO.3.selenocysteine	cds-XP_039739884.1	Well annotated
DIO.3.selenocysteine	cds-XP_039739885.1	Well annotated
DIO.4.selenocysteine	cds-XP_039742699.1	Well annotated
DIO.4.selenocysteine	cds-XP_039742708.1	Well annotated
DIO.4.selenocysteine	cds-XP_039742717.1	Well annotated
DIO.4.selenocysteine	cds-XP_039742731.1	Upstream
GPX.15.selenocysteine	cds-XP_039692565.1	Well annotated
GPX.2.selenocysteine	cds-XP_039693695.1	Well annotated
GPX.4.selenocysteine	cds-XP_039731175.1	Well annotated
GPX.7.selenocysteine	cds-XP_039694994.1	Well annotated
GPX.7.selenocysteine	cds-XP_039694995.1	Well annotated
MSRB.1.selenocysteine	cds-XP_039740861.1	Well annotated
MSRB.1.selenocysteine	cds-XP_039740862.1	Upstream
SELENOF.3.selenocysteine	cds-XP_039694681.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_039716289.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_039743557.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_039743558.1	Stop codon
SELENOK.6.selenocysteine	cds-XP_039723378.1	Well annotated
SELENOK.6.selenocysteine	cds-XP_039723379.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_039717700.1	Well annotated
SELENON.12.selenocysteine	cds-XP_039710052.1	Well annotated
SELENOO.8.selenocysteine	cds-XP_039719029.1	Well annotated
SELENOO.8.selenocysteine	cds-XP_039719031.1	Upstream
SELENOP.3.selenocysteine	cds-XP_039698489.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_039698490.1	Well annotated
SELENOS.5.selenocysteine	cds-XP_039700059.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_039711045.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_039708131.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_039710122.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_039710130.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_039710138.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_039710148.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_039740449.1	Well annotated
TXNRD.2.selenocysteine	cds-XP_039733843.1	Stop codon
TXNRD.2.selenocysteine	cds-XP_039733844.1	Stop codon
TXNRD.2.selenocysteine	cds-XP_039733846.1	Stop codon
TXNRD.2.selenocysteine	cds-XP_039733847.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_039699531.1	Stop codon
TXNRD.30.selenocysteine	cds-XP_039728807.1	Upstream
TXNRD.30.selenocysteine	cds-XP_039728808.1	Upstream
TXNRD.30.selenocysteine	cds-XP_039728809.1	Upstream
TXNRD.30.selenocysteine	cds-XP_039728810.1	Stop codon
TXNRD.30.selenocysteine	cds-XP_039728811.1	Stop codon
TXNRD.30.selenocysteine	cds-XP_039728812.1	Stop codon
