transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP04120020367	Downstream
DIO.1.selenocysteine	ENSP04120020368	Well annotated
DIO.3.selenocysteine	ENSP04120034555	Well annotated
DIO.3.selenocysteine	ENSP04120034556	Well annotated
DIO.3.selenocysteine	ENSP04120034558	Upstream
DIO.3.selenocysteine	ENSP04120034559	Out of frame
DIO.3.selenocysteine	ENSP04120034561	Upstream
DIO.3.selenocysteine	ENSP04120034562	Upstream
DIO.3.selenocysteine	ENSP04120034563	Upstream
DIO.4.selenocysteine	ENSP04120052997	Well annotated
DIO.4.selenocysteine	ENSP04120052998	Well annotated
DIO.4.selenocysteine	ENSP04120053000	Well annotated
DIO.4.selenocysteine	ENSP04120053002	Out of frame
DIO.4.selenocysteine	ENSP04120053003	Out of frame
DIO.4.selenocysteine	ENSP04120053004	Upstream
DIO.4.selenocysteine	ENSP04120053006	Out of frame
DIO.4.selenocysteine	ENSP04120053008	Skipped
DIO.4.selenocysteine	ENSP04120053009	Downstream
DIO.4.selenocysteine	ENSP04120053010	Well annotated
DIO.4.selenocysteine	ENSP04120053011	Upstream
DIO.4.selenocysteine	ENSP04120053012	Upstream
GPX.11.selenocysteine	ENSP04120002656	Well annotated
GPX.11.selenocysteine	ENSP04120002657	Well annotated
GPX.11.selenocysteine	ENSP04120002660	Well annotated
GPX.11.selenocysteine	ENSP04120002661	Well annotated
GPX.11.selenocysteine	ENSP04120002662	Well annotated
GPX.11.selenocysteine	ENSP04120002664	Well annotated
GPX.11.selenocysteine	ENSP04120002665	Well annotated
GPX.11.selenocysteine	ENSP04120002666	Downstream
GPX.11.selenocysteine	ENSP04120002667	Well annotated
GPX.11.selenocysteine	ENSP04120002668	Well annotated
GPX.11.selenocysteine	ENSP04120002669	Well annotated
GPX.11.selenocysteine	ENSP04120002671	Downstream
GPX.16.selenocysteine	ENSP04120037860	Well annotated
GPX.16.selenocysteine	ENSP04120037862	Well annotated
GPX.16.selenocysteine	ENSP04120037865	Upstream
GPX.16.selenocysteine	ENSP04120037867	Upstream
GPX.16.selenocysteine	ENSP04120037870	Out of frame
GPX.18.selenocysteine	ENSP04120069071	Well annotated
GPX.18.selenocysteine	ENSP04120069072	Well annotated
GPX.3.selenocysteine	ENSP04120085436	Well annotated
GPX.3.selenocysteine	ENSP04120085437	Well annotated
GPX.3.selenocysteine	ENSP04120085438	Skipped
GPX.3.selenocysteine	ENSP04120085439	Well annotated
GPX.3.selenocysteine	ENSP04120085440	Well annotated
GPX.3.selenocysteine	ENSP04120085441	Well annotated
GPX.3.selenocysteine	ENSP04120085442	Skipped
GPX.3.selenocysteine	ENSP04120085443	Well annotated
GPX.3.selenocysteine	ENSP04120085444	Well annotated
GPX.3.selenocysteine	ENSP04120085445	Well annotated
GPX.3.selenocysteine	ENSP04120085446	Well annotated
GPX.3.selenocysteine	ENSP04120085447	Upstream
GPX.3.selenocysteine	ENSP04120085448	Well annotated
GPX.3.selenocysteine	ENSP04120085449	Well annotated
GPX.5.selenocysteine	ENSP04120055857	Well annotated
GPX.5.selenocysteine	ENSP04120055858	Well annotated
GPX.5.selenocysteine	ENSP04120055859	Skipped
GPX.5.selenocysteine	ENSP04120055860	Well annotated
MSRB.2.selenocysteine	ENSP04120049000	Well annotated
MSRB.2.selenocysteine	ENSP04120049001	Upstream
MSRB.2.selenocysteine	ENSP04120049002	Out of frame
MSRB.2.selenocysteine	ENSP04120049003	Out of frame
SELENOF.3.selenocysteine	ENSP04120093615	Well annotated
SELENOF.3.selenocysteine	ENSP04120093616	Well annotated
SELENOF.3.selenocysteine	ENSP04120093617	Well annotated
SELENOF.3.selenocysteine	ENSP04120093618	Out of frame
SELENOF.3.selenocysteine	ENSP04120093619	Out of frame
SELENOH.2.selenocysteine	ENSP04120065251	Well annotated
SELENOH.2.selenocysteine	ENSP04120065252	Well annotated
SELENOH.2.selenocysteine	ENSP04120065253	Out of frame
SELENOI.3.selenocysteine	ENSP04120091871	Upstream
SELENOI.3.selenocysteine	ENSP04120091874	Well annotated
SELENOI.3.selenocysteine	ENSP04120091875	Upstream
SELENOK.7.selenocysteine	ENSP04120097908	Well annotated
SELENOK.7.selenocysteine	ENSP04120097909	Out of frame
SELENOM.2.selenocysteine	ENSP04120003153	Well annotated
SELENOM.2.selenocysteine	ENSP04120003154	Well annotated
SELENON.4.selenocysteine	ENSP04120096262	Well annotated
SELENON.4.selenocysteine	ENSP04120096263	Well annotated
SELENON.4.selenocysteine	ENSP04120096264	Well annotated
SELENON.4.selenocysteine	ENSP04120096265	Well annotated
SELENOO.7.selenocysteine	ENSP04120014123	Well annotated
SELENOP.3.selenocysteine	ENSP04120104605	Well annotated
SELENOP.3.selenocysteine	ENSP04120104609	Well annotated
SELENOP.3.selenocysteine	ENSP04120104610	Well annotated
SELENOP.3.selenocysteine	ENSP04120104611	Well annotated
SELENOP.3.selenocysteine	ENSP04120104612	Well annotated
SELENOP.3.selenocysteine	ENSP04120104613	Well annotated
SELENOS.2.selenocysteine	ENSP04120051822	Well annotated
SELENOS.2.selenocysteine	ENSP04120051824	Well annotated
SELENOS.2.selenocysteine	ENSP04120051826	Well annotated
SELENOS.2.selenocysteine	ENSP04120051827	Upstream
SELENOT.5.selenocysteine	ENSP04120051912	Downstream
SELENOT.5.selenocysteine	ENSP04120051914	Downstream
SELENOT.5.selenocysteine	ENSP04120051915	Well annotated
SELENOT.5.selenocysteine	ENSP04120051916	Upstream
SELENOT.5.selenocysteine	ENSP04120051917	Downstream
SELENOW.3.selenocysteine	ENSP04120022142	Well annotated
SELENOW.4.selenocysteine	ENSP04120049433	Well annotated
SELENOW.4.selenocysteine	ENSP04120049434	Well annotated
SELENOW.4.selenocysteine	ENSP04120049435	Well annotated
SELENOW.4.selenocysteine	ENSP04120049436	Well annotated
SEPHS2.1.selenocysteine	ENSP04120108750	Well annotated
TXNRD.10.selenocysteine	ENSP04120089265	Well annotated
TXNRD.10.selenocysteine	ENSP04120089266	Upstream
TXNRD.10.selenocysteine	ENSP04120089267	Well annotated
TXNRD.10.selenocysteine	ENSP04120089268	Well annotated
TXNRD.10.selenocysteine	ENSP04120089269	Upstream
TXNRD.10.selenocysteine	ENSP04120089270	Well annotated
TXNRD.10.selenocysteine	ENSP04120089271	Upstream
TXNRD.10.selenocysteine	ENSP04120089272	Well annotated
TXNRD.10.selenocysteine	ENSP04120089273	Upstream
TXNRD.10.selenocysteine	ENSP04120089274	Well annotated
TXNRD.10.selenocysteine	ENSP04120089275	Upstream
TXNRD.10.selenocysteine	ENSP04120089276	Upstream
TXNRD.10.selenocysteine	ENSP04120089277	Well annotated
TXNRD.10.selenocysteine	ENSP04120089278	Upstream
TXNRD.10.selenocysteine	ENSP04120089279	Upstream
TXNRD.13.selenocysteine	ENSP04120094423	Well annotated
TXNRD.13.selenocysteine	ENSP04120094424	Well annotated
TXNRD.34.selenocysteine	ENSP04120004161	Well annotated
TXNRD.34.selenocysteine	ENSP04120004162	Well annotated
TXNRD.34.selenocysteine	ENSP04120004163	Out of frame
TXNRD.34.selenocysteine	ENSP04120004164	Well annotated
TXNRD.34.selenocysteine	ENSP04120004165	Well annotated
TXNRD.34.selenocysteine	ENSP04120004166	Well annotated
TXNRD.34.selenocysteine	ENSP04120004167	Well annotated
TXNRD.34.selenocysteine	ENSP04120004168	Well annotated
TXNRD.34.selenocysteine	ENSP04120004169	Well annotated
TXNRD.34.selenocysteine	ENSP04120004170	Well annotated
TXNRD.34.selenocysteine	ENSP04120004171	Upstream
TXNRD.34.selenocysteine	ENSP04120004172	Upstream
