transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_076834415.1	Well annotated
DIO.3.selenocysteine	cds-XP_076835010.1	Well annotated
DIO.4.selenocysteine	cds-XP_076874059.1	Well annotated
DIO.7.selenocysteine	cds-XP_076860489.1	Well annotated
GPX.15.selenocysteine	cds-XP_076862274.1	Well annotated
GPX.16.selenocysteine	cds-XP_076847406.1	Well annotated
GPX.2.selenocysteine	cds-XP_076870487.1	Well annotated
GPX.20.selenocysteine	cds-XP_076854596.1	Downstream
GPX.22.selenocysteine	cds-XP_076880340.1	Well annotated
GPX.22.selenocysteine	cds-XP_076880341.1	Well annotated
GPX.4.selenocysteine	cds-XP_076860901.1	Well annotated
GPX.6.selenocysteine	cds-XP_076834394.1	Well annotated
MSRB.5.selenocysteine	cds-XP_076856413.1	Well annotated
MSRB.7.selenocysteine	cds-XP_076853643.1	Well annotated
MSRB.7.selenocysteine	cds-XP_076853644.1	Out of frame
SELENOE.3.selenocysteine	cds-XP_076845957.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_076832006.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_076878524.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_076878525.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_076878526.1	Well annotated
SELENOI.5.selenocysteine	cds-XP_076840228.1	Well annotated
SELENOJ.3.selenocysteine	cds-XP_076837854.1	Well annotated
SELENOK.3.selenocysteine	cds-XP_076859163.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_076843322.1	Well annotated
SELENON.3.selenocysteine	cds-XP_076850699.1	Well annotated
SELENOO.8.selenocysteine	cds-XP_076841351.1	Well annotated
SELENOO.8.selenocysteine	cds-XP_076841356.1	Out of frame
SELENOP.2.selenocysteine	cds-XP_076859417.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_076859418.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_076837597.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_076837598.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_076837599.1	Well annotated
SELENOS.1.selenocysteine	cds-XP_076879107.1	Stop codon
SELENOT.10.selenocysteine	cds-XP_076828810.1	Well annotated
SELENOT.2.selenocysteine	cds-XP_076850489.1	Well annotated
SELENOT.5.selenocysteine	cds-XP_076878595.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_076830122.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_076830123.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_076830124.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_076830125.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_076830126.1	Well annotated
SELENOU.8.selenocysteine	cds-XP_076856675.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_076853128.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_076867284.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_076867285.1	Well annotated
SEPHS2.5.selenocysteine	cds-XP_076840835.1	Well annotated
TXNRD.13.selenocysteine	cds-XP_076854024.1	Stop codon
TXNRD.5.selenocysteine	cds-XP_076870244.1	Stop codon
