transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-NXW76443.1	Downstream
DIO.3.selenocysteine	cds-NXW79278.1	Downstream
DIO.4.selenocysteine	cds-NXW76597.1	Stop codon
GPX.1.selenocysteine	cds-NXW69927.1	Downstream
GPX.3.selenocysteine	cds-NXW77345.1	Downstream
GPX.5.selenocysteine	cds-NXW78508.1	Skipped
GPX.6.selenocysteine	cds-HIRRUS_R14925	Well annotated
MSRB.1.selenocysteine	cds-NXW73700.1	Stop codon
SELENOF.3.selenocysteine	cds-NXW71050.1	Downstream
SELENOI.1.selenocysteine	cds-HIRRUS_R13183	Out of frame
SELENOK.2.selenocysteine	cds-NXW67680.1	Stop codon
SELENOM.3.selenocysteine	cds-NXW70990.1	Downstream
SELENON.1.selenocysteine	cds-NXW72988.1	Skipped
SELENOO.1.selenocysteine	cds-NXW77035.1	Stop codon
SELENOP.1.selenocysteine	cds-NXW80487.1	Downstream
SELENOP.3.selenocysteine	cds-NXW78267.1	Downstream
SELENOS.4.selenocysteine	cds-NXW81365.1	Stop codon
SELENOT.2.selenocysteine	cds-NXW70081.1	Downstream
SELENOU.6.selenocysteine	cds-NXW69993.1	Downstream
SELENOU.6.selenocysteine	cds-NXW69997.1	Stop codon
TXNRD.10.selenocysteine	cds-NXW68281.1	Stop codon
TXNRD.18.selenocysteine	cds-NXW81023.1	Upstream
TXNRD.34.selenocysteine	cds-NXW70949.1	Stop codon
