transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KFZ65199.1	Stop codon
DIO.1.selenocysteine	cds-KFZ65200.1	Downstream
DIO.2.selenocysteine	cds-KFZ50553.1	Downstream
GPX.3.selenocysteine	cds-KFZ47003.1	Downstream
MSRB.1.selenocysteine	cds-KFZ65727.1	Stop codon
SELENOF.3.selenocysteine	cds-KFZ52747.1	Upstream
SELENOF.3.selenocysteine	cds-KFZ52748.1	Downstream
SELENOK.2.selenocysteine	cds-KFZ47330.1	Stop codon
SELENON.13.selenocysteine	cds-KFZ47699.1	Skipped
SELENOO.2.selenocysteine	cds-KFZ62422.1	Stop codon
SELENOP.1.selenocysteine	cds-KFZ56847.1	Downstream
SELENOS.3.selenocysteine	cds-KFZ60523.1	Stop codon
SELENOT.2.selenocysteine	cds-KFZ54207.1	Downstream
SELENOU.6.selenocysteine	cds-KFZ61274.1	Stop codon
TXNRD.16.selenocysteine	cds-KFZ56502.1	Upstream
TXNRD.29.selenocysteine	cds-KFZ57224.1	Stop codon
TXNRD.8.selenocysteine	cds-KFZ65610.1	Upstream
