transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAI0222433.1	Stop codon
DIO.1.selenocysteine	cds-KAI0222434.1	Downstream
DIO.2.selenocysteine	cds-KAI0222431.1	Downstream
DIO.2.selenocysteine	cds-KAI0222432.1	Stop codon
GPX.2.selenocysteine	cds-KAI0227424.1	Skipped
GPX.4.selenocysteine	cds-KAI0221898.1	Skipped
SELENOF.2.selenocysteine	cds-KAI0227151.1	Skipped
SELENOL.1.selenocysteine	cds-KAI0231607.1	Skipped
SELENOM.2.selenocysteine	cds-KAI0221801.1	Stop codon
SELENOM.2.selenocysteine	cds-KAI0221802.1	Downstream
SELENON.3.selenocysteine	cds-KAI0227894.1	Skipped
SELENOT.7.selenocysteine	cds-KAI0222487.1	Downstream
SELENOU.2.selenocysteine	cds-KAI0224204.1	Skipped
SEPHS2.5.selenocysteine	cds-KAI0240379.1	Downstream
SEPHS2.7.selenocysteine	cds-KAI0240378.1	Downstream
TXNRD.23.selenocysteine	cds-KAI0231160.1	Stop codon
