transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAK2505084.1	Skipped
DIO.3.selenocysteine	cds-KAK2507489.1	Skipped
DIO.5.selenocysteine	cds-KAK2506118.1	Skipped
GPX.10.selenocysteine	cds-KAK2492737.1	Stop codon
GPX.10.selenocysteine	cds-KAK2492738.1	Downstream
GPX.15.selenocysteine	cds-KAK2499935.1	Downstream
GPX.2.selenocysteine	cds-KAK2488799.1	Stop codon
GPX.2.selenocysteine	cds-KAK2488800.1	Downstream
GPX.3.selenocysteine	cds-KAK2496422.1	Skipped
MSRB.1.selenocysteine	cds-KAK2496109.1	Stop codon
SELENOH.2.selenocysteine	cds-KAK2507130.1	Skipped
SELENOI.3.selenocysteine	cds-KAK2506087.1	Out of frame
SELENOK.1.selenocysteine	cds-KAK2507881.1	Stop codon
SELENOM.2.selenocysteine	cds-KAK2509758.1	Upstream
SELENOM.2.selenocysteine	cds-KAK2509759.1	Downstream
SELENOO.3.selenocysteine	cds-KAK2500309.1	Out of frame
SELENOS.3.selenocysteine	cds-KAK2501885.1	Out of frame
SELENOT.3.selenocysteine	cds-KAK2489173.1	Skipped
SELENOW.2.selenocysteine	cds-KAK2505624.1	Downstream
SEPHS2.1.selenocysteine	cds-KAK2488805.1	Skipped
TXNRD.22.selenocysteine	cds-KAK2505124.1	Upstream
TXNRD.3.selenocysteine	cds-KAK2501799.1	Stop codon
TXNRD.34.selenocysteine	cds-KAK2498199.1	Out of frame
