transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSRXVP00000003944	Downstream
DIO.3.selenocysteine	ENSRXVP00000004107	Out of frame
DIO.5.selenocysteine	ENSRXVP00000002847	Upstream
DIO.5.selenocysteine	ENSRXVP00000002854	Stop codon
DIO.5.selenocysteine	ENSRXVP00000002860	Skipped
DIO.5.selenocysteine	ENSRXVP00000002865	Skipped
GPX.12.selenocysteine	ENSRXVP00000002883	Downstream
GPX.2.selenocysteine	ENSRXVP00000022610	Downstream
GPX.2.selenocysteine	ENSRXVP00000022618	Downstream
GPX.22.selenocysteine	ENSRXVP00000028390	Skipped
GPX.24.selenocysteine	ENSRXVP00000001852	Skipped
GPX.3.selenocysteine	ENSRXVP00000023521	Skipped
MSRB.6.selenocysteine	ENSRXVP00000014627	Stop codon
SELENOF.3.selenocysteine	ENSRXVP00000010778	Stop codon
SELENOF.3.selenocysteine	ENSRXVP00000010781	Skipped
SELENOH.2.selenocysteine	ENSRXVP00000013440	Skipped
SELENOI.10.selenocysteine	ENSRXVP00000008854	Stop codon
SELENOK.1.selenocysteine	ENSRXVP00000017209	Stop codon
SELENOM.2.selenocysteine	ENSRXVP00000020330	Skipped
SELENON.2.selenocysteine	ENSRXVP00000014480	Skipped
SELENOO.3.selenocysteine	ENSRXVP00000011703	Stop codon
SELENOP.3.selenocysteine	ENSRXVP00000012003	Out of frame
SELENOS.3.selenocysteine	ENSRXVP00000006312	Stop codon
SELENOS.3.selenocysteine	ENSRXVP00000006314	Stop codon
SELENOS.3.selenocysteine	ENSRXVP00000006316	Stop codon
SELENOT.5.selenocysteine	ENSRXVP00000021837	Skipped
SELENOW.3.selenocysteine	ENSRXVP00000026653	Downstream
SEPHS2.1.selenocysteine	ENSRXVP00000025244	Skipped
TXNRD.15.selenocysteine	ENSRXVP00000021705	Upstream
TXNRD.15.selenocysteine	ENSRXVP00000021722	Skipped
TXNRD.15.selenocysteine	ENSRXVP00000021738	Upstream
TXNRD.15.selenocysteine	ENSRXVP00000021771	Stop codon
TXNRD.15.selenocysteine	ENSRXVP00000021785	Stop codon
TXNRD.15.selenocysteine	ENSRXVP00000021791	Stop codon
TXNRD.15.selenocysteine	ENSRXVP00000021796	Stop codon
TXNRD.15.selenocysteine	ENSRXVP00000021802	Stop codon
TXNRD.28.selenocysteine	ENSRXVP00000021956	Stop codon
TXNRD.28.selenocysteine	ENSRXVP00000022640	Upstream
TXNRD.5.selenocysteine	ENSRXVP00000009463	Stop codon
TXNRD.5.selenocysteine	ENSRXVP00000009467	Stop codon
TXNRD.5.selenocysteine	ENSRXVP00000009473	Stop codon
