transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP01560020061	Downstream
DIO.1.selenocysteine	ENSP01560020062	Well annotated
DIO.3.selenocysteine	ENSP01560013375	Well annotated
DIO.3.selenocysteine	ENSP01560013379	Well annotated
DIO.3.selenocysteine	ENSP01560013382	Upstream
DIO.3.selenocysteine	ENSP01560013383	Out of frame
DIO.3.selenocysteine	ENSP01560013387	Upstream
DIO.3.selenocysteine	ENSP01560013389	Upstream
DIO.3.selenocysteine	ENSP01560013390	Upstream
DIO.4.selenocysteine	ENSP01560085081	Well annotated
DIO.4.selenocysteine	ENSP01560085084	Well annotated
DIO.4.selenocysteine	ENSP01560085087	Well annotated
DIO.4.selenocysteine	ENSP01560085089	Out of frame
DIO.4.selenocysteine	ENSP01560085090	Out of frame
DIO.4.selenocysteine	ENSP01560085092	Upstream
DIO.4.selenocysteine	ENSP01560085094	Out of frame
DIO.4.selenocysteine	ENSP01560085096	Skipped
DIO.4.selenocysteine	ENSP01560085097	Downstream
DIO.4.selenocysteine	ENSP01560085100	Well annotated
DIO.4.selenocysteine	ENSP01560085103	Upstream
DIO.4.selenocysteine	ENSP01560085106	Upstream
GPX.11.selenocysteine	ENSP01560028679	Well annotated
GPX.11.selenocysteine	ENSP01560028680	Well annotated
GPX.11.selenocysteine	ENSP01560028682	Well annotated
GPX.11.selenocysteine	ENSP01560028687	Well annotated
GPX.11.selenocysteine	ENSP01560028690	Well annotated
GPX.11.selenocysteine	ENSP01560028692	Well annotated
GPX.11.selenocysteine	ENSP01560028693	Well annotated
GPX.11.selenocysteine	ENSP01560028695	Downstream
GPX.11.selenocysteine	ENSP01560028699	Well annotated
GPX.11.selenocysteine	ENSP01560028704	Well annotated
GPX.11.selenocysteine	ENSP01560028707	Well annotated
GPX.11.selenocysteine	ENSP01560028713	Downstream
GPX.16.selenocysteine	ENSP01560065710	Well annotated
GPX.16.selenocysteine	ENSP01560065712	Well annotated
GPX.16.selenocysteine	ENSP01560065713	Upstream
GPX.16.selenocysteine	ENSP01560065714	Upstream
GPX.16.selenocysteine	ENSP01560065716	Out of frame
GPX.18.selenocysteine	ENSP01560001468	Well annotated
GPX.18.selenocysteine	ENSP01560001469	Well annotated
GPX.3.selenocysteine	ENSP01560110299	Well annotated
GPX.3.selenocysteine	ENSP01560110300	Well annotated
GPX.3.selenocysteine	ENSP01560110301	Skipped
GPX.3.selenocysteine	ENSP01560110302	Well annotated
GPX.3.selenocysteine	ENSP01560110303	Well annotated
GPX.3.selenocysteine	ENSP01560110304	Well annotated
GPX.3.selenocysteine	ENSP01560110305	Skipped
GPX.3.selenocysteine	ENSP01560110306	Well annotated
GPX.3.selenocysteine	ENSP01560110307	Well annotated
GPX.3.selenocysteine	ENSP01560110308	Well annotated
GPX.3.selenocysteine	ENSP01560110309	Well annotated
GPX.3.selenocysteine	ENSP01560110310	Upstream
GPX.3.selenocysteine	ENSP01560110311	Well annotated
GPX.3.selenocysteine	ENSP01560110312	Well annotated
GPX.5.selenocysteine	ENSP01560018795	Well annotated
GPX.5.selenocysteine	ENSP01560018796	Well annotated
GPX.5.selenocysteine	ENSP01560018797	Skipped
GPX.5.selenocysteine	ENSP01560018800	Well annotated
MSRB.3.selenocysteine	ENSP01560075635	Well annotated
MSRB.3.selenocysteine	ENSP01560075636	Upstream
MSRB.3.selenocysteine	ENSP01560075637	Out of frame
MSRB.3.selenocysteine	ENSP01560075638	Out of frame
SELENOF.3.selenocysteine	ENSP01560057804	Well annotated
SELENOF.3.selenocysteine	ENSP01560057806	Well annotated
SELENOF.3.selenocysteine	ENSP01560057808	Well annotated
SELENOF.3.selenocysteine	ENSP01560057810	Out of frame
SELENOF.3.selenocysteine	ENSP01560057812	Out of frame
SELENOH.2.selenocysteine	ENSP01560033872	Well annotated
SELENOH.2.selenocysteine	ENSP01560033877	Well annotated
SELENOH.2.selenocysteine	ENSP01560033880	Out of frame
SELENOI.3.selenocysteine	ENSP01560030212	Upstream
SELENOI.3.selenocysteine	ENSP01560030216	Well annotated
SELENOI.3.selenocysteine	ENSP01560030219	Upstream
SELENOK.7.selenocysteine	ENSP01560098365	Well annotated
SELENOK.7.selenocysteine	ENSP01560098366	Out of frame
SELENOM.2.selenocysteine	ENSP01560001332	Well annotated
SELENOM.2.selenocysteine	ENSP01560001333	Well annotated
SELENON.4.selenocysteine	ENSP01560072641	Well annotated
SELENON.4.selenocysteine	ENSP01560072643	Well annotated
SELENON.4.selenocysteine	ENSP01560072645	Well annotated
SELENON.4.selenocysteine	ENSP01560072647	Well annotated
SELENOO.7.selenocysteine	ENSP01560005888	Well annotated
SELENOP.3.selenocysteine	ENSP01560065811	Well annotated
SELENOP.3.selenocysteine	ENSP01560065816	Well annotated
SELENOP.3.selenocysteine	ENSP01560065819	Well annotated
SELENOP.3.selenocysteine	ENSP01560065823	Well annotated
SELENOP.3.selenocysteine	ENSP01560065826	Well annotated
SELENOP.3.selenocysteine	ENSP01560065830	Well annotated
SELENOS.2.selenocysteine	ENSP01560051899	Well annotated
SELENOS.2.selenocysteine	ENSP01560051900	Well annotated
SELENOS.2.selenocysteine	ENSP01560051903	Well annotated
SELENOS.2.selenocysteine	ENSP01560051905	Upstream
SELENOT.5.selenocysteine	ENSP01560071674	Downstream
SELENOT.5.selenocysteine	ENSP01560071675	Downstream
SELENOT.5.selenocysteine	ENSP01560071677	Well annotated
SELENOT.5.selenocysteine	ENSP01560071678	Upstream
SELENOT.5.selenocysteine	ENSP01560071679	Downstream
SELENOW.3.selenocysteine	ENSP01560103078	Well annotated
SELENOW.4.selenocysteine	ENSP01560012477	Well annotated
SELENOW.4.selenocysteine	ENSP01560012479	Well annotated
SELENOW.4.selenocysteine	ENSP01560012481	Well annotated
SELENOW.4.selenocysteine	ENSP01560012483	Well annotated
SEPHS2.1.selenocysteine	ENSP01560079944	Well annotated
TXNRD.10.selenocysteine	ENSP01560054730	Well annotated
TXNRD.10.selenocysteine	ENSP01560054732	Upstream
TXNRD.10.selenocysteine	ENSP01560054734	Well annotated
TXNRD.10.selenocysteine	ENSP01560054736	Well annotated
TXNRD.10.selenocysteine	ENSP01560054738	Upstream
TXNRD.10.selenocysteine	ENSP01560054739	Well annotated
TXNRD.10.selenocysteine	ENSP01560054741	Upstream
TXNRD.10.selenocysteine	ENSP01560054743	Well annotated
TXNRD.10.selenocysteine	ENSP01560054748	Upstream
TXNRD.10.selenocysteine	ENSP01560054753	Well annotated
TXNRD.10.selenocysteine	ENSP01560054755	Upstream
TXNRD.10.selenocysteine	ENSP01560054761	Upstream
TXNRD.10.selenocysteine	ENSP01560054764	Well annotated
TXNRD.10.selenocysteine	ENSP01560054767	Upstream
TXNRD.10.selenocysteine	ENSP01560054771	Upstream
TXNRD.13.selenocysteine	ENSP01560078750	Well annotated
TXNRD.13.selenocysteine	ENSP01560078758	Well annotated
TXNRD.34.selenocysteine	ENSP01560007703	Well annotated
TXNRD.34.selenocysteine	ENSP01560007704	Well annotated
TXNRD.34.selenocysteine	ENSP01560007705	Out of frame
TXNRD.34.selenocysteine	ENSP01560007706	Well annotated
TXNRD.34.selenocysteine	ENSP01560007707	Well annotated
TXNRD.34.selenocysteine	ENSP01560007708	Well annotated
TXNRD.34.selenocysteine	ENSP01560007709	Well annotated
TXNRD.34.selenocysteine	ENSP01560007710	Well annotated
TXNRD.34.selenocysteine	ENSP01560007711	Well annotated
TXNRD.34.selenocysteine	ENSP01560007712	Well annotated
TXNRD.34.selenocysteine	ENSP01560007713	Upstream
TXNRD.34.selenocysteine	ENSP01560007714	Upstream
