transcript_id	transcript_id_ens	Type_annotation
DIO.3.selenocysteine	cds-KFZ68064.1	Downstream
DIO.3.selenocysteine	cds-KFZ68065.1	Stop codon
DIO.8.selenocysteine	cds-KFZ55916.1	Stop codon
SELENOF.3.selenocysteine	cds-KFZ58729.1	Downstream
SELENOK.2.selenocysteine	cds-KFZ56352.1	Stop codon
SELENOP.1.selenocysteine	cds-KFZ63143.1	Downstream
SELENOT.3.selenocysteine	cds-KFZ55093.1	Downstream
SELENOU.5.selenocysteine	cds-KFZ64680.1	Stop codon
TXNRD.20.selenocysteine	cds-KFZ65093.1	Upstream
TXNRD.29.selenocysteine	cds-KFZ56279.1	Stop codon
TXNRD.8.selenocysteine	cds-KFZ49368.1	Stop codon
