transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP02300007442	Downstream
DIO.1.selenocysteine	ENSP02300007446	Well annotated
DIO.3.selenocysteine	ENSP02300031535	Well annotated
DIO.3.selenocysteine	ENSP02300031537	Well annotated
DIO.3.selenocysteine	ENSP02300031540	Upstream
DIO.3.selenocysteine	ENSP02300031542	Out of frame
DIO.3.selenocysteine	ENSP02300031544	Upstream
DIO.3.selenocysteine	ENSP02300031546	Upstream
DIO.3.selenocysteine	ENSP02300031548	Upstream
DIO.4.selenocysteine	ENSP02300071111	Well annotated
DIO.4.selenocysteine	ENSP02300071112	Well annotated
DIO.4.selenocysteine	ENSP02300071114	Well annotated
DIO.4.selenocysteine	ENSP02300071115	Out of frame
DIO.4.selenocysteine	ENSP02300071116	Out of frame
DIO.4.selenocysteine	ENSP02300071117	Upstream
DIO.4.selenocysteine	ENSP02300071118	Out of frame
DIO.4.selenocysteine	ENSP02300071119	Skipped
DIO.4.selenocysteine	ENSP02300071120	Downstream
DIO.4.selenocysteine	ENSP02300071121	Well annotated
DIO.4.selenocysteine	ENSP02300071122	Upstream
DIO.4.selenocysteine	ENSP02300071123	Upstream
GPX.12.selenocysteine	ENSP02300083196	Well annotated
GPX.12.selenocysteine	ENSP02300083197	Well annotated
GPX.12.selenocysteine	ENSP02300083198	Upstream
GPX.12.selenocysteine	ENSP02300083200	Upstream
GPX.12.selenocysteine	ENSP02300083202	Out of frame
GPX.20.selenocysteine	ENSP02300021022	Well annotated
GPX.20.selenocysteine	ENSP02300021023	Well annotated
GPX.25.selenocysteine	ENSP02300025278	Well annotated
GPX.25.selenocysteine	ENSP02300025280	Well annotated
GPX.25.selenocysteine	ENSP02300025282	Well annotated
GPX.25.selenocysteine	ENSP02300025283	Well annotated
GPX.25.selenocysteine	ENSP02300025284	Well annotated
GPX.25.selenocysteine	ENSP02300025285	Well annotated
GPX.25.selenocysteine	ENSP02300025286	Well annotated
GPX.25.selenocysteine	ENSP02300025289	Downstream
GPX.25.selenocysteine	ENSP02300025291	Well annotated
GPX.25.selenocysteine	ENSP02300025293	Well annotated
GPX.25.selenocysteine	ENSP02300025295	Well annotated
GPX.25.selenocysteine	ENSP02300025296	Downstream
GPX.3.selenocysteine	ENSP02300108171	Well annotated
GPX.3.selenocysteine	ENSP02300108172	Well annotated
GPX.3.selenocysteine	ENSP02300108173	Skipped
GPX.3.selenocysteine	ENSP02300108174	Well annotated
GPX.3.selenocysteine	ENSP02300108175	Well annotated
GPX.3.selenocysteine	ENSP02300108176	Well annotated
GPX.3.selenocysteine	ENSP02300108177	Skipped
GPX.3.selenocysteine	ENSP02300108178	Well annotated
GPX.3.selenocysteine	ENSP02300108179	Well annotated
GPX.3.selenocysteine	ENSP02300108180	Well annotated
GPX.3.selenocysteine	ENSP02300108181	Well annotated
GPX.3.selenocysteine	ENSP02300108182	Upstream
GPX.3.selenocysteine	ENSP02300108183	Well annotated
GPX.3.selenocysteine	ENSP02300108184	Well annotated
GPX.5.selenocysteine	ENSP02300096825	Well annotated
GPX.5.selenocysteine	ENSP02300096826	Well annotated
GPX.5.selenocysteine	ENSP02300096827	Skipped
GPX.5.selenocysteine	ENSP02300096828	Well annotated
MSRB.3.selenocysteine	ENSP02300059714	Well annotated
MSRB.3.selenocysteine	ENSP02300059715	Upstream
MSRB.3.selenocysteine	ENSP02300059716	Out of frame
MSRB.3.selenocysteine	ENSP02300059717	Out of frame
SELENOF.3.selenocysteine	ENSP02300090472	Well annotated
SELENOF.3.selenocysteine	ENSP02300090473	Well annotated
SELENOF.3.selenocysteine	ENSP02300090474	Well annotated
SELENOF.3.selenocysteine	ENSP02300090475	Out of frame
SELENOF.3.selenocysteine	ENSP02300090476	Out of frame
SELENOH.2.selenocysteine	ENSP02300039101	Well annotated
SELENOH.2.selenocysteine	ENSP02300039103	Well annotated
SELENOH.2.selenocysteine	ENSP02300039104	Out of frame
