transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_084649799.1	Well annotated
DIO.3.selenocysteine	cds-XP_084648955.1	Well annotated
DIO.3.selenocysteine	cds-XP_084648956.1	Well annotated
DIO.5.selenocysteine	cds-XP_084641727.1	Well annotated
GPX.11.selenocysteine	cds-XP_084651728.1	Well annotated
GPX.11.selenocysteine	cds-XP_084651729.1	Well annotated
GPX.30.selenocysteine	cds-XP_084618538.1	Well annotated
GPX.4.selenocysteine	cds-XP_084608899.1	Well annotated
GPX.9.selenocysteine	cds-XP_084647867.1	Well annotated
MSRB.1.selenocysteine	cds-XP_084617793.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_084612059.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_084612060.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_084653843.1	Well annotated
SELENOI.8.selenocysteine	cds-XP_084648886.1	Well annotated
SELENOK.10.selenocysteine	cds-XP_084651168.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_084653476.1	Well annotated
SELENON.10.selenocysteine	cds-XP_084644427.1	Well annotated
SELENON.10.selenocysteine	cds-XP_084644428.1	Well annotated
SELENOO.3.selenocysteine	cds-XP_084659333.1	Stop codon
SELENOP.3.selenocysteine	cds-XP_084656823.1	Well annotated
SELENOS.2.selenocysteine	cds-XP_084615774.1	Stop codon
SELENOT.7.selenocysteine	cds-XP_084624497.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_084627419.1	Well annotated
SELENOW.5.selenocysteine	cds-XP_084626421.1	Well annotated
SELENOW.5.selenocysteine	cds-XP_084626422.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_084628921.1	Well annotated
TXNRD.16.selenocysteine	cds-XP_084622499.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_084658566.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_084658567.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_084658568.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_084658569.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_084658570.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_084652425.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_084652426.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_084652427.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_084652428.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_084652429.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_084652430.1	Stop codon
