transcript_id	transcript_id_ens	Type_annotation
DIO.13.selenocysteine	ENSCEQP00000005287	Skipped
DIO.13.selenocysteine	ENSCEQP00000005292	Skipped
DIO.13.selenocysteine	ENSCEQP00000005298	Skipped
DIO.13.selenocysteine	ENSCEQP00000005305	Skipped
DIO.2.selenocysteine	ENSCEQP00000008242	Skipped
DIO.4.selenocysteine	ENSCEQP00000015342	Stop codon
DIO.4.selenocysteine	ENSCEQP00000015364	Downstream
GPX.1.selenocysteine	ENSCEQP00000041235	Skipped
GPX.1.selenocysteine	ENSCEQP00000041240	Skipped
GPX.1.selenocysteine	ENSCEQP00000041242	Skipped
GPX.1.selenocysteine	ENSCEQP00000041244	Skipped
GPX.1.selenocysteine	ENSCEQP00000041246	Skipped
GPX.10.selenocysteine	ENSCEQP00000033427	Skipped
GPX.10.selenocysteine	ENSCEQP00000033441	Skipped
GPX.10.selenocysteine	ENSCEQP00000033457	Skipped
GPX.16.selenocysteine	ENSCEQP00000037361	Skipped
GPX.16.selenocysteine	ENSCEQP00000037370	Skipped
GPX.16.selenocysteine	ENSCEQP00000037376	Skipped
GPX.17.selenocysteine	ENSCEQP00000041314	Skipped
GPX.17.selenocysteine	ENSCEQP00000041319	Skipped
GPX.22.selenocysteine	ENSCEQP00000028660	Skipped
GPX.22.selenocysteine	ENSCEQP00000028672	Skipped
GPX.22.selenocysteine	ENSCEQP00000028687	Skipped
GPX.22.selenocysteine	ENSCEQP00000028701	Skipped
GPX.22.selenocysteine	ENSCEQP00000028714	Skipped
GPX.3.selenocysteine	ENSCEQP00000030005	Downstream
GPX.6.selenocysteine	ENSCEQP00000007613	Skipped
GPX.6.selenocysteine	ENSCEQP00000007632	Skipped
GPX.6.selenocysteine	ENSCEQP00000007640	Skipped
GPX.6.selenocysteine	ENSCEQP00000007663	Skipped
GPX.6.selenocysteine	ENSCEQP00000007667	Skipped
GPX.8.selenocysteine	ENSCEQP00000012669	Skipped
GPX.8.selenocysteine	ENSCEQP00000012768	Well annotated
GPX.8.selenocysteine	ENSCEQP00000012786	Skipped
GPX.8.selenocysteine	ENSCEQP00000012793	Skipped
MSRB.1.selenocysteine	ENSCEQP00000015074	Stop codon
MSRB.2.selenocysteine	ENSCEQP00000016076	Stop codon
MSRB.6.selenocysteine	ENSCEQP00000000802	Downstream
MSRB.6.selenocysteine	ENSCEQP00000001159	Stop codon
SELENOF.1.selenocysteine	ENSCEQP00000029661	Skipped
SELENOF.1.selenocysteine	ENSCEQP00000029668	Stop codon
SELENOH.1.selenocysteine	ENSCEQP00000019304	Downstream
SELENOI.8.selenocysteine	ENSCEQP00000031514	Skipped
SELENOI.8.selenocysteine	ENSCEQP00000031520	Skipped
SELENOJ.10.selenocysteine	ENSCEQP00000010069	Skipped
SELENOJ.3.selenocysteine	ENSCEQP00000007447	Skipped
SELENOK.1.selenocysteine	ENSCEQP00000023393	Stop codon
SELENOL.7.selenocysteine	ENSCEQP00000017023	Stop codon
SELENOM.3.selenocysteine	ENSCEQP00000043512	Downstream
SELENOM.3.selenocysteine	ENSCEQP00000043667	Downstream
SELENON.10.selenocysteine	ENSCEQP00000024177	Skipped
SELENOO.1.selenocysteine	ENSCEQP00000039967	Stop codon
SELENOO.10.selenocysteine	ENSCEQP00000021558	Stop codon
SELENOP.5.selenocysteine	ENSCEQP00000005436	Downstream
SELENOS.5.selenocysteine	ENSCEQP00000004873	Stop codon
SELENOT.10.selenocysteine	ENSCEQP00000008072	Upstream
SELENOT.10.selenocysteine	ENSCEQP00000008095	Downstream
SELENOT.10.selenocysteine	ENSCEQP00000008099	Downstream
SELENOT.3.selenocysteine	ENSCEQP00000025375	Skipped
SELENOT.8.selenocysteine	ENSCEQP00000000013	Downstream
SELENOT.8.selenocysteine	ENSCEQP00000000014	Downstream
SELENOT.8.selenocysteine	ENSCEQP00000000015	Downstream
SELENOT.8.selenocysteine	ENSCEQP00000000017	Upstream
SELENOU.4.selenocysteine	ENSCEQP00000010090	Stop codon
SELENOU.4.selenocysteine	ENSCEQP00000010096	Stop codon
SELENOU.4.selenocysteine	ENSCEQP00000010107	Downstream
SELENOU.7.selenocysteine	ENSCEQP00000009350	Skipped
SELENOU.9.selenocysteine	ENSCEQP00000037246	Skipped
SELENOW.3.selenocysteine	ENSCEQP00000024847	Skipped
SEPHS2.3.selenocysteine	ENSCEQP00000003206	Downstream
TXNRD.12.selenocysteine	ENSCEQP00000007600	Stop codon
TXNRD.12.selenocysteine	ENSCEQP00000007608	Stop codon
TXNRD.12.selenocysteine	ENSCEQP00000007614	Stop codon
TXNRD.12.selenocysteine	ENSCEQP00000007647	Stop codon
TXNRD.12.selenocysteine	ENSCEQP00000007665	Stop codon
TXNRD.31.selenocysteine	ENSCEQP00000009498	Upstream
TXNRD.5.selenocysteine	ENSCEQP00000018733	Upstream
TXNRD.5.selenocysteine	ENSCEQP00000018768	Stop codon
