transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSNFUP00030034683	Downstream
DIO.1.selenocysteine	ENSNFUP00030034684	Stop codon
DIO.2.selenocysteine	ENSNFUP00030057216	Downstream
DIO.3.selenocysteine	ENSNFUP00030004937	Stop codon
DIO.3.selenocysteine	ENSNFUP00030004938	Downstream
DIO.5.selenocysteine	ENSNFUP00030038392	Skipped
DIO.5.selenocysteine	ENSNFUP00030038393	Downstream
DIO.5.selenocysteine	ENSNFUP00030038395	Skipped
GPX.1.selenocysteine	ENSNFUP00030019228	Skipped
GPX.10.selenocysteine	ENSNFUP00030020360	Skipped
GPX.12.selenocysteine	ENSNFUP00030043807	Downstream
GPX.4.selenocysteine	ENSNFUP00030058643	Skipped
GPX.4.selenocysteine	ENSNFUP00030058644	Downstream
GPX.5.selenocysteine	ENSNFUP00030015491	Downstream
GPX.5.selenocysteine	ENSNFUP00030015492	Downstream
GPX.5.selenocysteine	ENSNFUP00030015509	Downstream
GPX.8.selenocysteine	ENSNFUP00030032256	Downstream
MSRB.1.selenocysteine	ENSNFUP00030048489	Stop codon
MSRB.5.selenocysteine	ENSNFUP00030061571	Stop codon
MSRB.6.selenocysteine	ENSNFUP00030061550	Stop codon
SELENOE.3.selenocysteine	ENSNFUP00030031563	Downstream
SELENOF.3.selenocysteine	ENSNFUP00030020991	Upstream
SELENOH.1.selenocysteine	ENSNFUP00030036124	Downstream
SELENOI.3.selenocysteine	ENSNFUP00030028419	Stop codon
SELENOJ.13.selenocysteine	ENSNFUP00030038902	Stop codon
SELENOJ.13.selenocysteine	ENSNFUP00030038904	Stop codon
SELENOJ.3.selenocysteine	ENSNFUP00030011503	Skipped
SELENOK.1.selenocysteine	ENSNFUP00030021203	Upstream
SELENOM.2.selenocysteine	ENSNFUP00030058578	Downstream
SELENOM.2.selenocysteine	ENSNFUP00030059970	Downstream
SELENOO.1.selenocysteine	ENSNFUP00030054294	Stop codon
SELENOS.6.selenocysteine	ENSNFUP00030017253	Stop codon
SELENOS.6.selenocysteine	ENSNFUP00030017256	Upstream
SELENOT.2.selenocysteine	ENSNFUP00030024824	Out of frame
SELENOT.2.selenocysteine	ENSNFUP00030024825	Downstream
SELENOT.2.selenocysteine	ENSNFUP00030024826	Downstream
SELENOT.5.selenocysteine	ENSNFUP00030040934	Downstream
SELENOU.5.selenocysteine	ENSNFUP00030057233	Skipped
SELENOU.8.selenocysteine	ENSNFUP00030015281	Skipped
TXNRD.11.selenocysteine	ENSNFUP00030006916	Stop codon
TXNRD.11.selenocysteine	ENSNFUP00030006979	Stop codon
TXNRD.11.selenocysteine	ENSNFUP00030006990	Stop codon
TXNRD.11.selenocysteine	ENSNFUP00030006993	Stop codon
TXNRD.11.selenocysteine	ENSNFUP00030007009	Stop codon
TXNRD.11.selenocysteine	ENSNFUP00030007038	Stop codon
TXNRD.11.selenocysteine	ENSNFUP00030007040	Stop codon
TXNRD.11.selenocysteine	ENSNFUP00030007071	Stop codon
TXNRD.8.selenocysteine	ENSNFUP00030042472	Upstream
TXNRD.8.selenocysteine	ENSNFUP00030042564	Upstream
TXNRD.8.selenocysteine	ENSNFUP00030042652	Upstream
TXNRD.8.selenocysteine	ENSNFUP00030042750	Upstream
TXNRD.8.selenocysteine	ENSNFUP00030042752	Upstream
TXNRD.8.selenocysteine	ENSNFUP00030042851	Stop codon
TXNRD.8.selenocysteine	ENSNFUP00030042852	Upstream
TXNRD.8.selenocysteine	ENSNFUP00030042853	Upstream
TXNRD.8.selenocysteine	ENSNFUP00030042854	Stop codon
TXNRD.8.selenocysteine	ENSNFUP00030042855	Stop codon
