transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP00750008775	Downstream
DIO.1.selenocysteine	ENSP00750008776	Well annotated
DIO.3.selenocysteine	ENSP00750102420	Well annotated
DIO.3.selenocysteine	ENSP00750102421	Well annotated
DIO.3.selenocysteine	ENSP00750102423	Upstream
DIO.3.selenocysteine	ENSP00750102424	Out of frame
DIO.3.selenocysteine	ENSP00750102426	Upstream
DIO.3.selenocysteine	ENSP00750102427	Upstream
DIO.3.selenocysteine	ENSP00750102428	Upstream
DIO.4.selenocysteine	ENSP00750064205	Well annotated
DIO.4.selenocysteine	ENSP00750064206	Well annotated
DIO.4.selenocysteine	ENSP00750064207	Well annotated
DIO.4.selenocysteine	ENSP00750064209	Out of frame
DIO.4.selenocysteine	ENSP00750064210	Out of frame
DIO.4.selenocysteine	ENSP00750064211	Upstream
DIO.4.selenocysteine	ENSP00750064213	Out of frame
DIO.4.selenocysteine	ENSP00750064214	Skipped
DIO.4.selenocysteine	ENSP00750064215	Downstream
DIO.4.selenocysteine	ENSP00750064216	Well annotated
DIO.4.selenocysteine	ENSP00750064217	Upstream
DIO.4.selenocysteine	ENSP00750064219	Upstream
GPX.10.selenocysteine	ENSP00750023035	Well annotated
GPX.10.selenocysteine	ENSP00750023036	Well annotated
GPX.10.selenocysteine	ENSP00750023038	Well annotated
GPX.10.selenocysteine	ENSP00750023041	Well annotated
GPX.10.selenocysteine	ENSP00750023042	Well annotated
GPX.10.selenocysteine	ENSP00750023043	Well annotated
GPX.10.selenocysteine	ENSP00750023045	Well annotated
GPX.10.selenocysteine	ENSP00750023046	Downstream
GPX.10.selenocysteine	ENSP00750023047	Well annotated
GPX.10.selenocysteine	ENSP00750023049	Well annotated
GPX.10.selenocysteine	ENSP00750023051	Well annotated
GPX.10.selenocysteine	ENSP00750023054	Downstream
GPX.12.selenocysteine	ENSP00750096028	Well annotated
GPX.12.selenocysteine	ENSP00750096029	Well annotated
GPX.12.selenocysteine	ENSP00750096030	Upstream
GPX.12.selenocysteine	ENSP00750096031	Upstream
GPX.12.selenocysteine	ENSP00750096032	Out of frame
GPX.2.selenocysteine	ENSP00750097864	Well annotated
GPX.2.selenocysteine	ENSP00750097865	Well annotated
GPX.2.selenocysteine	ENSP00750097866	Skipped
GPX.2.selenocysteine	ENSP00750097867	Well annotated
GPX.2.selenocysteine	ENSP00750097868	Well annotated
GPX.2.selenocysteine	ENSP00750097869	Well annotated
GPX.2.selenocysteine	ENSP00750097870	Skipped
