transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_006172313.2	Well annotated
DIO.3.selenocysteine	cds-XP_006157166.2	Well annotated
DIO.3.selenocysteine	cds-XP_014446568.1	Well annotated
DIO.6.selenocysteine	cds-XP_006149430.2	Well annotated
DIO.6.selenocysteine	cds-XP_014443620.1	Well annotated
GPX.2.selenocysteine	cds-XP_006172193.2	Well annotated
GPX.27.selenocysteine	cds-XP_006162778.2	Well annotated
GPX.31.selenocysteine	cds-XP_006150896.2	Well annotated
GPX.4.selenocysteine	cds-XP_006142470.2	Well annotated
GPX.8.selenocysteine	cds-XP_006172421.2	Out of frame
MSRB.1.selenocysteine	cds-XP_006172318.3	Well annotated
SELENOF.5.selenocysteine	cds-XP_014440139.1	Well annotated
SELENOF.5.selenocysteine	cds-XP_014440140.1	Well annotated
SELENOH.3.selenocysteine	cds-XP_006172364.2	Well annotated
SELENOI.5.selenocysteine	cds-XP_014448625.1	Stop codon
SELENOK.74.selenocysteine	cds-XP_014439683.1	Stop codon
SELENOK.78.selenocysteine	cds-XP_006143122.2	Well annotated
SELENON.11.selenocysteine	cds-XP_006172144.2	Well annotated
SELENOO.5.selenocysteine	cds-XP_014446726.1	Out of frame
SELENOP.3.selenocysteine	cds-XP_014439101.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_027623474.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_014448874.1	Stop codon
SELENOT.13.selenocysteine	cds-XP_014443772.1	Well annotated
SELENOW.6.selenocysteine	cds-XP_006172145.2	Well annotated
SELENOW.8.selenocysteine	cds-XP_006140458.2	Well annotated
SEPHS2.1.selenocysteine	cds-XP_014443188.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_027627524.1	Well annotated
TXNRD.13.selenocysteine	cds-XP_006141487.1	Stop codon
TXNRD.13.selenocysteine	cds-XP_014447328.1	Stop codon
TXNRD.13.selenocysteine	cds-XP_027631648.1	Stop codon
TXNRD.13.selenocysteine	cds-XP_027631649.1	Stop codon
TXNRD.27.selenocysteine	cds-XP_027624586.1	Stop codon
TXNRD.40.selenocysteine	cds-XP_027628410.1	Out of frame
