transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSAKAP00000030489	Downstream
DIO.2.selenocysteine	ENSAKAP00000000278	Upstream
DIO.3.selenocysteine	ENSAKAP00000035122	Skipped
DIO.3.selenocysteine	ENSAKAP00000035124	Skipped
DIO.3.selenocysteine	ENSAKAP00000035129	Skipped
GPX.12.selenocysteine	ENSAKAP00000013785	Skipped
GPX.12.selenocysteine	ENSAKAP00000013787	Skipped
GPX.12.selenocysteine	ENSAKAP00000013790	Skipped
GPX.12.selenocysteine	ENSAKAP00000013792	Skipped
GPX.16.selenocysteine	ENSAKAP00000008202	Downstream
GPX.16.selenocysteine	ENSAKAP00000008204	Downstream
GPX.16.selenocysteine	ENSAKAP00000008207	Downstream
GPX.16.selenocysteine	ENSAKAP00000008209	Skipped
GPX.16.selenocysteine	ENSAKAP00000008211	Skipped
GPX.17.selenocysteine	ENSAKAP00000005161	Downstream
GPX.2.selenocysteine	ENSAKAP00000027453	Skipped
GPX.3.selenocysteine	ENSAKAP00000019212	Skipped
GPX.3.selenocysteine	ENSAKAP00000019213	Skipped
GPX.3.selenocysteine	ENSAKAP00000019214	Skipped
GPX.3.selenocysteine	ENSAKAP00000019215	Skipped
GPX.3.selenocysteine	ENSAKAP00000019217	Skipped
GPX.6.selenocysteine	ENSAKAP00000019199	Skipped
GPX.6.selenocysteine	ENSAKAP00000019201	Skipped
GPX.6.selenocysteine	ENSAKAP00000019202	Skipped
GPX.6.selenocysteine	ENSAKAP00000019203	Skipped
GPX.6.selenocysteine	ENSAKAP00000019206	Skipped
GPX.6.selenocysteine	ENSAKAP00000019207	Skipped
GPX.6.selenocysteine	ENSAKAP00000019208	Skipped
GPX.6.selenocysteine	ENSAKAP00000019209	Skipped
GPX.6.selenocysteine	ENSAKAP00000019211	Skipped
MSRB.1.selenocysteine	ENSAKAP00000015127	Stop codon
SELENOF.3.selenocysteine	ENSAKAP00000001582	Stop codon
SELENOI.8.selenocysteine	ENSAKAP00000023954	Stop codon
SELENOI.8.selenocysteine	ENSAKAP00000023957	Stop codon
SELENOK.1.selenocysteine	ENSAKAP00000016977	Stop codon
SELENOL.3.selenocysteine	ENSAKAP00000028000	Stop codon
SELENOM.2.selenocysteine	ENSAKAP00000007290	Downstream
SELENOM.2.selenocysteine	ENSAKAP00000007292	Downstream
SELENON.3.selenocysteine	ENSAKAP00000032877	Skipped
SELENOP.1.selenocysteine	ENSAKAP00000029136	Downstream
SELENOP.5.selenocysteine	ENSAKAP00000011747	Skipped
SELENOS.4.selenocysteine	ENSAKAP00000014211	Stop codon
SELENOT.3.selenocysteine	ENSAKAP00000032790	Downstream
SELENOU.7.selenocysteine	ENSAKAP00000015437	Stop codon
SELENOU.7.selenocysteine	ENSAKAP00000015444	Downstream
SELENOU.7.selenocysteine	ENSAKAP00000015445	Downstream
SELENOU.7.selenocysteine	ENSAKAP00000015449	Downstream
SELENOW.1.selenocysteine	ENSAKAP00000021555	Downstream
SELENOW.1.selenocysteine	ENSAKAP00000021557	Downstream
SEPHS2.3.selenocysteine	ENSAKAP00000032003	Skipped
TXNRD.18.selenocysteine	ENSAKAP00000025492	Upstream
TXNRD.18.selenocysteine	ENSAKAP00000025493	Upstream
TXNRD.26.selenocysteine	ENSAKAP00000004630	Stop codon
TXNRD.26.selenocysteine	ENSAKAP00000004632	Stop codon
TXNRD.3.selenocysteine	ENSAKAP00000035754	Upstream
TXNRD.3.selenocysteine	ENSAKAP00000035765	Stop codon
TXNRD.3.selenocysteine	ENSAKAP00000035769	Stop codon
TXNRD.3.selenocysteine	ENSAKAP00000035772	Stop codon
