transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP04540029188	Downstream
DIO.1.selenocysteine	ENSP05105011356	Well annotated
DIO.3.selenocysteine	ENSP04540007626	Upstream
DIO.3.selenocysteine	ENSP05105038318	Well annotated
DIO.3.selenocysteine	ENSP05105038319	Well annotated
DIO.3.selenocysteine	ENSP05105038322	Out of frame
DIO.3.selenocysteine	ENSP05105038324	Upstream
DIO.3.selenocysteine	ENSP05105038325	Upstream
DIO.3.selenocysteine	ENSP05105038326	Upstream
DIO.4.selenocysteine	ENSP04540076790	Out of frame
DIO.4.selenocysteine	ENSP04540076791	Out of frame
DIO.4.selenocysteine	ENSP04540076792	Upstream
DIO.4.selenocysteine	ENSP04540076793	Out of frame
DIO.4.selenocysteine	ENSP04540076797	Upstream
DIO.4.selenocysteine	ENSP05105093360	Well annotated
DIO.4.selenocysteine	ENSP05105093361	Well annotated
DIO.4.selenocysteine	ENSP05105093362	Well annotated
DIO.4.selenocysteine	ENSP05105093367	Upstream
DIO.4.selenocysteine	ENSP05105093368	Well annotated
DIO.4.selenocysteine	ENSP05105093370	Downstream
DIO.4.selenocysteine	ENSP05105093371	Skipped
GPX.11.selenocysteine	ENSP04540007797	Well annotated
GPX.11.selenocysteine	ENSP04540007801	Well annotated
GPX.11.selenocysteine	ENSP04540007804	Downstream
GPX.11.selenocysteine	ENSP04540007808	Downstream
GPX.11.selenocysteine	ENSP05105035801	Well annotated
GPX.11.selenocysteine	ENSP05105035802	Well annotated
GPX.11.selenocysteine	ENSP05105035803	Well annotated
GPX.11.selenocysteine	ENSP05105035804	Well annotated
GPX.11.selenocysteine	ENSP05105035805	Well annotated
GPX.11.selenocysteine	ENSP05105035806	Well annotated
GPX.11.selenocysteine	ENSP05105035807	Well annotated
GPX.11.selenocysteine	ENSP05105035808	Well annotated
GPX.16.selenocysteine	ENSP04540089116	Upstream
GPX.16.selenocysteine	ENSP05105094599	Well annotated
GPX.16.selenocysteine	ENSP05105094600	Well annotated
GPX.16.selenocysteine	ENSP05105094602	Upstream
GPX.16.selenocysteine	ENSP05105094603	Out of frame
GPX.18.selenocysteine	ENSP05105001460	Well annotated
GPX.18.selenocysteine	ENSP05105001461	Well annotated
GPX.3.selenocysteine	ENSP04540088201	Well annotated
GPX.3.selenocysteine	ENSP04540088202	Well annotated
GPX.3.selenocysteine	ENSP04540088203	Skipped
GPX.3.selenocysteine	ENSP04540088208	Well annotated
GPX.3.selenocysteine	ENSP04540088211	Well annotated
GPX.3.selenocysteine	ENSP04540088212	Well annotated
GPX.3.selenocysteine	ENSP04540088213	Upstream
GPX.3.selenocysteine	ENSP04540088214	Well annotated
GPX.3.selenocysteine	ENSP04540088216	Well annotated
