transcript_id	transcript_id_ens	Type_annotation
AhpC.5.selenocysteine	ENSQHTP00000013458	Downstream
FrnE.1.selenocysteine	ENSQHTP00000013620	Downstream
GPX.11.selenocysteine	ENSQHTP00000004668	Skipped
GPX.12.selenocysteine	ENSQHTP00000005130	Skipped
GPX.12.selenocysteine	ENSQHTP00000005139	Skipped
GPX.12.selenocysteine	ENSQHTP00000005145	Skipped
GPX.12.selenocysteine	ENSQHTP00000005155	Skipped
GPX.2.selenocysteine	ENSQHTP00000016571	Skipped
GPX.2.selenocysteine	ENSQHTP00000016578	Skipped
GPX.24.selenocysteine	ENSQHTP00000031906	Skipped
GPX.25.selenocysteine	ENSQHTP00000005783	Downstream
GPX.25.selenocysteine	ENSQHTP00000005792	Downstream
GPX.25.selenocysteine	ENSQHTP00000005798	Downstream
GPX.4.selenocysteine	ENSQHTP00000023345	Downstream
GPX.4.selenocysteine	ENSQHTP00000023349	Out of frame
GPX.4.selenocysteine	ENSQHTP00000023355	Downstream
GPX.7.selenocysteine	ENSQHTP00000022191	Skipped
GPX.7.selenocysteine	ENSQHTP00000022200	Skipped
MsrA.6.selenocysteine	ENSQHTP00000018840	Downstream
SELENOH.1.selenocysteine	ENSQHTP00000026598	Downstream
SELENOJ.1.selenocysteine	ENSQHTP00000011530	Skipped
SELENOJ.1.selenocysteine	ENSQHTP00000011539	Stop codon
SELENOL.1.selenocysteine	ENSQHTP00000027390	Stop codon
SELENON.19.selenocysteine	ENSQHTP00000019921	Stop codon
SELENON.19.selenocysteine	ENSQHTP00000019925	Stop codon
SELENON.19.selenocysteine	ENSQHTP00000019933	Stop codon
SELENON.19.selenocysteine	ENSQHTP00000019944	Skipped
SELENON.19.selenocysteine	ENSQHTP00000019959	Stop codon
SELENON.22.selenocysteine	ENSQHTP00000015558	Skipped
SELENON.22.selenocysteine	ENSQHTP00000015566	Stop codon
SELENOP.2.selenocysteine	ENSQHTP00000003631	Skipped
SELENOT.2.selenocysteine	ENSQHTP00000014045	Downstream
SELENOT.2.selenocysteine	ENSQHTP00000014055	Downstream
SELENOU.6.selenocysteine	ENSQHTP00000027186	Downstream
SELENOU.6.selenocysteine	ENSQHTP00000027196	Stop codon
SEPHS2.5.selenocysteine	ENSQHTP00000005623	Downstream
SEPHS2.5.selenocysteine	ENSQHTP00000005634	Downstream
SEPHS2.5.selenocysteine	ENSQHTP00000005639	Skipped
TXNRD.14.selenocysteine	ENSQHTP00000004743	Stop codon
TXNRD.14.selenocysteine	ENSQHTP00000004757	Upstream
TXNRD.14.selenocysteine	ENSQHTP00000004770	Upstream
TXNRD.23.selenocysteine	ENSQHTP00000027663	Stop codon
