transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_033809097.1	Well annotated
DIO.3.selenocysteine	cds-XP_033806870.1	Well annotated
GPX.12.selenocysteine	cds-XP_033782740.1	Well annotated
GPX.13.selenocysteine	cds-XP_033812614.1	Well annotated
GPX.13.selenocysteine	cds-XP_033812615.1	Well annotated
GPX.13.selenocysteine	cds-XP_033812616.1	Well annotated
GPX.2.selenocysteine	cds-XP_033808931.1	Well annotated
GPX.3.selenocysteine	cds-XP_033781718.1	Well annotated
MSRB.2.selenocysteine	cds-XP_033770323.1	Well annotated
SELENOF.3.selenocysteine	cds-XP_033772458.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_033775347.1	Well annotated
SELENOI.5.selenocysteine	cds-XP_033792603.1	Well annotated
SELENOI.5.selenocysteine	cds-XP_033792604.1	Stop codon
SELENOM.1.selenocysteine	cds-XP_033811898.1	Downstream
SELENON.1.selenocysteine	cds-XP_033787655.1	Well annotated
SELENOO.2.selenocysteine	cds-XP_033813561.1	Stop codon
SELENOP.3.selenocysteine	cds-XP_033787906.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_033787915.1	Well annotated
SELENOP.5.selenocysteine	cds-XP_033771163.1	Well annotated
SELENOP.5.selenocysteine	cds-XP_033771164.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_033776996.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_033815268.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_033799224.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_033799225.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_033799226.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_033799227.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_033799228.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_033799229.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_033799231.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_033799232.1	Well annotated
SEPHS2.5.selenocysteine	cds-XP_033776226.1	Downstream
SEPHS2.5.selenocysteine	cds-XP_033776234.1	Downstream
TXNRD.12.selenocysteine	cds-XP_033782285.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_033807361.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_033807362.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_033807363.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_033807364.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_033807365.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_033807366.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_033807367.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_033810372.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_033810373.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_033810374.1	Stop codon
TXNRD.31.selenocysteine	cds-XP_033810375.1	Stop codon
