transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_053883204.1	Well annotated
DIO.3.selenocysteine	cds-XP_053882939.1	Well annotated
DIO.3.selenocysteine	cds-XP_053882941.1	Well annotated
DIO.6.selenocysteine	cds-XP_053893049.1	Well annotated
DIO.6.selenocysteine	cds-XP_053893050.1	Skipped
DIO.6.selenocysteine	cds-XP_053893051.1	Well annotated
GPX.10.selenocysteine	cds-XP_053893567.1	Well annotated
GPX.16.selenocysteine	cds-XP_053869686.1	Well annotated
GPX.3.selenocysteine	cds-XP_053889253.1	Well annotated
GPX.4.selenocysteine	cds-XP_053889587.1	Well annotated
GPX.6.selenocysteine	cds-XP_053881052.1	Well annotated
MSRB.1.selenocysteine	cds-XP_053897157.1	Well annotated
MSRB.1.selenocysteine	cds-XP_053897158.1	Stop codon
SELENOF.3.selenocysteine	cds-XP_053893742.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_053882358.1	Well annotated
SELENOI.1.selenocysteine	cds-XP_053878364.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_053892097.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_053892098.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_053862747.1	Well annotated
SELENON.8.selenocysteine	cds-XP_053867801.1	Well annotated
SELENOO.5.selenocysteine	cds-XP_053878389.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_053893547.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_053898225.1	Stop codon
SELENOS.4.selenocysteine	cds-XP_053898226.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_053895113.1	Well annotated
SEPHS2.3.selenocysteine	cds-XP_053870911.1	Well annotated
TXNRD.10.selenocysteine	cds-XP_053890451.1	Stop codon
TXNRD.10.selenocysteine	cds-XP_053890452.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_053889007.1	Stop codon
TXNRD.32.selenocysteine	cds-XP_053862857.1	Stop codon
TXNRD.32.selenocysteine	cds-XP_053862858.1	Stop codon
TXNRD.32.selenocysteine	cds-XP_053862859.1	Stop codon
TXNRD.32.selenocysteine	cds-XP_053862860.1	Out of frame
