transcript_id	transcript_id_ens	Type_annotation
DIO.3.selenocysteine	ENSANYP00000021199	Stop codon
DIO.3.selenocysteine	ENSANYP00000021205	Stop codon
DIO.3.selenocysteine	ENSANYP00000022209	Downstream
DIO.6.selenocysteine	ENSANYP00000039320	Stop codon
GPX.3.selenocysteine	ENSANYP00000011445	Skipped
GPX.3.selenocysteine	ENSANYP00000011453	Skipped
GPX.3.selenocysteine	ENSANYP00000011467	Stop codon
SELENOJ.1.selenocysteine	ENSANYP00000011759	Stop codon
SELENOL.1.selenocysteine	ENSANYP00000041659	Downstream
SELENOL.1.selenocysteine	ENSANYP00000042005	Stop codon
SELENOL.1.selenocysteine	ENSANYP00000042007	Stop codon
SELENOL.1.selenocysteine	ENSANYP00000042009	Stop codon
SELENOM.1.selenocysteine	ENSANYP00000031444	Stop codon
SELENOM.1.selenocysteine	ENSANYP00000031533	Downstream
SELENON.6.selenocysteine	ENSANYP00000013802	Skipped
SELENOO.5.selenocysteine	ENSANYP00000040171	Upstream
SELENOO.5.selenocysteine	ENSANYP00000040177	Stop codon
SELENOT.2.selenocysteine	ENSANYP00000017434	Downstream
SELENOU.4.selenocysteine	ENSANYP00000024366	Downstream
SELENOU.4.selenocysteine	ENSANYP00000024396	Upstream
SELENOU.4.selenocysteine	ENSANYP00000024401	Upstream
SELENOU.4.selenocysteine	ENSANYP00000024409	Stop codon
SELENOU.4.selenocysteine	ENSANYP00000024413	Stop codon
SELENOU.4.selenocysteine	ENSANYP00000024423	Upstream
SEPHS2.4.selenocysteine	ENSANYP00000023587	Downstream
SEPHS2.4.selenocysteine	ENSANYP00000023596	Downstream
