transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSSYAP00005003068	Skipped
DIO.1.selenocysteine	ENSSYAP00005003070	Skipped
DIO.3.selenocysteine	ENSSYAP00005002103	Skipped
DIO.5.selenocysteine	ENSSYAP00005029320	Skipped
GPX.13.selenocysteine	ENSSYAP00005023862	Stop codon
GPX.13.selenocysteine	ENSSYAP00005023888	Downstream
GPX.13.selenocysteine	ENSSYAP00005023921	Downstream
GPX.13.selenocysteine	ENSSYAP00005023935	Downstream
GPX.2.selenocysteine	ENSSYAP00005032806	Downstream
GPX.2.selenocysteine	ENSSYAP00005032807	Downstream
GPX.2.selenocysteine	ENSSYAP00005032808	Out of frame
GPX.2.selenocysteine	ENSSYAP00005032810	Downstream
GPX.4.selenocysteine	ENSSYAP00005001999	Skipped
GPX.4.selenocysteine	ENSSYAP00005002010	Downstream
GPX.8.selenocysteine	ENSSYAP00005034968	Skipped
GPX.8.selenocysteine	ENSSYAP00005034994	Skipped
GPX.8.selenocysteine	ENSSYAP00005035005	Skipped
GPX.8.selenocysteine	ENSSYAP00005035012	Skipped
MSRB.1.selenocysteine	ENSSYAP00005014249	Stop codon
SELENOF.3.selenocysteine	ENSSYAP00005025649	Skipped
SELENOF.3.selenocysteine	ENSSYAP00005025651	Skipped
SELENOH.1.selenocysteine	ENSSYAP00005027380	Downstream
SELENOI.5.selenocysteine	ENSSYAP00005018183	Stop codon
SELENOK.1.selenocysteine	ENSSYAP00005009344	Stop codon
SELENOM.2.selenocysteine	ENSSYAP00005040410	Downstream
SELENOM.2.selenocysteine	ENSSYAP00005040417	Downstream
SELENOO.5.selenocysteine	ENSSYAP00005015816	Upstream
SELENOO.5.selenocysteine	ENSSYAP00005015821	Upstream
SELENOP.3.selenocysteine	ENSSYAP00005040576	Skipped
SELENOS.3.selenocysteine	ENSSYAP00005024420	Upstream
SELENOS.3.selenocysteine	ENSSYAP00005024441	Stop codon
SELENOS.3.selenocysteine	ENSSYAP00005024446	Stop codon
SELENOT.3.selenocysteine	ENSSYAP00005037685	Skipped
SELENOW.2.selenocysteine	ENSSYAP00005016098	Downstream
SEPHS2.5.selenocysteine	ENSSYAP00005031021	Downstream
SEPHS2.5.selenocysteine	ENSSYAP00005031029	Downstream
TXNRD.20.selenocysteine	ENSSYAP00005037228	Stop codon
TXNRD.20.selenocysteine	ENSSYAP00005037238	Stop codon
TXNRD.5.selenocysteine	ENSSYAP00005025287	Upstream
TXNRD.5.selenocysteine	ENSSYAP00005025293	Upstream
TXNRD.5.selenocysteine	ENSSYAP00005025300	Skipped
