transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAF6501141.1	Stop codon
DIO.1.selenocysteine	cds-KAF6501142.1	Downstream
DIO.3.selenocysteine	cds-KAF6501102.1	Stop codon
DIO.5.selenocysteine	cds-KAF6444244.1	Downstream
DIO.5.selenocysteine	cds-KAF6444245.1	Skipped
GPX.20.selenocysteine	cds-KAF6480669.1	Skipped
SELENOI.3.selenocysteine	cds-KAF6429631.1	Stop codon
SELENOI.3.selenocysteine	cds-KAF6429632.1	Stop codon
SELENOI.3.selenocysteine	cds-KAF6429633.1	Stop codon
SELENOI.3.selenocysteine	cds-KAF6429634.1	Upstream
SELENON.8.selenocysteine	cds-KAF6445067.1	Stop codon
SELENOO.8.selenocysteine	cds-KAF6398943.1	Stop codon
SELENOP.1.selenocysteine	cds-KAF6489858.1	Downstream
SELENOT.7.selenocysteine	cds-KAF6478007.1	Downstream
SELENOT.7.selenocysteine	cds-KAF6478008.1	Downstream
TXNRD.22.selenocysteine	cds-KAF6471636.1	Stop codon
TXNRD.22.selenocysteine	cds-KAF6471637.1	Stop codon
TXNRD.22.selenocysteine	cds-KAF6471638.1	Stop codon
TXNRD.22.selenocysteine	cds-KAF6471639.1	Stop codon
TXNRD.22.selenocysteine	cds-KAF6471640.1	Stop codon
TXNRD.22.selenocysteine	cds-KAF6471641.1	Stop codon
TXNRD.22.selenocysteine	cds-KAF6471642.1	Stop codon
TXNRD.9.selenocysteine	cds-KAF6452822.1	Upstream
