transcript_id	transcript_id_ens	Type_annotation
GPX.4.selenocysteine	cds-CAQ5130118.1	Stop codon
GPX.5.selenocysteine	cds-CAQ5147467.1	Downstream
GPX.8.selenocysteine	cds-CAQ5139784.1	Downstream
MSRB.7.selenocysteine	cds-CAQ5141375.1	Stop codon
MsrA.1.selenocysteine	cds-CAQ5131848.1	Downstream
SELENOH.1.selenocysteine	cds-CAQ5145737.1	Stop codon
SELENOL.3.selenocysteine	cds-CAQ5143132.1	Stop codon
SELENOT.1.selenocysteine	cds-CAQ5141691.1	Downstream
SELENOT.1.selenocysteine	cds-CAQ5141692.1	Stop codon
SEPHS2.3.selenocysteine	cds-CAQ5141949.1	Downstream
TXNRD.10.selenocysteine	cds-CAQ5139502.1	Stop codon
TXNRD.20.selenocysteine	cds-CAQ5148448.1	Stop codon
