transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-CAF3082504.1	Stop codon
DIO.1.selenocysteine	cds-CAF3082516.1	Downstream
DIO.11.selenocysteine	cds-CAF2406266.1	Downstream
DIO.12.selenocysteine	cds-CAF2306135.1	Skipped
DIO.16.selenocysteine	cds-CAF2770230.1	Stop codon
DIO.16.selenocysteine	cds-CAF2770251.1	Downstream
DIO.17.selenocysteine	cds-CAF2770270.1	Stop codon
DIO.17.selenocysteine	cds-CAF2770289.1	Downstream
DIO.2.selenocysteine	cds-CAF2803650.1	Skipped
DIO.20.selenocysteine	cds-CAF2716222.1	Downstream
DIO.20.selenocysteine	cds-CAF2716237.1	Stop codon
DIO.22.selenocysteine	cds-CAF2943368.1	Stop codon
DIO.3.selenocysteine	cds-CAF2513291.1	Downstream
DIO.3.selenocysteine	cds-CAF2513297.1	Stop codon
DIO.4.selenocysteine	cds-CAF2412893.1	Stop codon
DIO.4.selenocysteine	cds-CAF2412908.1	Downstream
DIO.44.selenocysteine	cds-CAF2734081.1	Out of frame
DIO.5.selenocysteine	cds-CAF2675244.1	Downstream
DIO.5.selenocysteine	cds-CAF2675260.1	Stop codon
DIO.7.selenocysteine	cds-CAF2748893.1	Downstream
GPX.1.selenocysteine	cds-CAF2544014.1	Skipped
SELENOF.2.selenocysteine	cds-CAF2371820.1	Skipped
SELENOL.1.selenocysteine	cds-CAF2521458.1	Skipped
SELENON.1.selenocysteine	cds-CAF2499730.1	Skipped
SELENOT.3.selenocysteine	cds-CAF2399493.1	Stop codon
SELENOT.3.selenocysteine	cds-CAF2399498.1	Downstream
SELENOW.2.selenocysteine	cds-CAF2672789.1	Downstream
SEPHS2.3.selenocysteine	cds-CAF2679499.1	Downstream
SEPHS2.8.selenocysteine	cds-CAF2386682.1	Downstream
TXNRD.7.selenocysteine	cds-CAF2789405.1	Stop codon
