transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-NWX36477.1	Downstream
DIO.3.selenocysteine	cds-NOTCIN_R14292	Well annotated
DIO.4.selenocysteine	cds-NWX37662.1	Stop codon
GPX.1.selenocysteine	cds-NWX38489.1	Downstream
GPX.12.selenocysteine	cds-NWX35556.1	Stop codon
GPX.2.selenocysteine	cds-NWX27368.1	Downstream
GPX.5.selenocysteine	cds-NWX35828.1	Skipped
MSRB.1.selenocysteine	cds-NWX31103.1	Stop codon
SELENOF.1.selenocysteine	cds-NWX31981.1	Downstream
SELENOF.1.selenocysteine	cds-NWX31982.1	Upstream
SELENOK.2.selenocysteine	cds-NWX29368.1	Stop codon
SELENOM.3.selenocysteine	cds-NWX27631.1	Downstream
SELENON.13.selenocysteine	cds-NOTCIN_R12469	Skipped
SELENOP.2.selenocysteine	cds-NWX27982.1	Downstream
SELENOP.5.selenocysteine	cds-NWX37279.1	Downstream
SELENOS.2.selenocysteine	cds-NWX27355.1	Stop codon
SELENOT.2.selenocysteine	cds-NWX36614.1	Downstream
SELENOU.6.selenocysteine	cds-NWX35358.1	Stop codon
SELENOU.6.selenocysteine	cds-NWX35361.1	Downstream
TXNRD.16.selenocysteine	cds-NWX31266.1	Upstream
TXNRD.29.selenocysteine	cds-NWX30305.1	Stop codon
TXNRD.9.selenocysteine	cds-NWX32998.1	Stop codon
