transcript_id	transcript_id_ens	Type_annotation
DIO.3.selenocysteine	ENSSBOP00000023359	Out of frame
DIO.3.selenocysteine	ENSSBOP00000023364	Stop codon
DIO.3.selenocysteine	ENSSBOP00000023373	Upstream
DIO.4.selenocysteine	ENSSBOP00000000611	Skipped
DIO.4.selenocysteine	ENSSBOP00000000613	Skipped
DIO.4.selenocysteine	ENSSBOP00000000615	Stop codon
DIO.4.selenocysteine	ENSSBOP00000000617	Upstream
GPX.22.selenocysteine	ENSSBOP00000008402	Stop codon
GPX.5.selenocysteine	ENSSBOP00000022628	Downstream
GPX.9.selenocysteine	ENSSBOP00000021119	Skipped
GPX.9.selenocysteine	ENSSBOP00000021125	Skipped
MSRB.2.selenocysteine	ENSSBOP00000025845	Stop codon
SELENOF.2.selenocysteine	ENSSBOP00000014956	Skipped
SELENOF.2.selenocysteine	ENSSBOP00000014958	Stop codon
SELENOH.1.selenocysteine	ENSSBOP00000007248	Skipped
SELENOI.8.selenocysteine	ENSSBOP00000038680	Stop codon
SELENOK.11.selenocysteine	ENSSBOP00000003771	Stop codon
SELENOM.4.selenocysteine	ENSSBOP00000019692	Downstream
SELENON.11.selenocysteine	ENSSBOP00000004782	Skipped
SELENOO.6.selenocysteine	ENSSBOP00000014735	Stop codon
SELENOS.3.selenocysteine	ENSSBOP00000019603	Stop codon
SELENOS.3.selenocysteine	ENSSBOP00000019609	Skipped
SELENOS.3.selenocysteine	ENSSBOP00000019610	Upstream
SELENOT.2.selenocysteine	ENSSBOP00000023821	Downstream
SELENOT.2.selenocysteine	ENSSBOP00000023827	Skipped
SELENOW.3.selenocysteine	ENSSBOP00000039575	Spliced
SELENOW.3.selenocysteine	ENSSBOP00000039577	Skipped
SELENOW.4.selenocysteine	ENSSBOP00000015753	Skipped
SEPHS2.2.selenocysteine	ENSSBOP00000020165	Downstream
TXNRD.22.selenocysteine	ENSSBOP00000004305	Stop codon
TXNRD.22.selenocysteine	ENSSBOP00000004307	Stop codon
TXNRD.3.selenocysteine	ENSSBOP00000023452	Stop codon
TXNRD.3.selenocysteine	ENSSBOP00000023454	Stop codon
TXNRD.3.selenocysteine	ENSSBOP00000023458	Stop codon
TXNRD.3.selenocysteine	ENSSBOP00000023477	Stop codon
TXNRD.3.selenocysteine	ENSSBOP00000023491	Upstream
TXNRD.3.selenocysteine	ENSSBOP00000023500	Upstream
TXNRD.34.selenocysteine	ENSSBOP00000012853	Stop codon
TXNRD.34.selenocysteine	ENSSBOP00000012867	Stop codon
TXNRD.34.selenocysteine	ENSSBOP00000012877	Upstream
