transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_066199629.1	Well annotated
DIO.3.selenocysteine	cds-XP_066244605.1	Well annotated
DIO.3.selenocysteine	cds-XP_066244606.1	Well annotated
DIO.5.selenocysteine	cds-XP_066232441.1	Well annotated
GPX.14.selenocysteine	cds-XP_066198105.1	Well annotated
GPX.14.selenocysteine	cds-XP_066198113.1	Well annotated
GPX.2.selenocysteine	cds-XP_066207538.1	Well annotated
GPX.4.selenocysteine	cds-XP_066199171.1	Well annotated
GPX.5.selenocysteine	cds-XP_066198203.1	Well annotated
MSRB.1.selenocysteine	cds-XP_066239014.1	Well annotated
MSRB.1.selenocysteine	cds-XP_066239016.1	Upstream
SELENOF.3.selenocysteine	cds-XP_066232819.1	Well annotated
SELENOH.3.selenocysteine	cds-XP_066217594.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_066234802.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_066207442.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_066222050.1	Well annotated
SELENON.10.selenocysteine	cds-XP_066231565.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_066214839.1	Well annotated
SELENOS.3.selenocysteine	cds-XP_066210995.1	Stop codon
SELENOT.2.selenocysteine	cds-XP_066202911.1	Well annotated
SELENOW.3.selenocysteine	cds-XP_066229969.1	Well annotated
SEPHS2.1.selenocysteine	cds-XP_066239376.1	Well annotated
TXNRD.16.selenocysteine	cds-XP_066208782.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_066221452.1	Stop codon
TXNRD.25.selenocysteine	cds-XP_066221453.1	Out of frame
TXNRD.3.selenocysteine	cds-XP_066212304.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_066212314.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_066216361.1	Upstream
