transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP05920072701	Downstream
DIO.1.selenocysteine	ENSP05920072702	Well annotated
DIO.3.selenocysteine	ENSP05920016229	Well annotated
DIO.3.selenocysteine	ENSP05920016231	Well annotated
DIO.3.selenocysteine	ENSP05920016234	Upstream
DIO.3.selenocysteine	ENSP05920016235	Out of frame
DIO.3.selenocysteine	ENSP05920016237	Upstream
DIO.3.selenocysteine	ENSP05920016239	Upstream
DIO.3.selenocysteine	ENSP05920016240	Upstream
DIO.4.selenocysteine	ENSP05920088962	Well annotated
DIO.4.selenocysteine	ENSP05920088963	Well annotated
DIO.4.selenocysteine	ENSP05920088964	Well annotated
DIO.4.selenocysteine	ENSP05920088965	Out of frame
DIO.4.selenocysteine	ENSP05920088966	Out of frame
DIO.4.selenocysteine	ENSP05920088967	Upstream
DIO.4.selenocysteine	ENSP05920088968	Out of frame
DIO.4.selenocysteine	ENSP05920088969	Skipped
DIO.4.selenocysteine	ENSP05920088970	Downstream
DIO.4.selenocysteine	ENSP05920088971	Well annotated
DIO.4.selenocysteine	ENSP05920088972	Upstream
DIO.4.selenocysteine	ENSP05920088973	Upstream
GPX.11.selenocysteine	ENSP05920073947	Well annotated
GPX.11.selenocysteine	ENSP05920073948	Well annotated
GPX.11.selenocysteine	ENSP05920073949	Well annotated
GPX.11.selenocysteine	ENSP05920073950	Well annotated
GPX.11.selenocysteine	ENSP05920073951	Well annotated
GPX.11.selenocysteine	ENSP05920073952	Well annotated
GPX.11.selenocysteine	ENSP05920073953	Well annotated
GPX.11.selenocysteine	ENSP05920073954	Downstream
GPX.11.selenocysteine	ENSP05920073955	Well annotated
GPX.11.selenocysteine	ENSP05920073956	Well annotated
GPX.11.selenocysteine	ENSP05920073957	Well annotated
GPX.11.selenocysteine	ENSP05920073958	Downstream
GPX.16.selenocysteine	ENSP05920106578	Well annotated
GPX.16.selenocysteine	ENSP05920106579	Well annotated
GPX.16.selenocysteine	ENSP05920106580	Upstream
GPX.16.selenocysteine	ENSP05920106581	Upstream
GPX.16.selenocysteine	ENSP05920106582	Out of frame
GPX.18.selenocysteine	ENSP05920006187	Well annotated
GPX.18.selenocysteine	ENSP05920006189	Well annotated
GPX.3.selenocysteine	ENSP05920065745	Well annotated
GPX.3.selenocysteine	ENSP05920065746	Well annotated
GPX.3.selenocysteine	ENSP05920065747	Skipped
GPX.3.selenocysteine	ENSP05920065748	Well annotated
