transcript_id	transcript_id_ens	Type_annotation
DIO.3.selenocysteine	ENSLCTP00000001094	Stop codon
DIO.3.selenocysteine	ENSLCTP00000001099	Upstream
DIO.5.selenocysteine	ENSLCTP00000005369	Skipped
DIO.5.selenocysteine	ENSLCTP00000005386	Skipped
DIO.5.selenocysteine	ENSLCTP00000005400	Stop codon
GPX.14.selenocysteine	ENSLCTP00000024719	Skipped
GPX.2.selenocysteine	ENSLCTP00000017963	Downstream
GPX.22.selenocysteine	ENSLCTP00000004962	Skipped
GPX.4.selenocysteine	ENSLCTP00000001853	Downstream
GPX.8.selenocysteine	ENSLCTP00000022469	Downstream
GPX.8.selenocysteine	ENSLCTP00000022507	Stop codon
MSRB.1.selenocysteine	ENSLCTP00000020425	Upstream
MSRB.1.selenocysteine	ENSLCTP00000020460	Stop codon
SELENOF.3.selenocysteine	ENSLCTP00000014685	Stop codon
SELENOF.3.selenocysteine	ENSLCTP00000014709	Out of frame
SELENOH.1.selenocysteine	ENSLCTP00000021072	Skipped
SELENOK.1.selenocysteine	ENSLCTP00000009611	Upstream
SELENOK.3.selenocysteine	ENSLCTP00000003164	Stop codon
SELENOM.1.selenocysteine	ENSLCTP00000024140	Skipped
SELENON.12.selenocysteine	ENSLCTP00000010826	Downstream
SELENON.12.selenocysteine	ENSLCTP00000010857	Stop codon
SELENON.12.selenocysteine	ENSLCTP00000010904	Stop codon
SELENOO.9.selenocysteine	ENSLCTP00000016314	Stop codon
SELENOO.9.selenocysteine	ENSLCTP00000016372	Stop codon
SELENOP.1.selenocysteine	ENSLCTP00000018107	Skipped
SELENOS.5.selenocysteine	ENSLCTP00000003790	Stop codon
SELENOT.3.selenocysteine	ENSLCTP00000017873	Downstream
SELENOW.2.selenocysteine	ENSLCTP00000009429	Downstream
TXNRD.16.selenocysteine	ENSLCTP00000015290	Upstream
TXNRD.16.selenocysteine	ENSLCTP00000015358	Stop codon
TXNRD.28.selenocysteine	ENSLCTP00000010614	Stop codon
TXNRD.28.selenocysteine	ENSLCTP00000010716	Stop codon
TXNRD.28.selenocysteine	ENSLCTP00000010787	Stop codon
TXNRD.28.selenocysteine	ENSLCTP00000010813	Stop codon
