transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP01680001062	Downstream
DIO.1.selenocysteine	ENSP01680001063	Well annotated
DIO.3.selenocysteine	ENSP01680066519	Well annotated
DIO.3.selenocysteine	ENSP01680066520	Well annotated
DIO.3.selenocysteine	ENSP01680066523	Upstream
DIO.3.selenocysteine	ENSP01680066526	Out of frame
DIO.3.selenocysteine	ENSP01680066530	Upstream
DIO.3.selenocysteine	ENSP01680066531	Upstream
DIO.3.selenocysteine	ENSP01680066532	Upstream
DIO.4.selenocysteine	ENSP01680097636	Well annotated
DIO.4.selenocysteine	ENSP01680097637	Well annotated
DIO.4.selenocysteine	ENSP01680097638	Well annotated
DIO.4.selenocysteine	ENSP01680097640	Out of frame
DIO.4.selenocysteine	ENSP01680097642	Out of frame
DIO.4.selenocysteine	ENSP01680097643	Upstream
DIO.4.selenocysteine	ENSP01680097644	Out of frame
DIO.4.selenocysteine	ENSP01680097645	Skipped
DIO.4.selenocysteine	ENSP01680097647	Downstream
DIO.4.selenocysteine	ENSP01680097648	Well annotated
DIO.4.selenocysteine	ENSP01680097650	Upstream
DIO.4.selenocysteine	ENSP01680097651	Upstream
GPX.11.selenocysteine	ENSP01680027924	Well annotated
GPX.11.selenocysteine	ENSP01680027925	Well annotated
GPX.11.selenocysteine	ENSP01680027926	Well annotated
GPX.11.selenocysteine	ENSP01680027927	Well annotated
GPX.11.selenocysteine	ENSP01680027928	Well annotated
GPX.11.selenocysteine	ENSP01680027929	Well annotated
GPX.11.selenocysteine	ENSP01680027930	Well annotated
GPX.11.selenocysteine	ENSP01680027931	Downstream
GPX.11.selenocysteine	ENSP01680027932	Well annotated
GPX.11.selenocysteine	ENSP01680027933	Well annotated
GPX.11.selenocysteine	ENSP01680027934	Well annotated
GPX.11.selenocysteine	ENSP01680027935	Downstream
GPX.16.selenocysteine	ENSP01680022584	Well annotated
GPX.16.selenocysteine	ENSP01680022585	Well annotated
GPX.16.selenocysteine	ENSP01680022586	Upstream
GPX.16.selenocysteine	ENSP01680022587	Upstream
GPX.16.selenocysteine	ENSP01680022588	Out of frame
GPX.18.selenocysteine	ENSP01680011070	Well annotated
GPX.18.selenocysteine	ENSP01680011071	Well annotated
GPX.3.selenocysteine	ENSP01680105541	Well annotated
GPX.3.selenocysteine	ENSP01680105542	Well annotated
GPX.3.selenocysteine	ENSP01680105543	Skipped
GPX.3.selenocysteine	ENSP01680105544	Well annotated
GPX.3.selenocysteine	ENSP01680105545	Well annotated
GPX.3.selenocysteine	ENSP01680105546	Well annotated
GPX.3.selenocysteine	ENSP01680105547	Skipped
GPX.3.selenocysteine	ENSP01680105548	Well annotated
GPX.3.selenocysteine	ENSP01680105549	Well annotated
GPX.3.selenocysteine	ENSP01680105550	Well annotated
GPX.3.selenocysteine	ENSP01680105551	Well annotated
GPX.3.selenocysteine	ENSP01680105552	Upstream
GPX.3.selenocysteine	ENSP01680105553	Well annotated
GPX.3.selenocysteine	ENSP01680105554	Well annotated
GPX.5.selenocysteine	ENSP01680066370	Well annotated
GPX.5.selenocysteine	ENSP01680066374	Well annotated
GPX.5.selenocysteine	ENSP01680066376	Skipped
GPX.5.selenocysteine	ENSP01680066378	Well annotated
MSRB.3.selenocysteine	ENSP01680032326	Well annotated
MSRB.3.selenocysteine	ENSP01680032327	Upstream
MSRB.3.selenocysteine	ENSP01680032328	Out of frame
MSRB.3.selenocysteine	ENSP01680032329	Out of frame
SELENOF.3.selenocysteine	ENSP01680042340	Well annotated
SELENOF.3.selenocysteine	ENSP01680042341	Well annotated
SELENOF.3.selenocysteine	ENSP01680042343	Well annotated
SELENOF.3.selenocysteine	ENSP01680042344	Out of frame
SELENOF.3.selenocysteine	ENSP01680042346	Out of frame
SELENOH.2.selenocysteine	ENSP01680100587	Well annotated
SELENOH.2.selenocysteine	ENSP01680100589	Well annotated
SELENOH.2.selenocysteine	ENSP01680100591	Out of frame
SELENOI.3.selenocysteine	ENSP01680048978	Upstream
SELENOI.3.selenocysteine	ENSP01680048979	Well annotated
SELENOI.3.selenocysteine	ENSP01680048980	Upstream
SELENOK.7.selenocysteine	ENSP01680098503	Well annotated
SELENOK.7.selenocysteine	ENSP01680098504	Out of frame
SELENOM.2.selenocysteine	ENSP01680034899	Well annotated
SELENOM.2.selenocysteine	ENSP01680034904	Well annotated
SELENON.4.selenocysteine	ENSP01680096745	Well annotated
SELENON.4.selenocysteine	ENSP01680096746	Well annotated
SELENON.4.selenocysteine	ENSP01680096747	Well annotated
SELENON.4.selenocysteine	ENSP01680096749	Well annotated
SELENOO.7.selenocysteine	ENSP01680027915	Well annotated
SELENOP.3.selenocysteine	ENSP01680089382	Well annotated
SELENOP.3.selenocysteine	ENSP01680089383	Well annotated
SELENOP.3.selenocysteine	ENSP01680089384	Well annotated
SELENOP.3.selenocysteine	ENSP01680089385	Well annotated
SELENOP.3.selenocysteine	ENSP01680089386	Well annotated
SELENOP.3.selenocysteine	ENSP01680089387	Well annotated
SELENOS.2.selenocysteine	ENSP01680095644	Well annotated
SELENOS.2.selenocysteine	ENSP01680095645	Well annotated
SELENOS.2.selenocysteine	ENSP01680095646	Well annotated
SELENOS.2.selenocysteine	ENSP01680095647	Upstream
SELENOT.5.selenocysteine	ENSP01680024827	Downstream
SELENOT.5.selenocysteine	ENSP01680024828	Downstream
SELENOT.5.selenocysteine	ENSP01680024830	Well annotated
SELENOT.5.selenocysteine	ENSP01680024833	Upstream
SELENOT.5.selenocysteine	ENSP01680024835	Downstream
SELENOW.3.selenocysteine	ENSP01680052527	Well annotated
SELENOW.4.selenocysteine	ENSP01680033939	Well annotated
SELENOW.4.selenocysteine	ENSP01680033940	Well annotated
SELENOW.4.selenocysteine	ENSP01680033941	Well annotated
SELENOW.4.selenocysteine	ENSP01680033942	Well annotated
SEPHS2.1.selenocysteine	ENSP01680065801	Well annotated
TXNRD.10.selenocysteine	ENSP01680093536	Well annotated
TXNRD.10.selenocysteine	ENSP01680093540	Upstream
TXNRD.10.selenocysteine	ENSP01680093541	Well annotated
TXNRD.10.selenocysteine	ENSP01680093542	Well annotated
TXNRD.10.selenocysteine	ENSP01680093543	Upstream
TXNRD.10.selenocysteine	ENSP01680093544	Well annotated
TXNRD.10.selenocysteine	ENSP01680093545	Upstream
TXNRD.10.selenocysteine	ENSP01680093546	Well annotated
TXNRD.10.selenocysteine	ENSP01680093547	Upstream
TXNRD.10.selenocysteine	ENSP01680093550	Well annotated
TXNRD.10.selenocysteine	ENSP01680093552	Upstream
TXNRD.10.selenocysteine	ENSP01680093553	Upstream
TXNRD.10.selenocysteine	ENSP01680093555	Well annotated
TXNRD.10.selenocysteine	ENSP01680093557	Upstream
TXNRD.10.selenocysteine	ENSP01680093559	Upstream
TXNRD.13.selenocysteine	ENSP01680089614	Well annotated
TXNRD.13.selenocysteine	ENSP01680089615	Well annotated
TXNRD.34.selenocysteine	ENSP01680001601	Well annotated
TXNRD.34.selenocysteine	ENSP01680001603	Well annotated
TXNRD.34.selenocysteine	ENSP01680001605	Out of frame
TXNRD.34.selenocysteine	ENSP01680001606	Well annotated
TXNRD.34.selenocysteine	ENSP01680001607	Well annotated
TXNRD.34.selenocysteine	ENSP01680001608	Well annotated
TXNRD.34.selenocysteine	ENSP01680001609	Well annotated
TXNRD.34.selenocysteine	ENSP01680001610	Well annotated
TXNRD.34.selenocysteine	ENSP01680001611	Well annotated
TXNRD.34.selenocysteine	ENSP01680001612	Well annotated
TXNRD.34.selenocysteine	ENSP01680001613	Upstream
TXNRD.34.selenocysteine	ENSP01680001614	Upstream
