transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSAOWP00000020017	Downstream
DIO.1.selenocysteine	ENSAOWP00000020023	Stop codon
DIO.3.selenocysteine	ENSAOWP00000011841	Upstream
DIO.3.selenocysteine	ENSAOWP00000011843	Downstream
DIO.5.selenocysteine	ENSAOWP00000005744	Skipped
GPX.12.selenocysteine	ENSAOWP00000020635	Skipped
GPX.2.selenocysteine	ENSAOWP00000007145	Downstream
GPX.4.selenocysteine	ENSAOWP00000011558	Downstream
GPX.5.selenocysteine	ENSAOWP00000024257	Skipped
MSRB.1.selenocysteine	ENSAOWP00000005869	Skipped
SELENOF.3.selenocysteine	ENSAOWP00000021549	Upstream
SELENOF.3.selenocysteine	ENSAOWP00000021551	Upstream
SELENOI.3.selenocysteine	ENSAOWP00000028892	Stop codon
SELENOI.3.selenocysteine	ENSAOWP00000028893	Stop codon
SELENOK.2.selenocysteine	ENSAOWP00000015237	Stop codon
SELENON.12.selenocysteine	ENSAOWP00000016357	Skipped
SELENOO.2.selenocysteine	ENSAOWP00000012717	Stop codon
SELENOP.1.selenocysteine	ENSAOWP00000013601	Skipped
SELENOP.5.selenocysteine	ENSAOWP00000013725	Skipped
SELENOS.5.selenocysteine	ENSAOWP00000000443	Stop codon
SELENOT.2.selenocysteine	ENSAOWP00000020385	Downstream
SELENOU.8.selenocysteine	ENSAOWP00000025223	Stop codon
SELENOU.8.selenocysteine	ENSAOWP00000025226	Downstream
TXNRD.12.selenocysteine	ENSAOWP00000027591	Stop codon
TXNRD.31.selenocysteine	ENSAOWP00000008396	Stop codon
TXNRD.31.selenocysteine	ENSAOWP00000008401	Upstream
TXNRD.5.selenocysteine	ENSAOWP00000003785	Stop codon
TXNRD.5.selenocysteine	ENSAOWP00000003814	Skipped
TXNRD.5.selenocysteine	ENSAOWP00000003821	Skipped
TXNRD.5.selenocysteine	ENSAOWP00000003849	Skipped
TXNRD.5.selenocysteine	ENSAOWP00000003854	Upstream
