transcript_id	transcript_id_ens	Type_annotation
DIO.2.selenocysteine	cds-XP_006087031.2	Well annotated
DIO.2.selenocysteine	cds-XP_014309740.1	Well annotated
DIO.5.selenocysteine	cds-XP_006087401.3	Well annotated
DIO.5.selenocysteine	cds-XP_014310108.2	Well annotated
DIO.5.selenocysteine	cds-XP_023608560.1	Upstream
DIO.5.selenocysteine	cds-XP_023608561.1	Upstream
DIO.5.selenocysteine	cds-XP_023608562.1	Upstream
GPX.1.selenocysteine	cds-XP_014311511.1	Well annotated
GPX.17.selenocysteine	cds-XP_006089192.2	Well annotated
GPX.5.selenocysteine	cds-XP_006109931.2	Well annotated
MSRB.1.selenocysteine	cds-XP_006100953.2	Well annotated
SELENOF.3.selenocysteine	cds-XP_006093970.2	Well annotated
SELENOH.2.selenocysteine	cds-XP_006091942.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_006099855.2	Well annotated
SELENOI.3.selenocysteine	cds-XP_023619255.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_023619256.1	Upstream
SELENOI.3.selenocysteine	cds-XP_023619257.1	Upstream
SELENOI.3.selenocysteine	cds-XP_023619258.1	Upstream
SELENOI.3.selenocysteine	cds-XP_023619259.1	Upstream
SELENOI.3.selenocysteine	cds-XP_023619260.1	Upstream
SELENOI.3.selenocysteine	cds-XP_023619261.1	Upstream
SELENOI.3.selenocysteine	cds-XP_023619262.1	Upstream
SELENOK.4.selenocysteine	cds-XP_006090918.1	Stop codon
SELENON.12.selenocysteine	cds-XP_006109656.2	Well annotated
SELENOO.5.selenocysteine	cds-XP_014305544.1	Out of frame
SELENOW.1.selenocysteine	cds-XP_023604193.1	Well annotated
SEPHS2.2.selenocysteine	cds-XP_014301389.1	Well annotated
SEPHS2.2.selenocysteine	cds-XP_014301402.1	Upstream
TXNRD.22.selenocysteine	cds-XP_006102427.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_014323190.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_023599507.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_023599508.1	Stop codon
TXNRD.32.selenocysteine	cds-XP_006099609.1	Stop codon
TXNRD.32.selenocysteine	cds-XP_023618966.1	Stop codon
TXNRD.32.selenocysteine	cds-XP_023618967.1	Stop codon
