transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSSSAP00020021995	Well annotated
DIO.2.selenocysteine	ENSSSAP00020055388	Well annotated
DIO.3.selenocysteine	ENSSSAP00020014725	Skipped
GPX.11.selenocysteine	ENSSSAP00020092633	Upstream
GPX.11.selenocysteine	ENSSSAP00020092635	Downstream
GPX.25.selenocysteine	ENSSSAP00020030350	Downstream
GPX.3.selenocysteine	ENSSSAP00020043992	Skipped
GPX.31.selenocysteine	ENSSSAP00020006825	Downstream
GPX.31.selenocysteine	ENSSSAP00020006838	Skipped
GPX.31.selenocysteine	ENSSSAP00020006839	Well annotated
GPX.35.selenocysteine	ENSSSAP00020050724	Skipped
GPX.35.selenocysteine	ENSSSAP00020050744	Skipped
GPX.35.selenocysteine	ENSSSAP00020050774	Skipped
GPX.35.selenocysteine	ENSSSAP00020050776	Skipped
GPX.39.selenocysteine	ENSSSAP00020084937	Skipped
GPX.39.selenocysteine	ENSSSAP00020084952	Skipped
GPX.39.selenocysteine	ENSSSAP00020084978	Skipped
GPX.39.selenocysteine	ENSSSAP00020084981	Skipped
GPX.4.selenocysteine	ENSSSAP00020060611	Skipped
GPX.4.selenocysteine	ENSSSAP00020060616	Skipped
GPX.4.selenocysteine	ENSSSAP00020060618	Skipped
GPX.4.selenocysteine	ENSSSAP00020060844	Skipped
GPX.4.selenocysteine	ENSSSAP00020060877	Skipped
GPX.4.selenocysteine	ENSSSAP00020060907	Skipped
GPX.4.selenocysteine	ENSSSAP00020060919	Skipped
GPX.4.selenocysteine	ENSSSAP00020060931	Skipped
GPX.4.selenocysteine	ENSSSAP00020060974	Skipped
GPX.4.selenocysteine	ENSSSAP00020060987	Skipped
GPX.42.selenocysteine	ENSSSAP00020037857	Skipped
GPX.42.selenocysteine	ENSSSAP00020037860	Skipped
GPX.42.selenocysteine	ENSSSAP00020037864	Skipped
GPX.42.selenocysteine	ENSSSAP00020037887	Well annotated
GPX.8.selenocysteine	ENSSSAP00020088548	Skipped
GPX.8.selenocysteine	ENSSSAP00020088594	Skipped
GPX.8.selenocysteine	ENSSSAP00020088639	Skipped
GPX.8.selenocysteine	ENSSSAP00020088699	Skipped
GPX.8.selenocysteine	ENSSSAP00020088705	Skipped
MSRB.2.selenocysteine	ENSSSAP00020144819	Stop codon
MSRB.3.selenocysteine	ENSSSAP00020062335	Well annotated
SELENOE.2.selenocysteine	ENSSSAP00020134211	Well annotated
SELENOF.4.selenocysteine	ENSSSAP00020129554	Skipped
SELENOF.4.selenocysteine	ENSSSAP00020129556	Well annotated
SELENOH.1.selenocysteine	ENSSSAP00020081382	Well annotated
SELENOH.2.selenocysteine	ENSSSAP00020024400	Downstream
SELENOI.4.selenocysteine	ENSSSAP00020041699	Upstream
SELENOI.4.selenocysteine	ENSSSAP00020041701	Upstream
SELENOJ.10.selenocysteine	ENSSSAP00020067836	Skipped
SELENOK.1.selenocysteine	ENSSSAP00020111628	Well annotated
SELENOL.5.selenocysteine	ENSSSAP00020120282	Well annotated
SELENOM.3.selenocysteine	ENSSSAP00020104670	Downstream
SELENOM.3.selenocysteine	ENSSSAP00020104671	Downstream
SELENON.10.selenocysteine	ENSSSAP00020040159	Skipped
SELENOO.1.selenocysteine	ENSSSAP00020099878	Out of frame
SELENOO.1.selenocysteine	ENSSSAP00020099886	Out of frame
SELENOO.1.selenocysteine	ENSSSAP00020099892	Well annotated
SELENOO.10.selenocysteine	ENSSSAP00020049555	Stop codon
SELENOO.10.selenocysteine	ENSSSAP00020049559	Stop codon
SELENOP.2.selenocysteine	ENSSSAP00020104346	Well annotated
SELENOP.5.selenocysteine	ENSSSAP00020065693	Well annotated
SELENOS.14.selenocysteine	ENSSSAP00020135454	Stop codon
SELENOS.4.selenocysteine	ENSSSAP00020044178	Stop codon
SELENOT.3.selenocysteine	ENSSSAP00020004019	Skipped
SELENOT.3.selenocysteine	ENSSSAP00020004028	Skipped
SELENOT.4.selenocysteine	ENSSSAP00020026608	Well annotated
SELENOT.4.selenocysteine	ENSSSAP00020026612	Skipped
SELENOT.7.selenocysteine	ENSSSAP00020082759	Downstream
SELENOU.10.selenocysteine	ENSSSAP00020101512	Skipped
SELENOU.14.selenocysteine	ENSSSAP00020011060	Skipped
SELENOU.14.selenocysteine	ENSSSAP00020011065	Well annotated
SELENOU.18.selenocysteine	ENSSSAP00020042609	Skipped
SELENOU.18.selenocysteine	ENSSSAP00020042611	Skipped
SELENOU.6.selenocysteine	ENSSSAP00020101515	Skipped
SELENOW.1.selenocysteine	ENSSSAP00020141557	Downstream
SELENOW.4.selenocysteine	ENSSSAP00020072705	Skipped
SELENOW.6.selenocysteine	ENSSSAP00020104663	Skipped
SELENOW.8.selenocysteine	ENSSSAP00020104665	Downstream
SEPHS2.10.selenocysteine	ENSSSAP00020005014	Skipped
TXNRD.1.selenocysteine	ENSSSAP00020105862	Skipped
TXNRD.1.selenocysteine	ENSSSAP00020105865	Skipped
TXNRD.12.selenocysteine	ENSSSAP00020138131	Stop codon
TXNRD.12.selenocysteine	ENSSSAP00020138132	Stop codon
TXNRD.12.selenocysteine	ENSSSAP00020138135	Stop codon
TXNRD.27.selenocysteine	ENSSSAP00020142333	Skipped
TXNRD.38.selenocysteine	ENSSSAP00020104814	Stop codon
TXNRD.44.selenocysteine	ENSSSAP00020134868	Upstream
