transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSLBEP00000032020	Skipped
DIO.2.selenocysteine	ENSLBEP00000006858	Skipped
DIO.4.selenocysteine	ENSLBEP00000009981	Skipped
DIO.5.selenocysteine	ENSLBEP00000023225	Skipped
GPX.10.selenocysteine	ENSLBEP00000011391	Downstream
GPX.13.selenocysteine	ENSLBEP00000037007	Stop codon
GPX.13.selenocysteine	ENSLBEP00000037016	Downstream
GPX.19.selenocysteine	ENSLBEP00000032882	Skipped
GPX.2.selenocysteine	ENSLBEP00000014267	Skipped
GPX.4.selenocysteine	ENSLBEP00000027400	Downstream
GPX.5.selenocysteine	ENSLBEP00000036047	Downstream
MSRB.10.selenocysteine	ENSLBEP00000032276	Stop codon
MSRB.6.selenocysteine	ENSLBEP00000035340	Stop codon
MSRB.7.selenocysteine	ENSLBEP00000035349	Stop codon
SELENOF.1.selenocysteine	ENSLBEP00000020265	Skipped
SELENOF.4.selenocysteine	ENSLBEP00000009433	Skipped
SELENOF.4.selenocysteine	ENSLBEP00000009458	Skipped
SELENOH.1.selenocysteine	ENSLBEP00000013314	Skipped
SELENOI.5.selenocysteine	ENSLBEP00000008859	Stop codon
SELENOJ.13.selenocysteine	ENSLBEP00000004491	Skipped
SELENOJ.19.selenocysteine	ENSLBEP00000033457	Stop codon
SELENOJ.5.selenocysteine	ENSLBEP00000003830	Skipped
SELENOK.1.selenocysteine	ENSLBEP00000014350	Stop codon
SELENOL.1.selenocysteine	ENSLBEP00000032854	Skipped
SELENOM.2.selenocysteine	ENSLBEP00000019093	Out of frame
SELENOM.5.selenocysteine	ENSLBEP00000017805	Downstream
SELENON.3.selenocysteine	ENSLBEP00000007521	Skipped
SELENOO.1.selenocysteine	ENSLBEP00000009160	Stop codon
SELENOO.12.selenocysteine	ENSLBEP00000013229	Stop codon
SELENOP.5.selenocysteine	ENSLBEP00000013594	Downstream
SELENOS.1.selenocysteine	ENSLBEP00000027480	Stop codon
SELENOS.5.selenocysteine	ENSLBEP00000013793	Stop codon
SELENOT.3.selenocysteine	ENSLBEP00000029887	Skipped
SELENOT.8.selenocysteine	ENSLBEP00000022540	Skipped
SELENOT.8.selenocysteine	ENSLBEP00000022569	Skipped
SELENOU.10.selenocysteine	ENSLBEP00000037776	Downstream
SELENOU.10.selenocysteine	ENSLBEP00000037786	Stop codon
SELENOU.5.selenocysteine	ENSLBEP00000009576	Downstream
SELENOU.5.selenocysteine	ENSLBEP00000009604	Stop codon
SELENOU.7.selenocysteine	ENSLBEP00000009656	Skipped
SELENOW.1.selenocysteine	ENSLBEP00000010352	Downstream
SEPHS2.12.selenocysteine	ENSLBEP00000015301	Out of frame
TXNRD.22.selenocysteine	ENSLBEP00000037411	Stop codon
TXNRD.37.selenocysteine	ENSLBEP00000014090	Skipped
TXNRD.37.selenocysteine	ENSLBEP00000014107	Skipped
