transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KFV10184.1	Downstream
DIO.3.selenocysteine	cds-KFV02214.1	Upstream
DIO.3.selenocysteine	cds-KFV02215.1	Downstream
DIO.5.selenocysteine	cds-KFV13706.1	Stop codon
GPX.1.selenocysteine	cds-KFV04603.1	Downstream
GPX.6.selenocysteine	cds-KFV13807.1	Downstream
SELENOF.2.selenocysteine	cds-KFV17066.1	Upstream
SELENOI.3.selenocysteine	cds-KFV17484.1	Upstream
SELENOK.2.selenocysteine	cds-KFV00577.1	Stop codon
SELENOO.2.selenocysteine	cds-KFV10034.1	Stop codon
SELENOP.1.selenocysteine	cds-KFV07391.1	Downstream
SELENOS.3.selenocysteine	cds-KFV11668.1	Stop codon
SELENOT.3.selenocysteine	cds-KFU97991.1	Downstream
SELENOU.5.selenocysteine	cds-KFU97147.1	Stop codon
TXNRD.17.selenocysteine	cds-KFV10089.1	Upstream
TXNRD.22.selenocysteine	cds-KFU98839.1	Stop codon
TXNRD.8.selenocysteine	cds-KFV07156.1	Stop codon
