transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-CAF4092781.1	Skipped
DIO.10.selenocysteine	cds-CAF3712308.1	Downstream
DIO.10.selenocysteine	cds-CAF3712322.1	Stop codon
DIO.13.selenocysteine	cds-CAF3941573.1	Skipped
DIO.14.selenocysteine	cds-CAF3947977.1	Stop codon
DIO.14.selenocysteine	cds-CAF3947980.1	Downstream
DIO.17.selenocysteine	cds-CAF3823667.1	Downstream
DIO.17.selenocysteine	cds-CAF3823682.1	Stop codon
DIO.2.selenocysteine	cds-CAF3833698.1	Downstream
DIO.2.selenocysteine	cds-CAF3833713.1	Stop codon
DIO.28.selenocysteine	cds-CAF3793047.1	Downstream
DIO.28.selenocysteine	cds-CAF3793060.1	Stop codon
DIO.34.selenocysteine	cds-CAF3808498.1	Skipped
SELENOF.1.selenocysteine	cds-CAF3844177.1	Skipped
SELENOL.1.selenocysteine	cds-CAF3752656.1	Skipped
SELENON.2.selenocysteine	cds-CAF3629996.1	Skipped
SELENOT.3.selenocysteine	cds-CAF3899351.1	Downstream
SEPHS2.3.selenocysteine	cds-CAF3992318.1	Skipped
SEPHS2.8.selenocysteine	cds-CAF3524639.1	Downstream
TXNRD.7.selenocysteine	cds-CAF4023436.1	Out of frame
