transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSCPRP00005015134	Downstream
DIO.3.selenocysteine	ENSCPRP00005008140	Downstream
DIO.5.selenocysteine	ENSCPRP00005007426	Skipped
GPX.12.selenocysteine	ENSCPRP00005022145	Skipped
GPX.2.selenocysteine	ENSCPRP00005014820	Downstream
GPX.5.selenocysteine	ENSCPRP00005018133	Skipped
MSRB.1.selenocysteine	ENSCPRP00005021431	Stop codon
SELENOF.3.selenocysteine	ENSCPRP00005024320	Upstream
SELENOF.3.selenocysteine	ENSCPRP00005024321	Stop codon
SELENOH.3.selenocysteine	ENSCPRP00005012420	Downstream
SELENOH.3.selenocysteine	ENSCPRP00005012428	Stop codon
SELENOI.3.selenocysteine	ENSCPRP00005004485	Stop codon
SELENOI.3.selenocysteine	ENSCPRP00005004489	Stop codon
SELENOK.2.selenocysteine	ENSCPRP00005027422	Stop codon
SELENON.10.selenocysteine	ENSCPRP00005024155	Skipped
SELENOO.8.selenocysteine	ENSCPRP00005016132	Stop codon
SELENOO.8.selenocysteine	ENSCPRP00005016136	Stop codon
SELENOP.1.selenocysteine	ENSCPRP00005025681	Skipped
SELENOP.1.selenocysteine	ENSCPRP00005025682	Downstream
SELENOS.3.selenocysteine	ENSCPRP00005026340	Stop codon
SELENOT.2.selenocysteine	ENSCPRP00005009631	Downstream
SELENOU.6.selenocysteine	ENSCPRP00005014520	Downstream
SELENOU.6.selenocysteine	ENSCPRP00005014523	Downstream
SELENOU.6.selenocysteine	ENSCPRP00005014528	Stop codon
TXNRD.16.selenocysteine	ENSCPRP00005026400	Stop codon
TXNRD.16.selenocysteine	ENSCPRP00005026402	Stop codon
TXNRD.25.selenocysteine	ENSCPRP00005000570	Stop codon
TXNRD.5.selenocysteine	ENSCPRP00005025959	Upstream
TXNRD.5.selenocysteine	ENSCPRP00005025984	Stop codon
TXNRD.5.selenocysteine	ENSCPRP00005025990	Stop codon
TXNRD.5.selenocysteine	ENSCPRP00005025993	Stop codon
TXNRD.5.selenocysteine	ENSCPRP00005025996	Stop codon
TXNRD.5.selenocysteine	ENSCPRP00005025998	Upstream
TXNRD.5.selenocysteine	ENSCPRP00005026002	Upstream
TXNRD.5.selenocysteine	ENSCPRP00005026006	Upstream
