transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSIUKP00000003997	Skipped
DIO.1.selenocysteine	ENSIUKP00000032769	Skipped
DIO.2.selenocysteine	ENSIUKP00000001560	Skipped
DIO.2.selenocysteine	ENSIUKP00000001573	Skipped
DIO.2.selenocysteine	ENSIUKP00000031300	Skipped
DIO.2.selenocysteine	ENSIUKP00000031309	Skipped
DIO.3.selenocysteine	ENSIUKP00000005284	Skipped
DIO.3.selenocysteine	ENSIUKP00000029535	Skipped
DIO.6.selenocysteine	ENSIUKP00000001502	Stop codon
DIO.6.selenocysteine	ENSIUKP00000001519	Stop codon
DIO.6.selenocysteine	ENSIUKP00000032833	Stop codon
DIO.6.selenocysteine	ENSIUKP00000032842	Stop codon
FrnE.1.selenocysteine	ENSIUKP00000013461	Downstream
FrnE.1.selenocysteine	ENSIUKP00000044409	Downstream
GPX.16.selenocysteine	ENSIUKP00000001767	Skipped
GPX.16.selenocysteine	ENSIUKP00000030217	Skipped
GPX.22.selenocysteine	ENSIUKP00000019210	Skipped
GPX.22.selenocysteine	ENSIUKP00000019221	Downstream
GPX.22.selenocysteine	ENSIUKP00000045934	Skipped
GPX.22.selenocysteine	ENSIUKP00000045959	Downstream
GPX.23.selenocysteine	ENSIUKP00000018952	Skipped
GPX.23.selenocysteine	ENSIUKP00000018963	Skipped
GPX.23.selenocysteine	ENSIUKP00000047327	Skipped
GPX.23.selenocysteine	ENSIUKP00000047355	Skipped
GPX.3.selenocysteine	ENSIUKP00000005519	Downstream
GPX.3.selenocysteine	ENSIUKP00000005524	Downstream
GPX.3.selenocysteine	ENSIUKP00000037950	Downstream
GPX.3.selenocysteine	ENSIUKP00000037961	Downstream
GPX.7.selenocysteine	ENSIUKP00000013771	Skipped
GPX.7.selenocysteine	ENSIUKP00000013778	Skipped
GPX.7.selenocysteine	ENSIUKP00000013786	Skipped
GPX.7.selenocysteine	ENSIUKP00000047070	Skipped
GPX.7.selenocysteine	ENSIUKP00000047084	Skipped
GPX.7.selenocysteine	ENSIUKP00000047086	Skipped
MsrA.6.selenocysteine	ENSIUKP00000028992	Downstream
MsrA.6.selenocysteine	ENSIUKP00000056841	Downstream
SELENOJ.5.selenocysteine	ENSIUKP00000016002	Skipped
SELENOJ.5.selenocysteine	ENSIUKP00000016010	Stop codon
SELENOJ.5.selenocysteine	ENSIUKP00000043506	Skipped
SELENOJ.5.selenocysteine	ENSIUKP00000043516	Stop codon
SELENOL.1.selenocysteine	ENSIUKP00000021621	Stop codon
SELENOL.1.selenocysteine	ENSIUKP00000045364	Stop codon
SELENON.3.selenocysteine	ENSIUKP00000021213	Upstream
SELENON.3.selenocysteine	ENSIUKP00000021221	Skipped
SELENON.3.selenocysteine	ENSIUKP00000047238	Upstream
SELENON.3.selenocysteine	ENSIUKP00000047248	Skipped
SELENOO.3.selenocysteine	ENSIUKP00000005057	Stop codon
SELENOO.3.selenocysteine	ENSIUKP00000030904	Stop codon
SELENOP.1.selenocysteine	ENSIUKP00000018960	Downstream
SELENOP.1.selenocysteine	ENSIUKP00000047255	Downstream
SELENOT.3.selenocysteine	ENSIUKP00000010356	Downstream
SELENOT.3.selenocysteine	ENSIUKP00000010363	Downstream
SELENOT.3.selenocysteine	ENSIUKP00000040576	Downstream
SELENOT.3.selenocysteine	ENSIUKP00000040586	Downstream
SELENOU.5.selenocysteine	ENSIUKP00000012790	Stop codon
SELENOU.5.selenocysteine	ENSIUKP00000012795	Skipped
SELENOU.5.selenocysteine	ENSIUKP00000012809	Skipped
SELENOU.5.selenocysteine	ENSIUKP00000042009	Stop codon
SELENOU.5.selenocysteine	ENSIUKP00000042019	Skipped
SELENOU.5.selenocysteine	ENSIUKP00000042031	Skipped
SELENOU.9.selenocysteine	ENSIUKP00000006315	Downstream
SELENOU.9.selenocysteine	ENSIUKP00000035939	Downstream
SEPHS2.3.selenocysteine	ENSIUKP00000023446	Skipped
SEPHS2.3.selenocysteine	ENSIUKP00000023459	Downstream
SEPHS2.3.selenocysteine	ENSIUKP00000052977	Skipped
SEPHS2.3.selenocysteine	ENSIUKP00000052992	Downstream
TXNRD.2.selenocysteine	ENSIUKP00000023802	Stop codon
TXNRD.2.selenocysteine	ENSIUKP00000023821	Stop codon
TXNRD.2.selenocysteine	ENSIUKP00000051525	Stop codon
TXNRD.2.selenocysteine	ENSIUKP00000051544	Stop codon
TXNRD.20.selenocysteine	ENSIUKP00000008899	Stop codon
TXNRD.20.selenocysteine	ENSIUKP00000038055	Stop codon
