transcript_id	transcript_id_ens	Type_annotation
DIO.4.selenocysteine	ENSBTLP00005003835	Skipped
DIO.9.selenocysteine	ENSBTLP00005054823	Skipped
GPX.10.selenocysteine	ENSBTLP00005020670	Out of frame
GPX.17.selenocysteine	ENSBTLP00005016964	Skipped
GPX.17.selenocysteine	ENSBTLP00005016969	Out of frame
GPX.2.selenocysteine	ENSBTLP00005036558	Downstream
GPX.2.selenocysteine	ENSBTLP00005036562	Stop codon
GPX.21.selenocysteine	ENSBTLP00005042672	Skipped
GPX.4.selenocysteine	ENSBTLP00005049928	Downstream
GPX.6.selenocysteine	ENSBTLP00005008739	Downstream
GPX.7.selenocysteine	ENSBTLP00005029388	Skipped
MSRB.1.selenocysteine	ENSBTLP00005028650	Stop codon
MSRB.2.selenocysteine	ENSBTLP00005005286	Stop codon
SELENOE.3.selenocysteine	ENSBTLP00005043835	Skipped
SELENOF.1.selenocysteine	ENSBTLP00005056825	Skipped
SELENOI.4.selenocysteine	ENSBTLP00005029163	Skipped
SELENOI.4.selenocysteine	ENSBTLP00005029173	Stop codon
SELENOI.4.selenocysteine	ENSBTLP00005029181	Stop codon
SELENOI.4.selenocysteine	ENSBTLP00005029182	Stop codon
SELENOI.4.selenocysteine	ENSBTLP00005029185	Stop codon
SELENOJ.2.selenocysteine	ENSBTLP00005056494	Skipped
SELENOK.1.selenocysteine	ENSBTLP00005038862	Upstream
SELENOK.1.selenocysteine	ENSBTLP00005038864	Stop codon
SELENON.8.selenocysteine	ENSBTLP00005034287	Skipped
SELENON.8.selenocysteine	ENSBTLP00005034289	Skipped
SELENON.8.selenocysteine	ENSBTLP00005034292	Skipped
SELENOO.1.selenocysteine	ENSBTLP00005009063	Stop codon
SELENOO.1.selenocysteine	ENSBTLP00005009069	Stop codon
SELENOP.1.selenocysteine	ENSBTLP00005016232	Downstream
SELENOS.3.selenocysteine	ENSBTLP00005023192	Stop codon
SELENOT.3.selenocysteine	ENSBTLP00005041242	Downstream
SELENOT.8.selenocysteine	ENSBTLP00005001190	Downstream
SELENOT.8.selenocysteine	ENSBTLP00005001191	Skipped
SELENOU.11.selenocysteine	ENSBTLP00005023365	Downstream
SELENOU.12.selenocysteine	ENSBTLP00005023352	Downstream
SELENOU.5.selenocysteine	ENSBTLP00005056330	Downstream
SELENOU.5.selenocysteine	ENSBTLP00005056331	Stop codon
SELENOW.1.selenocysteine	ENSBTLP00005019998	Downstream
SEPHS2.8.selenocysteine	ENSBTLP00005016031	Downstream
SEPHS2.8.selenocysteine	ENSBTLP00005016044	Downstream
TXNRD.11.selenocysteine	ENSBTLP00005024014	Stop codon
TXNRD.11.selenocysteine	ENSBTLP00005024045	Stop codon
TXNRD.11.selenocysteine	ENSBTLP00005024053	Stop codon
TXNRD.11.selenocysteine	ENSBTLP00005024058	Stop codon
TXNRD.11.selenocysteine	ENSBTLP00005024109	Stop codon
TXNRD.11.selenocysteine	ENSBTLP00005024111	Stop codon
TXNRD.11.selenocysteine	ENSBTLP00005024119	Stop codon
TXNRD.11.selenocysteine	ENSBTLP00005024136	Stop codon
TXNRD.11.selenocysteine	ENSBTLP00005024145	Stop codon
TXNRD.11.selenocysteine	ENSBTLP00005024153	Stop codon
TXNRD.5.selenocysteine	ENSBTLP00005051224	Stop codon
TXNRD.5.selenocysteine	ENSBTLP00005051235	Upstream
TXNRD.5.selenocysteine	ENSBTLP00005051237	Stop codon
TXNRD.5.selenocysteine	ENSBTLP00005051238	Stop codon
TXNRD.5.selenocysteine	ENSBTLP00005051240	Stop codon
TXNRD.5.selenocysteine	ENSBTLP00005051242	Stop codon
TXNRD.5.selenocysteine	ENSBTLP00005051243	Stop codon
TXNRD.5.selenocysteine	ENSBTLP00005051246	Upstream
