transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_044292544.1	Well annotated
DIO.3.selenocysteine	cds-XP_044292752.1	Well annotated
DIO.4.selenocysteine	cds-XP_044286276.1	Well annotated
GPX.12.selenocysteine	cds-XP_044310377.1	Well annotated
GPX.2.selenocysteine	cds-XP_044307409.1	Well annotated
GPX.4.selenocysteine	cds-XP_044294193.1	Well annotated
GPX.5.selenocysteine	cds-XP_044311880.1	Well annotated
MSRB.1.selenocysteine	cds-XP_044308470.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_044288328.1	Well annotated
SELENOH.3.selenocysteine	cds-XP_044276802.1	Well annotated
SELENOH.3.selenocysteine	cds-XP_044276803.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_044277049.1	Stop codon
SELENOK.1.selenocysteine	cds-XP_044307394.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_044307395.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_044300295.1	Well annotated
SELENON.8.selenocysteine	cds-XP_044290876.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_044279420.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_044298145.1	Out of frame
SELENOP.3.selenocysteine	cds-XP_044302465.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_044300992.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_044288881.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_044276267.1	Well annotated
SEPHS2.7.selenocysteine	cds-XP_044299446.1	Downstream
TXNRD.10.selenocysteine	cds-XP_044307079.1	Stop codon
TXNRD.22.selenocysteine	cds-XP_044297024.1	Stop codon
TXNRD.30.selenocysteine	cds-XP_044296396.1	Stop codon
TXNRD.30.selenocysteine	cds-XP_044296397.1	Stop codon
TXNRD.30.selenocysteine	cds-XP_044296398.1	Stop codon
TXNRD.30.selenocysteine	cds-XP_044296400.1	Upstream
