transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_056707648.1	Well annotated
DIO.3.selenocysteine	cds-XP_056707566.1	Well annotated
DIO.3.selenocysteine	cds-XP_056707567.1	Well annotated
DIO.5.selenocysteine	cds-XP_056701112.1	Skipped
DIO.5.selenocysteine	cds-XP_056701113.1	Well annotated
GPX.10.selenocysteine	cds-XP_056700597.1	Well annotated
GPX.3.selenocysteine	cds-XP_056711389.1	Well annotated
GPX.5.selenocysteine	cds-XP_056715118.1	Well annotated
GPX.8.selenocysteine	cds-XP_056706843.1	Well annotated
MSRB.1.selenocysteine	cds-XP_056722160.1	Stop codon
SELENOF.3.selenocysteine	cds-XP_056723609.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_056706804.1	Well annotated
SELENOI.1.selenocysteine	cds-XP_056708469.1	Well annotated
SELENOI.1.selenocysteine	cds-XP_056708470.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_056715192.1	Well annotated
SELENON.10.selenocysteine	cds-XP_056702989.1	Well annotated
SELENOO.7.selenocysteine	cds-XP_056702765.1	Well annotated
SELENOP.3.selenocysteine	cds-XP_056705032.1	Well annotated
SELENOP.5.selenocysteine	cds-XP_056700765.1	Well annotated
SELENOS.4.selenocysteine	cds-XP_056721635.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_056705377.1	Well annotated
SELENOU.8.selenocysteine	cds-XP_056706045.1	Well annotated
TXNRD.13.selenocysteine	cds-XP_056702231.1	Stop codon
TXNRD.29.selenocysteine	cds-XP_056715348.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_056710960.1	Stop codon
