transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP00530012184	Downstream
DIO.1.selenocysteine	ENSP00530012186	Well annotated
DIO.3.selenocysteine	ENSP00530016334	Well annotated
DIO.3.selenocysteine	ENSP00530016336	Well annotated
DIO.3.selenocysteine	ENSP00530016338	Upstream
DIO.3.selenocysteine	ENSP00530016339	Out of frame
DIO.3.selenocysteine	ENSP00530016341	Upstream
DIO.3.selenocysteine	ENSP00530016342	Upstream
DIO.3.selenocysteine	ENSP00530016343	Upstream
DIO.4.selenocysteine	ENSP00530080898	Well annotated
DIO.4.selenocysteine	ENSP00530080899	Well annotated
DIO.4.selenocysteine	ENSP00530080900	Well annotated
DIO.4.selenocysteine	ENSP00530080901	Out of frame
DIO.4.selenocysteine	ENSP00530080902	Out of frame
DIO.4.selenocysteine	ENSP00530080903	Upstream
DIO.4.selenocysteine	ENSP00530080904	Out of frame
DIO.4.selenocysteine	ENSP00530080905	Skipped
DIO.4.selenocysteine	ENSP00530080906	Downstream
DIO.4.selenocysteine	ENSP00530080907	Well annotated
DIO.4.selenocysteine	ENSP00530080908	Upstream
DIO.4.selenocysteine	ENSP00530080909	Upstream
GPX.11.selenocysteine	ENSP00530020773	Well annotated
GPX.11.selenocysteine	ENSP00530020774	Well annotated
GPX.11.selenocysteine	ENSP00530020775	Well annotated
GPX.11.selenocysteine	ENSP00530020776	Well annotated
GPX.11.selenocysteine	ENSP00530020777	Well annotated
GPX.11.selenocysteine	ENSP00530020778	Well annotated
GPX.11.selenocysteine	ENSP00530020779	Well annotated
GPX.11.selenocysteine	ENSP00530020780	Downstream
GPX.11.selenocysteine	ENSP00530020781	Well annotated
GPX.11.selenocysteine	ENSP00530020782	Well annotated
GPX.11.selenocysteine	ENSP00530020783	Well annotated
GPX.11.selenocysteine	ENSP00530020784	Downstream
GPX.16.selenocysteine	ENSP00530096971	Well annotated
GPX.16.selenocysteine	ENSP00530096972	Well annotated
GPX.16.selenocysteine	ENSP00530096973	Upstream
GPX.16.selenocysteine	ENSP00530096974	Upstream
GPX.16.selenocysteine	ENSP00530096975	Out of frame
GPX.18.selenocysteine	ENSP00530002780	Well annotated
GPX.18.selenocysteine	ENSP00530002781	Well annotated
GPX.3.selenocysteine	ENSP00530093331	Well annotated
GPX.3.selenocysteine	ENSP00530093333	Well annotated
GPX.3.selenocysteine	ENSP00530093334	Skipped
GPX.3.selenocysteine	ENSP00530093336	Well annotated
GPX.3.selenocysteine	ENSP00530093338	Well annotated
GPX.3.selenocysteine	ENSP00530093340	Well annotated
GPX.3.selenocysteine	ENSP00530093342	Skipped
GPX.3.selenocysteine	ENSP00530093344	Well annotated
GPX.3.selenocysteine	ENSP00530093345	Well annotated
GPX.3.selenocysteine	ENSP00530093347	Well annotated
