transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSPLAP00000009504	Downstream
DIO.1.selenocysteine	ENSPLAP00000025345	Stop codon
DIO.2.selenocysteine	ENSPLAP00000023789	Skipped
DIO.3.selenocysteine	ENSPLAP00000020275	Downstream
DIO.5.selenocysteine	ENSPLAP00000027661	Stop codon
DIO.6.selenocysteine	ENSPLAP00000014087	Skipped
GPX.13.selenocysteine	ENSPLAP00000008517	Downstream
GPX.13.selenocysteine	ENSPLAP00000008522	Downstream
GPX.17.selenocysteine	ENSPLAP00000006011	Stop codon
GPX.17.selenocysteine	ENSPLAP00000023018	Downstream
GPX.2.selenocysteine	ENSPLAP00000026507	Downstream
GPX.22.selenocysteine	ENSPLAP00000011291	Downstream
GPX.22.selenocysteine	ENSPLAP00000026541	Skipped
GPX.4.selenocysteine	ENSPLAP00000004576	Skipped
GPX.5.selenocysteine	ENSPLAP00000018435	Downstream
GPX.7.selenocysteine	ENSPLAP00000010552	Skipped
MSRB.11.selenocysteine	ENSPLAP00000010525	Stop codon
MSRB.4.selenocysteine	ENSPLAP00000027754	Stop codon
SELENOF.1.selenocysteine	ENSPLAP00000002301	Skipped
SELENOH.2.selenocysteine	ENSPLAP00000017888	Skipped
SELENOI.1.selenocysteine	ENSPLAP00000028183	Stop codon
SELENOJ.13.selenocysteine	ENSPLAP00000013822	Skipped
SELENOJ.3.selenocysteine	ENSPLAP00000029104	Stop codon
SELENOJ.3.selenocysteine	ENSPLAP00000029114	Stop codon
SELENOJ.8.selenocysteine	ENSPLAP00000003099	Skipped
SELENOK.1.selenocysteine	ENSPLAP00000020907	Stop codon
SELENOM.3.selenocysteine	ENSPLAP00000006206	Downstream
SELENOM.3.selenocysteine	ENSPLAP00000023167	Skipped
SELENON.3.selenocysteine	ENSPLAP00000012621	Skipped
SELENOO.10.selenocysteine	ENSPLAP00000000121	Stop codon
SELENOO.3.selenocysteine	ENSPLAP00000009892	Stop codon
SELENOP.3.selenocysteine	ENSPLAP00000014480	Downstream
SELENOP.4.selenocysteine	ENSPLAP00000027487	Downstream
SELENOS.1.selenocysteine	ENSPLAP00000017332	Stop codon
SELENOT.2.selenocysteine	ENSPLAP00000000038	Skipped
SELENOT.5.selenocysteine	ENSPLAP00000013560	Skipped
SELENOT.5.selenocysteine	ENSPLAP00000013582	Skipped
SELENOT.5.selenocysteine	ENSPLAP00000013611	Skipped
SELENOU.5.selenocysteine	ENSPLAP00000007019	Stop codon
SELENOU.5.selenocysteine	ENSPLAP00000023703	Downstream
SELENOU.9.selenocysteine	ENSPLAP00000009221	Downstream
SELENOW.1.selenocysteine	ENSPLAP00000014831	Downstream
SELENOW.3.selenocysteine	ENSPLAP00000014831	Upstream
SELENOW.3.selenocysteine	ENSPLAP00000014850	Downstream
SEPHS2.10.selenocysteine	ENSPLAP00000005332	Downstream
TXNRD.29.selenocysteine	ENSPLAP00000016681	Skipped
TXNRD.9.selenocysteine	ENSPLAP00000020662	Stop codon
