transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSSLWP00000060682	Downstream
DIO.1.selenocysteine	ENSSLWP00000060683	Stop codon
DIO.10.selenocysteine	ENSSLWP00000031958	Downstream
DIO.10.selenocysteine	ENSSLWP00000031959	Downstream
DIO.10.selenocysteine	ENSSLWP00000031962	Downstream
DIO.10.selenocysteine	ENSSLWP00000031963	Downstream
DIO.10.selenocysteine	ENSSLWP00000031964	Downstream
DIO.2.selenocysteine	ENSSLWP00000016450	Skipped
DIO.2.selenocysteine	ENSSLWP00000016465	Skipped
DIO.2.selenocysteine	ENSSLWP00000016467	Skipped
DIO.2.selenocysteine	ENSSLWP00000016468	Skipped
DIO.2.selenocysteine	ENSSLWP00000016470	Skipped
DIO.2.selenocysteine	ENSSLWP00000016474	Skipped
DIO.4.selenocysteine	ENSSLWP00000037652	Well annotated
DIO.7.selenocysteine	ENSSLWP00000032206	Skipped
DIO.7.selenocysteine	ENSSLWP00000032211	Skipped
DIO.7.selenocysteine	ENSSLWP00000032213	Skipped
DIO.7.selenocysteine	ENSSLWP00000032215	Skipped
DIO.7.selenocysteine	ENSSLWP00000032216	Skipped
DIO.7.selenocysteine	ENSSLWP00000032222	Skipped
DIO.7.selenocysteine	ENSSLWP00000032224	Skipped
DIO.7.selenocysteine	ENSSLWP00000032226	Skipped
GPX.12.selenocysteine	ENSSLWP00000043120	Skipped
GPX.12.selenocysteine	ENSSLWP00000043121	Skipped
GPX.15.selenocysteine	ENSSLWP00000043558	Skipped
GPX.15.selenocysteine	ENSSLWP00000043559	Skipped
GPX.15.selenocysteine	ENSSLWP00000043560	Skipped
GPX.15.selenocysteine	ENSSLWP00000043565	Skipped
GPX.15.selenocysteine	ENSSLWP00000043566	Skipped
GPX.15.selenocysteine	ENSSLWP00000043567	Skipped
GPX.2.selenocysteine	ENSSLWP00000047705	Skipped
GPX.2.selenocysteine	ENSSLWP00000047708	Well annotated
GPX.2.selenocysteine	ENSSLWP00000047712	Skipped
GPX.2.selenocysteine	ENSSLWP00000047714	Skipped
GPX.22.selenocysteine	ENSSLWP00000019549	Downstream
GPX.23.selenocysteine	ENSSLWP00000015429	Well annotated
GPX.24.selenocysteine	ENSSLWP00000015432	Downstream
GPX.4.selenocysteine	ENSSLWP00000031168	Well annotated
GPX.6.selenocysteine	ENSSLWP00000006706	Skipped
GPX.8.selenocysteine	ENSSLWP00000040847	Skipped
GPX.8.selenocysteine	ENSSLWP00000040849	Skipped
GPX.8.selenocysteine	ENSSLWP00000040853	Skipped
GPX.8.selenocysteine	ENSSLWP00000040856	Skipped
GPX.8.selenocysteine	ENSSLWP00000040863	Skipped
GPX.8.selenocysteine	ENSSLWP00000040865	Skipped
MSRB.3.selenocysteine	ENSSLWP00000020425	Stop codon
MSRB.8.selenocysteine	ENSSLWP00000053494	Well annotated
SELENOH.2.selenocysteine	ENSSLWP00000019508	Skipped
SELENOI.3.selenocysteine	ENSSLWP00000048122	Skipped
SELENOI.3.selenocysteine	ENSSLWP00000048125	Skipped
SELENOI.3.selenocysteine	ENSSLWP00000048129	Skipped
SELENOI.3.selenocysteine	ENSSLWP00000048130	Well annotated
SELENOJ.3.selenocysteine	ENSSLWP00000053196	Skipped
SELENOJ.3.selenocysteine	ENSSLWP00000053197	Skipped
SELENOK.2.selenocysteine	ENSSLWP00000042485	Out of frame
SELENOL.1.selenocysteine	ENSSLWP00000033484	Downstream
SELENOM.2.selenocysteine	ENSSLWP00000032647	Skipped
SELENON.10.selenocysteine	ENSSLWP00000015100	Skipped
SELENON.10.selenocysteine	ENSSLWP00000015105	Skipped
SELENON.10.selenocysteine	ENSSLWP00000015107	Skipped
SELENOO.3.selenocysteine	ENSSLWP00000051994	Stop codon
SELENOP.3.selenocysteine	ENSSLWP00000044319	Skipped
SELENOP.3.selenocysteine	ENSSLWP00000044320	Downstream
SELENOP.4.selenocysteine	ENSSLWP00000058014	Skipped
SELENOS.2.selenocysteine	ENSSLWP00000018670	Upstream
SELENOT.3.selenocysteine	ENSSLWP00000021730	Skipped
SELENOT.3.selenocysteine	ENSSLWP00000021731	Well annotated
SELENOT.5.selenocysteine	ENSSLWP00000001293	Well annotated
SELENOT.8.selenocysteine	ENSSLWP00000050351	Well annotated
SELENOU.11.selenocysteine	ENSSLWP00000007549	Downstream
SELENOU.13.selenocysteine	ENSSLWP00000054481	Skipped
SELENOU.15.selenocysteine	ENSSLWP00000054478	Downstream
SELENOU.5.selenocysteine	ENSSLWP00000032006	Skipped
SELENOU.5.selenocysteine	ENSSLWP00000032008	Skipped
SELENOU.7.selenocysteine	ENSSLWP00000007548	Skipped
SELENOW.1.selenocysteine	ENSSLWP00000016004	Well annotated
SEPHS2.8.selenocysteine	ENSSLWP00000049350	Downstream
SEPHS2.8.selenocysteine	ENSSLWP00000049353	Downstream
TXNRD.10.selenocysteine	ENSSLWP00000005122	Upstream
TXNRD.10.selenocysteine	ENSSLWP00000005123	Skipped
TXNRD.12.selenocysteine	ENSSLWP00000022502	Stop codon
TXNRD.12.selenocysteine	ENSSLWP00000022504	Stop codon
