transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_010710339.3	Well annotated
DIO.3.selenocysteine	cds-XP_003206693.3	Well annotated
DIO.5.selenocysteine	cds-NP_001295583.1	Well annotated
GPX.1.selenocysteine	cds-XP_010709103.2	Well annotated
GPX.3.selenocysteine	cds-NP_001295581.1	Well annotated
GPX.6.selenocysteine	cds-NP_001295584.1	Well annotated
GPX.8.selenocysteine	cds-NP_001295580.1	Well annotated
MSRB.1.selenocysteine	cds-XP_010717834.2	Well annotated
SELENOF.1.selenocysteine	cds-NP_001296204.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_010709493.2	Well annotated
SELENOI.1.selenocysteine	cds-XP_085074368.1	Well annotated
SELENOK.2.selenocysteine	cds-NP_001295588.1	Well annotated
SELENOM.2.selenocysteine	cds-XP_085094705.1	Well annotated
SELENON.5.selenocysteine	cds-XP_085064821.1	Well annotated
SELENOO.2.selenocysteine	cds-XP_085074298.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_010714487.2	Well annotated
SELENOP.1.selenocysteine	cds-XP_019474349.1	Well annotated
SELENOP.4.selenocysteine	cds-XP_085069475.1	Well annotated
SELENOS.5.selenocysteine	cds-XP_010715953.3	Well annotated
SELENOT.2.selenocysteine	cds-XP_085089481.1	Well annotated
SELENOU.6.selenocysteine	cds-XP_010712416.2	Well annotated
SELENOU.6.selenocysteine	cds-XP_085085221.1	Well annotated
TXNRD.10.selenocysteine	cds-XP_085091918.1	Well annotated
TXNRD.18.selenocysteine	cds-XP_085084025.1	Well annotated
TXNRD.18.selenocysteine	cds-XP_085084027.1	Well annotated
TXNRD.18.selenocysteine	cds-XP_085084034.1	Well annotated
TXNRD.29.selenocysteine	cds-XP_085094260.1	Well annotated
