transcript_id	transcript_id_ens	Type_annotation
AhpC.1.selenocysteine	cds-KAK1744314.1	Downstream
AhpC.11.selenocysteine	cds-KAK1740587.1	Downstream
EhSEP2.6.selenocysteine	cds-KAK1743477.1	Downstream
FrnE.2.selenocysteine	cds-KAK1746980.1	Skipped
FrnE.3.selenocysteine	cds-KAK1739137.1	Skipped
GPX.2.selenocysteine	cds-KAK1733019.1	Stop codon
GPX.2.selenocysteine	cds-KAK1733020.1	Out of frame
GPX.2.selenocysteine	cds-KAK1733021.1	Downstream
SELENOK.1.selenocysteine	cds-KAK1740711.1	Stop codon
SELENOM.1.selenocysteine	cds-KAK1745914.1	Skipped
SELENOM.2.selenocysteine	cds-KAK1732504.1	Downstream
SELENOO.1.selenocysteine	cds-KAK1743024.1	Stop codon
SELENOT.2.selenocysteine	cds-KAK1746484.1	Downstream
SELENOU.1.selenocysteine	cds-KAK1741727.1	Downstream
SELENOU.3.selenocysteine	cds-KAK1742550.1	Skipped
SELENOU.4.selenocysteine	cds-KAK1736155.1	Skipped
SELENOU.5.selenocysteine	cds-KAK1735598.1	Downstream
SEPHS2.3.selenocysteine	cds-KAK1745983.1	Downstream
TXNRD.1.selenocysteine	cds-KAK1746171.1	Stop codon
