transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_078464450.1	Well annotated
DIO.4.selenocysteine	cds-XP_078462386.1	Well annotated
GPX.10.selenocysteine	cds-XP_078453874.1	Well annotated
GPX.10.selenocysteine	cds-XP_078453876.1	Well annotated
GPX.13.selenocysteine	cds-XP_078459576.1	Downstream
GPX.18.selenocysteine	cds-XP_078463556.1	Downstream
GPX.18.selenocysteine	cds-XP_078463557.1	Well annotated
GPX.20.selenocysteine	cds-XP_078471376.1	Well annotated
GPX.20.selenocysteine	cds-XP_078471378.1	Well annotated
GPX.3.selenocysteine	cds-XP_078466567.1	Well annotated
GPX.4.selenocysteine	cds-XP_078466566.1	Well annotated
MSRB.5.selenocysteine	cds-XP_078479786.1	Well annotated
MSRB.5.selenocysteine	cds-XP_078479787.1	Well annotated
SELENOF.4.selenocysteine	cds-XP_078459596.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_078451149.1	Stop codon
SELENOJ.2.selenocysteine	cds-XP_078480329.1	Well annotated
SELENOL.3.selenocysteine	cds-XP_078451947.1	Stop codon
SELENON.7.selenocysteine	cds-XP_078456526.1	Well annotated
SELENOO.5.selenocysteine	cds-XP_078465584.1	Well annotated
SELENOP.2.selenocysteine	cds-XP_078478803.1	Well annotated
SELENOT.3.selenocysteine	cds-XP_078477987.1	Well annotated
SELENOT.6.selenocysteine	cds-XP_078472632.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_078453805.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_078453806.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_078453807.1	Well annotated
SELENOU.5.selenocysteine	cds-XP_078453808.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_078448748.1	Well annotated
SEPHS2.5.selenocysteine	cds-XP_078466819.1	Well annotated
