transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSLIRP00010001877	Downstream
DIO.3.selenocysteine	ENSLIRP00010017340	Stop codon
DIO.5.selenocysteine	ENSLIRP00010005106	Downstream
DIO.5.selenocysteine	ENSLIRP00010005119	Upstream
GPX.1.selenocysteine	ENSLIRP00010004723	Skipped
GPX.1.selenocysteine	ENSLIRP00010004729	Skipped
GPX.1.selenocysteine	ENSLIRP00010004733	Skipped
GPX.3.selenocysteine	ENSLIRP00010009853	Skipped
GPX.3.selenocysteine	ENSLIRP00010009859	Skipped
GPX.3.selenocysteine	ENSLIRP00010009865	Skipped
GPX.5.selenocysteine	ENSLIRP00010020394	Downstream
GPX.5.selenocysteine	ENSLIRP00010020400	Downstream
GPX.5.selenocysteine	ENSLIRP00010020408	Skipped
GPX.6.selenocysteine	ENSLIRP00010017392	Well annotated
SELENOF.1.selenocysteine	ENSLIRP00010009331	Skipped
SELENOI.3.selenocysteine	ENSLIRP00010005376	Stop codon
SELENOK.2.selenocysteine	ENSLIRP00010005007	Stop codon
SELENOM.2.selenocysteine	ENSLIRP00010005956	Downstream
SELENON.5.selenocysteine	ENSLIRP00010018476	Skipped
SELENOO.8.selenocysteine	ENSLIRP00010010156	Stop codon
SELENOO.8.selenocysteine	ENSLIRP00010010163	Stop codon
SELENOP.3.selenocysteine	ENSLIRP00010018908	Downstream
SELENOP.3.selenocysteine	ENSLIRP00010018911	Downstream
SELENOS.4.selenocysteine	ENSLIRP00010001818	Stop codon
SELENOT.2.selenocysteine	ENSLIRP00010002475	Downstream
SELENOT.2.selenocysteine	ENSLIRP00010002875	Upstream
SELENOU.6.selenocysteine	ENSLIRP00010000492	Upstream
SEPHS2.10.selenocysteine	ENSLIRP00010022913	Skipped
TXNRD.19.selenocysteine	ENSLIRP00010005518	Upstream
TXNRD.19.selenocysteine	ENSLIRP00010005520	Upstream
TXNRD.19.selenocysteine	ENSLIRP00010005525	Upstream
TXNRD.19.selenocysteine	ENSLIRP00010005532	Upstream
TXNRD.19.selenocysteine	ENSLIRP00010005555	Upstream
TXNRD.19.selenocysteine	ENSLIRP00010005565	Upstream
TXNRD.19.selenocysteine	ENSLIRP00010005574	Upstream
TXNRD.19.selenocysteine	ENSLIRP00010005585	Upstream
TXNRD.30.selenocysteine	ENSLIRP00010006250	Stop codon
TXNRD.5.selenocysteine	ENSLIRP00010002431	Stop codon
