transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_083418962.1	Well annotated
DIO.2.selenocysteine	cds-XP_083407267.1	Well annotated
GPX.12.selenocysteine	cds-XP_083403355.1	Well annotated
GPX.16.selenocysteine	cds-XP_083380927.1	Well annotated
GPX.2.selenocysteine	cds-XP_083383503.1	Well annotated
GPX.20.selenocysteine	cds-XP_083415594.1	Well annotated
GPX.4.selenocysteine	cds-XP_083389608.1	Well annotated
GPX.5.selenocysteine	cds-XP_083406672.1	Well annotated
MSRB.1.selenocysteine	cds-XP_083412169.1	Well annotated
MSRB.6.selenocysteine	cds-XP_083421753.1	Well annotated
MSRB.6.selenocysteine	cds-XP_083421754.1	Well annotated
SELENOE.5.selenocysteine	cds-XP_083382844.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_083404321.1	Well annotated
SELENOH.1.selenocysteine	cds-XP_083416804.1	Well annotated
SELENOI.7.selenocysteine	cds-XP_083426873.1	Well annotated
SELENOI.7.selenocysteine	cds-XP_083426874.1	Well annotated
SELENOK.1.selenocysteine	cds-XP_083411679.1	Stop codon
SELENOM.2.selenocysteine	cds-XP_083382452.1	Well annotated
SELENON.3.selenocysteine	cds-XP_083400832.1	Well annotated
SELENOO.2.selenocysteine	cds-XP_083408058.1	Stop codon
SELENOP.4.selenocysteine	cds-XP_083381062.1	Well annotated
SELENOS.5.selenocysteine	cds-XP_083415659.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_083397485.1	Well annotated
SELENOT.5.selenocysteine	cds-XP_083417652.1	Well annotated
SELENOU.13.selenocysteine	cds-XP_083396436.1	Well annotated
SELENOU.13.selenocysteine	cds-XP_083396437.1	Well annotated
SELENOW.1.selenocysteine	cds-XP_083423279.1	Well annotated
SEPHS2.10.selenocysteine	cds-XP_083377797.1	Well annotated
TXNRD.22.selenocysteine	cds-XP_083383530.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_083384253.1	Stop codon
