transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP06010000002	Downstream
DIO.1.selenocysteine	ENSP06010000003	Well annotated
DIO.3.selenocysteine	ENSP06010007204	Well annotated
DIO.3.selenocysteine	ENSP06010007205	Well annotated
DIO.3.selenocysteine	ENSP06010007207	Upstream
DIO.3.selenocysteine	ENSP06010007208	Out of frame
DIO.3.selenocysteine	ENSP06010007210	Upstream
DIO.3.selenocysteine	ENSP06010007211	Upstream
DIO.3.selenocysteine	ENSP06010007212	Upstream
DIO.4.selenocysteine	ENSP06010073138	Well annotated
DIO.4.selenocysteine	ENSP06010073139	Well annotated
DIO.4.selenocysteine	ENSP06010073140	Well annotated
DIO.4.selenocysteine	ENSP06010073141	Out of frame
DIO.4.selenocysteine	ENSP06010073142	Out of frame
DIO.4.selenocysteine	ENSP06010073143	Upstream
DIO.4.selenocysteine	ENSP06010073144	Out of frame
DIO.4.selenocysteine	ENSP06010073145	Skipped
DIO.4.selenocysteine	ENSP06010073146	Downstream
DIO.4.selenocysteine	ENSP06010073147	Well annotated
DIO.4.selenocysteine	ENSP06010073148	Upstream
DIO.4.selenocysteine	ENSP06010073149	Upstream
GPX.11.selenocysteine	ENSP06010020688	Well annotated
GPX.11.selenocysteine	ENSP06010020689	Well annotated
GPX.11.selenocysteine	ENSP06010020690	Well annotated
GPX.11.selenocysteine	ENSP06010020691	Well annotated
GPX.11.selenocysteine	ENSP06010020692	Well annotated
GPX.11.selenocysteine	ENSP06010020693	Well annotated
GPX.11.selenocysteine	ENSP06010020694	Well annotated
GPX.11.selenocysteine	ENSP06010020695	Downstream
GPX.11.selenocysteine	ENSP06010020696	Well annotated
GPX.11.selenocysteine	ENSP06010020697	Well annotated
GPX.11.selenocysteine	ENSP06010020698	Well annotated
GPX.11.selenocysteine	ENSP06010020699	Downstream
GPX.16.selenocysteine	ENSP06010065955	Well annotated
GPX.16.selenocysteine	ENSP06010065956	Well annotated
GPX.16.selenocysteine	ENSP06010065957	Upstream
GPX.16.selenocysteine	ENSP06010065958	Upstream
GPX.16.selenocysteine	ENSP06010065959	Out of frame
GPX.18.selenocysteine	ENSP06010064241	Well annotated
GPX.18.selenocysteine	ENSP06010064242	Well annotated
GPX.3.selenocysteine	ENSP06010094534	Well annotated
GPX.3.selenocysteine	ENSP06010094537	Well annotated
GPX.3.selenocysteine	ENSP06010094540	Skipped
GPX.3.selenocysteine	ENSP06010094542	Well annotated
GPX.3.selenocysteine	ENSP06010094545	Well annotated
GPX.3.selenocysteine	ENSP06010094546	Well annotated
GPX.3.selenocysteine	ENSP06010094548	Skipped
GPX.3.selenocysteine	ENSP06010094550	Well annotated
GPX.3.selenocysteine	ENSP06010094552	Well annotated
GPX.3.selenocysteine	ENSP06010094554	Well annotated
GPX.3.selenocysteine	ENSP06010094557	Well annotated
GPX.3.selenocysteine	ENSP06010094559	Upstream
GPX.3.selenocysteine	ENSP06010094561	Well annotated
GPX.3.selenocysteine	ENSP06010094563	Well annotated
GPX.5.selenocysteine	ENSP06010020799	Well annotated
GPX.5.selenocysteine	ENSP06010020800	Well annotated
GPX.5.selenocysteine	ENSP06010020801	Skipped
GPX.5.selenocysteine	ENSP06010020802	Well annotated
MSRB.2.selenocysteine	ENSP06010066501	Well annotated
MSRB.2.selenocysteine	ENSP06010066503	Upstream
MSRB.2.selenocysteine	ENSP06010066504	Out of frame
MSRB.2.selenocysteine	ENSP06010066505	Out of frame
SELENOF.3.selenocysteine	ENSP06010048223	Well annotated
SELENOF.3.selenocysteine	ENSP06010048225	Well annotated
SELENOF.3.selenocysteine	ENSP06010048227	Well annotated
SELENOF.3.selenocysteine	ENSP06010048230	Out of frame
SELENOF.3.selenocysteine	ENSP06010048232	Out of frame
SELENOH.2.selenocysteine	ENSP06010058833	Well annotated
SELENOH.2.selenocysteine	ENSP06010058835	Well annotated
SELENOH.2.selenocysteine	ENSP06010058836	Out of frame
SELENOI.3.selenocysteine	ENSP06010025877	Upstream
SELENOI.3.selenocysteine	ENSP06010025878	Well annotated
SELENOI.3.selenocysteine	ENSP06010025879	Upstream
SELENOK.7.selenocysteine	ENSP06010095276	Well annotated
SELENOK.7.selenocysteine	ENSP06010095277	Out of frame
SELENOM.2.selenocysteine	ENSP06010079564	Well annotated
SELENOM.2.selenocysteine	ENSP06010079565	Well annotated
SELENON.4.selenocysteine	ENSP06010065483	Well annotated
SELENON.4.selenocysteine	ENSP06010065484	Well annotated
SELENON.4.selenocysteine	ENSP06010065485	Well annotated
SELENON.4.selenocysteine	ENSP06010065486	Well annotated
SELENOO.7.selenocysteine	ENSP06010098855	Well annotated
SELENOP.3.selenocysteine	ENSP06010030272	Well annotated
SELENOP.3.selenocysteine	ENSP06010030273	Well annotated
SELENOP.3.selenocysteine	ENSP06010030274	Well annotated
SELENOP.3.selenocysteine	ENSP06010030275	Well annotated
SELENOP.3.selenocysteine	ENSP06010030276	Well annotated
SELENOP.3.selenocysteine	ENSP06010030277	Well annotated
SELENOS.2.selenocysteine	ENSP06010091862	Well annotated
SELENOS.2.selenocysteine	ENSP06010091863	Well annotated
SELENOS.2.selenocysteine	ENSP06010091864	Well annotated
SELENOS.2.selenocysteine	ENSP06010091865	Upstream
SELENOT.5.selenocysteine	ENSP06010046085	Downstream
SELENOT.5.selenocysteine	ENSP06010046086	Downstream
SELENOT.5.selenocysteine	ENSP06010046087	Well annotated
SELENOT.5.selenocysteine	ENSP06010046088	Upstream
SELENOT.5.selenocysteine	ENSP06010046089	Downstream
SELENOW.3.selenocysteine	ENSP06010017365	Well annotated
SELENOW.4.selenocysteine	ENSP06010087361	Well annotated
SELENOW.4.selenocysteine	ENSP06010087362	Well annotated
SELENOW.4.selenocysteine	ENSP06010087363	Well annotated
SELENOW.4.selenocysteine	ENSP06010087364	Well annotated
SEPHS2.1.selenocysteine	ENSP06010036241	Well annotated
TXNRD.10.selenocysteine	ENSP06010110519	Upstream
TXNRD.10.selenocysteine	ENSP06010110520	Well annotated
TXNRD.10.selenocysteine	ENSP06010110521	Upstream
TXNRD.10.selenocysteine	ENSP06010110522	Upstream
TXNRD.10.selenocysteine	ENSP06010110523	Well annotated
TXNRD.10.selenocysteine	ENSP06010110524	Upstream
TXNRD.10.selenocysteine	ENSP06010110525	Upstream
TXNRD.10.selenocysteine	ENSP06010110526	Upstream
TXNRD.10.selenocysteine	ENSP06010110527	Well annotated
TXNRD.10.selenocysteine	ENSP06010110528	Well annotated
TXNRD.10.selenocysteine	ENSP06010110529	Upstream
TXNRD.10.selenocysteine	ENSP06010110530	Well annotated
TXNRD.10.selenocysteine	ENSP06010110531	Well annotated
TXNRD.10.selenocysteine	ENSP06010110532	Upstream
TXNRD.10.selenocysteine	ENSP06010110533	Well annotated
TXNRD.13.selenocysteine	ENSP06010110200	Well annotated
TXNRD.13.selenocysteine	ENSP06010110201	Well annotated
TXNRD.34.selenocysteine	ENSP06010014774	Well annotated
TXNRD.34.selenocysteine	ENSP06010014775	Well annotated
TXNRD.34.selenocysteine	ENSP06010014776	Out of frame
TXNRD.34.selenocysteine	ENSP06010014777	Well annotated
TXNRD.34.selenocysteine	ENSP06010014778	Well annotated
TXNRD.34.selenocysteine	ENSP06010014779	Well annotated
TXNRD.34.selenocysteine	ENSP06010014780	Well annotated
TXNRD.34.selenocysteine	ENSP06010014781	Well annotated
TXNRD.34.selenocysteine	ENSP06010014782	Well annotated
TXNRD.34.selenocysteine	ENSP06010014783	Well annotated
TXNRD.34.selenocysteine	ENSP06010014784	Upstream
TXNRD.34.selenocysteine	ENSP06010014785	Upstream
