transcript_id	transcript_id_ens	Type_annotation
DIO.17.selenocysteine	ENSWCJP00000041946	Stop codon
DIO.18.selenocysteine	ENSWCJP00000042315	Skipped
DIO.19.selenocysteine	ENSWCJP00000042079	Skipped
DIO.27.selenocysteine	ENSWCJP00000029386	Skipped
GPX.11.selenocysteine	ENSWCJP00000027021	Downstream
GPX.16.selenocysteine	ENSWCJP00000048833	Stop codon
GPX.16.selenocysteine	ENSWCJP00000048842	Skipped
GPX.16.selenocysteine	ENSWCJP00000048854	Stop codon
GPX.5.selenocysteine	ENSWCJP00000031277	Skipped
GPX.5.selenocysteine	ENSWCJP00000031303	Downstream
GPX.6.selenocysteine	ENSWCJP00000015232	Skipped
GPX.7.selenocysteine	ENSWCJP00000014847	Skipped
MSRB.8.selenocysteine	ENSWCJP00000039235	Stop codon
MsrA.3.selenocysteine	ENSWCJP00000030928	Downstream
MsrA.3.selenocysteine	ENSWCJP00000030933	Downstream
SELENOF.1.selenocysteine	ENSWCJP00000027541	Skipped
SELENOH.1.selenocysteine	ENSWCJP00000041612	Downstream
SELENOL.2.selenocysteine	ENSWCJP00000003848	Skipped
SELENOL.2.selenocysteine	ENSWCJP00000003857	Stop codon
SELENON.3.selenocysteine	ENSWCJP00000050453	Stop codon
SELENON.3.selenocysteine	ENSWCJP00000050461	Skipped
SELENON.3.selenocysteine	ENSWCJP00000050475	Skipped
SELENOO.1.selenocysteine	ENSWCJP00000001987	Stop codon
SELENOO.1.selenocysteine	ENSWCJP00000001997	Stop codon
SELENOO.1.selenocysteine	ENSWCJP00000002019	Stop codon
SELENOP.2.selenocysteine	ENSWCJP00000019472	Downstream
SELENOP.2.selenocysteine	ENSWCJP00000019478	Downstream
SELENOP.2.selenocysteine	ENSWCJP00000019493	Downstream
SELENOT.1.selenocysteine	ENSWCJP00000042974	Downstream
SELENOU.5.selenocysteine	ENSWCJP00000020162	Downstream
SELENOU.5.selenocysteine	ENSWCJP00000020168	Skipped
SELENOU.6.selenocysteine	ENSWCJP00000034599	Skipped
SELENOU.6.selenocysteine	ENSWCJP00000034613	Skipped
SELENOU.6.selenocysteine	ENSWCJP00000034619	Downstream
SELENOW.1.selenocysteine	ENSWCJP00000029724	Downstream
SEPHS2.1.selenocysteine	ENSWCJP00000005536	Skipped
TXNRD.25.selenocysteine	ENSWCJP00000039189	Upstream
TXNRD.25.selenocysteine	ENSWCJP00000039212	Stop codon
