transcript_id	transcript_id_ens	Type_annotation
DIO.13.selenocysteine	ENSKKQP00000003482	Skipped
DIO.13.selenocysteine	ENSKKQP00000003491	Downstream
DIO.14.selenocysteine	ENSKKQP00000004902	Skipped
DIO.3.selenocysteine	ENSKKQP00000026717	Skipped
DIO.3.selenocysteine	ENSKKQP00000026726	Downstream
GPX.2.selenocysteine	ENSKKQP00000025717	Skipped
GPX.4.selenocysteine	ENSKKQP00000023765	Skipped
GPX.4.selenocysteine	ENSKKQP00000023772	Downstream
GPX.4.selenocysteine	ENSKKQP00000023776	Downstream
GPX.5.selenocysteine	ENSKKQP00000038939	Skipped
GPX.7.selenocysteine	ENSKKQP00000017907	Skipped
GPX.7.selenocysteine	ENSKKQP00000017917	Skipped
MSRB.8.selenocysteine	ENSKKQP00000033222	Skipped
MSRB.8.selenocysteine	ENSKKQP00000033233	Stop codon
MsrA.2.selenocysteine	ENSKKQP00000028660	Skipped
MsrA.2.selenocysteine	ENSKKQP00000028676	Downstream
SELENOF.1.selenocysteine	ENSKKQP00000004384	Stop codon
SELENOF.1.selenocysteine	ENSKKQP00000004390	Skipped
SELENOH.2.selenocysteine	ENSKKQP00000043809	Downstream
SELENOL.3.selenocysteine	ENSKKQP00000011596	Skipped
SELENON.4.selenocysteine	ENSKKQP00000013204	Stop codon
SELENON.4.selenocysteine	ENSKKQP00000013217	Skipped
SELENON.4.selenocysteine	ENSKKQP00000013231	Skipped
SELENOO.6.selenocysteine	ENSKKQP00000044086	Stop codon
SELENOO.6.selenocysteine	ENSKKQP00000044101	Stop codon
SELENOO.6.selenocysteine	ENSKKQP00000044113	Stop codon
SELENOT.1.selenocysteine	ENSKKQP00000009771	Downstream
SELENOT.1.selenocysteine	ENSKKQP00000009781	Downstream
SELENOU.2.selenocysteine	ENSKKQP00000005701	Downstream
SELENOU.2.selenocysteine	ENSKKQP00000005705	Skipped
SELENOU.2.selenocysteine	ENSKKQP00000005717	Downstream
SELENOU.2.selenocysteine	ENSKKQP00000005722	Downstream
SELENOU.4.selenocysteine	ENSKKQP00000034761	Skipped
SEPHS2.1.selenocysteine	ENSKKQP00000029212	Skipped
SEPHS2.1.selenocysteine	ENSKKQP00000029222	Downstream
TXNRD.12.selenocysteine	ENSKKQP00000041884	Stop codon
TXNRD.12.selenocysteine	ENSKKQP00000041894	Stop codon
TXNRD.12.selenocysteine	ENSKKQP00000041904	Stop codon
TXNRD.12.selenocysteine	ENSKKQP00000041912	Stop codon
TXNRD.12.selenocysteine	ENSKKQP00000041921	Stop codon
TXNRD.12.selenocysteine	ENSKKQP00000041935	Stop codon
TXNRD.3.selenocysteine	ENSKKQP00000032544	Stop codon
TXNRD.3.selenocysteine	ENSKKQP00000032551	Stop codon
