transcript_id	transcript_id_ens	Type_annotation
DIO.2.selenocysteine	ENSGACP00010009084	Downstream
DIO.2.selenocysteine	ENSGACP00010009088	Stop codon
GPX.10.selenocysteine	ENSGACP00010039483	Stop codon
GPX.10.selenocysteine	ENSGACP00010039484	Downstream
GPX.19.selenocysteine	ENSGACP00010004630	Skipped
GPX.2.selenocysteine	ENSGACP00010032488	Downstream
GPX.20.selenocysteine	ENSGACP00010012796	Stop codon
GPX.4.selenocysteine	ENSGACP00010028858	Downstream
GPX.4.selenocysteine	ENSGACP00010028859	Downstream
GPX.6.selenocysteine	ENSGACP00010041483	Downstream
GPX.6.selenocysteine	ENSGACP00010041493	Downstream
GPX.6.selenocysteine	ENSGACP00010041501	Skipped
GPX.7.selenocysteine	ENSGACP00010009626	Stop codon
GPX.7.selenocysteine	ENSGACP00010009631	Downstream
MSRB.1.selenocysteine	ENSGACP00010012912	Stop codon
MSRB.3.selenocysteine	ENSGACP00010007672	Stop codon
MSRB.5.selenocysteine	ENSGACP00010007676	Stop codon
SELENOF.1.selenocysteine	ENSGACP00010001957	Skipped
SELENOF.1.selenocysteine	ENSGACP00010001959	Skipped
SELENOH.1.selenocysteine	ENSGACP00010041443	Skipped
SELENOI.6.selenocysteine	ENSGACP00010022751	Stop codon
SELENOI.6.selenocysteine	ENSGACP00010022758	Stop codon
SELENOI.6.selenocysteine	ENSGACP00010022759	Stop codon
SELENOI.6.selenocysteine	ENSGACP00010022779	Skipped
SELENOI.6.selenocysteine	ENSGACP00010022798	Upstream
SELENOI.6.selenocysteine	ENSGACP00010022823	Upstream
SELENOK.1.selenocysteine	ENSGACP00010035035	Stop codon
SELENOM.2.selenocysteine	ENSGACP00010005604	Downstream
SELENON.8.selenocysteine	ENSGACP00010011519	Skipped
SELENOO.3.selenocysteine	ENSGACP00010043993	Stop codon
SELENOO.3.selenocysteine	ENSGACP00010043995	Stop codon
SELENOO.3.selenocysteine	ENSGACP00010043998	Upstream
SELENOP.1.selenocysteine	ENSGACP00010029004	Skipped
SELENOT.4.selenocysteine	ENSGACP00010024300	Skipped
SELENOT.4.selenocysteine	ENSGACP00010024303	Downstream
SELENOT.7.selenocysteine	ENSGACP00010021512	Skipped
SELENOU.11.selenocysteine	ENSGACP00010040857	Stop codon
SELENOU.6.selenocysteine	ENSGACP00010037703	Skipped
SELENOU.6.selenocysteine	ENSGACP00010037704	Downstream
SELENOW.2.selenocysteine	ENSGACP00010046945	Downstream
TXNRD.10.selenocysteine	ENSGACP00010002719	Stop codon
TXNRD.10.selenocysteine	ENSGACP00010002720	Stop codon
TXNRD.10.selenocysteine	ENSGACP00010002732	Stop codon
TXNRD.10.selenocysteine	ENSGACP00010002733	Stop codon
TXNRD.10.selenocysteine	ENSGACP00010002735	Stop codon
TXNRD.10.selenocysteine	ENSGACP00010002743	Stop codon
TXNRD.10.selenocysteine	ENSGACP00010002795	Stop codon
TXNRD.10.selenocysteine	ENSGACP00010002797	Stop codon
TXNRD.10.selenocysteine	ENSGACP00010002855	Skipped
TXNRD.10.selenocysteine	ENSGACP00010002907	Stop codon
TXNRD.9.selenocysteine	ENSGACP00010016633	Stop codon
TXNRD.9.selenocysteine	ENSGACP00010016764	Stop codon
TXNRD.9.selenocysteine	ENSGACP00010016765	Stop codon
TXNRD.9.selenocysteine	ENSGACP00010016929	Skipped
TXNRD.9.selenocysteine	ENSGACP00010016931	Skipped
TXNRD.9.selenocysteine	ENSGACP00010016937	Skipped
TXNRD.9.selenocysteine	ENSGACP00010017085	Upstream
TXNRD.9.selenocysteine	ENSGACP00010017086	Upstream
TXNRD.9.selenocysteine	ENSGACP00010017090	Upstream
TXNRD.9.selenocysteine	ENSGACP00010017097	Upstream
