transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSEEEP00000009873	Stop codon
DIO.1.selenocysteine	ENSEEEP00000009874	Downstream
DIO.2.selenocysteine	ENSEEEP00000018557	Downstream
DIO.2.selenocysteine	ENSEEEP00000018558	Stop codon
DIO.3.selenocysteine	ENSEEEP00000011280	Skipped
DIO.5.selenocysteine	ENSEEEP00000027749	Skipped
GPX.14.selenocysteine	ENSEEEP00000013420	Skipped
GPX.14.selenocysteine	ENSEEEP00000013424	Skipped
GPX.14.selenocysteine	ENSEEEP00000013425	Skipped
GPX.14.selenocysteine	ENSEEEP00000013448	Skipped
GPX.14.selenocysteine	ENSEEEP00000013454	Skipped
GPX.14.selenocysteine	ENSEEEP00000013488	Downstream
GPX.14.selenocysteine	ENSEEEP00000013489	Downstream
GPX.16.selenocysteine	ENSEEEP00000048769	Downstream
GPX.16.selenocysteine	ENSEEEP00000048770	Stop codon
GPX.18.selenocysteine	ENSEEEP00000047472	Out of frame
GPX.2.selenocysteine	ENSEEEP00000020198	Downstream
GPX.20.selenocysteine	ENSEEEP00000016033	Downstream
GPX.20.selenocysteine	ENSEEEP00000016035	Downstream
GPX.20.selenocysteine	ENSEEEP00000016037	Stop codon
GPX.4.selenocysteine	ENSEEEP00000052146	Downstream
GPX.5.selenocysteine	ENSEEEP00000004289	Skipped
MSRB.5.selenocysteine	ENSEEEP00000008768	Stop codon
MSRB.7.selenocysteine	ENSEEEP00000018537	Stop codon
SELENOF.1.selenocysteine	ENSEEEP00000045159	Stop codon
SELENOF.1.selenocysteine	ENSEEEP00000045160	Skipped
SELENOF.1.selenocysteine	ENSEEEP00000045161	Skipped
SELENOH.1.selenocysteine	ENSEEEP00000032172	Skipped
SELENOI.5.selenocysteine	ENSEEEP00000004092	Stop codon
SELENOI.5.selenocysteine	ENSEEEP00000004108	Stop codon
SELENOI.5.selenocysteine	ENSEEEP00000004110	Stop codon
SELENOI.5.selenocysteine	ENSEEEP00000004113	Skipped
SELENOJ.3.selenocysteine	ENSEEEP00000033664	Skipped
SELENOK.1.selenocysteine	ENSEEEP00000002806	Stop codon
SELENOM.2.selenocysteine	ENSEEEP00000008855	Downstream
SELENON.8.selenocysteine	ENSEEEP00000042249	Skipped
SELENOO.1.selenocysteine	ENSEEEP00000024896	Stop codon
SELENOO.1.selenocysteine	ENSEEEP00000024898	Stop codon
SELENOO.1.selenocysteine	ENSEEEP00000024899	Stop codon
SELENOP.1.selenocysteine	ENSEEEP00000043434	Skipped
SELENOP.5.selenocysteine	ENSEEEP00000046123	Downstream
SELENOS.5.selenocysteine	ENSEEEP00000032141	Stop codon
SELENOT.10.selenocysteine	ENSEEEP00000023776	Skipped
SELENOT.3.selenocysteine	ENSEEEP00000048556	Downstream
SELENOT.6.selenocysteine	ENSEEEP00000036257	Skipped
SELENOU.5.selenocysteine	ENSEEEP00000030882	Stop codon
SELENOU.5.selenocysteine	ENSEEEP00000030884	Downstream
SELENOU.7.selenocysteine	ENSEEEP00000016020	Skipped
SELENOU.7.selenocysteine	ENSEEEP00000016022	Downstream
SELENOW.2.selenocysteine	ENSEEEP00000003425	Downstream
SELENOW.3.selenocysteine	ENSEEEP00000009877	Skipped
SEPHS2.10.selenocysteine	ENSEEEP00000037284	Downstream
SEPHS2.10.selenocysteine	ENSEEEP00000037286	Downstream
TXNRD.1.selenocysteine	ENSEEEP00000007740	Stop codon
TXNRD.1.selenocysteine	ENSEEEP00000007764	Stop codon
TXNRD.1.selenocysteine	ENSEEEP00000007769	Stop codon
TXNRD.1.selenocysteine	ENSEEEP00000007773	Stop codon
TXNRD.1.selenocysteine	ENSEEEP00000007785	Stop codon
TXNRD.1.selenocysteine	ENSEEEP00000007786	Stop codon
TXNRD.1.selenocysteine	ENSEEEP00000007787	Stop codon
TXNRD.1.selenocysteine	ENSEEEP00000007840	Skipped
TXNRD.1.selenocysteine	ENSEEEP00000007845	Skipped
TXNRD.1.selenocysteine	ENSEEEP00000007846	Skipped
TXNRD.22.selenocysteine	ENSEEEP00000027045	Stop codon
TXNRD.22.selenocysteine	ENSEEEP00000027046	Stop codon
