transcript_id	transcript_id_ens	Type_annotation
DIO.3.selenocysteine	ENSCAFP00030045802	Stop codon
DIO.5.selenocysteine	ENSCAFP00030005635	Well annotated
GPX.1.selenocysteine	ENSCAFP00030010568	Downstream
GPX.10.selenocysteine	ENSCAFP00030029461	Skipped
GPX.11.selenocysteine	ENSCAFP00030023455	Downstream
GPX.13.selenocysteine	ENSCAFP00030030196	Downstream
GPX.16.selenocysteine	ENSCAFP00030035125	Downstream
GPX.5.selenocysteine	ENSCAFP00030005374	Stop codon
MSRB.1.selenocysteine	ENSCAFP00030032019	Stop codon
SELENOF.3.selenocysteine	ENSCAFP00030028844	Skipped
SELENOI.3.selenocysteine	ENSCAFP00030008532	Stop codon
SELENOI.3.selenocysteine	ENSCAFP00030008555	Stop codon
SELENOK.1.selenocysteine	ENSCAFP00030042962	Stop codon
SELENOK.3.selenocysteine	ENSCAFP00030041422	Stop codon
SELENOM.1.selenocysteine	ENSCAFP00030030336	Skipped
SELENON.1.selenocysteine	ENSCAFP00030026512	Skipped
SELENON.1.selenocysteine	ENSCAFP00030050162	Downstream
SELENOO.4.selenocysteine	ENSCAFP00030018249	Stop codon
SELENOS.2.selenocysteine	ENSCAFP00030003255	Stop codon
SELENOT.2.selenocysteine	ENSCAFP00030017216	Skipped
SELENOT.2.selenocysteine	ENSCAFP00030049003	Skipped
SELENOW.2.selenocysteine	ENSCAFP00030015931	Skipped
SELENOW.2.selenocysteine	ENSCAFP00030015997	Skipped
SELENOW.3.selenocysteine	ENSCAFP00030048445	Skipped
SELENOW.3.selenocysteine	ENSCAFP00030050669	Skipped
SEPHS2.1.selenocysteine	ENSCAFP00030045517	Downstream
TXNRD.14.selenocysteine	ENSCAFP00030040553	Stop codon
TXNRD.14.selenocysteine	ENSCAFP00030040601	Stop codon
TXNRD.14.selenocysteine	ENSCAFP00030040643	Upstream
TXNRD.14.selenocysteine	ENSCAFP00030040675	Stop codon
TXNRD.14.selenocysteine	ENSCAFP00030045270	Stop codon
TXNRD.22.selenocysteine	ENSCAFP00030015923	Stop codon
TXNRD.22.selenocysteine	ENSCAFP00030016013	Stop codon
TXNRD.22.selenocysteine	ENSCAFP00030016074	Stop codon
TXNRD.22.selenocysteine	ENSCAFP00030016158	Stop codon
TXNRD.38.selenocysteine	ENSCAFP00030031814	Stop codon
TXNRD.38.selenocysteine	ENSCAFP00030032067	Stop codon
TXNRD.38.selenocysteine	ENSCAFP00030032112	Stop codon
TXNRD.38.selenocysteine	ENSCAFP00030032278	Stop codon
