transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	ENSP02680000002	Downstream
DIO.1.selenocysteine	ENSP02680000003	Well annotated
DIO.3.selenocysteine	ENSP02680021782	Well annotated
DIO.3.selenocysteine	ENSP02680021847	Well annotated
DIO.3.selenocysteine	ENSP02680022041	Upstream
DIO.3.selenocysteine	ENSP02680022135	Out of frame
DIO.3.selenocysteine	ENSP02680022297	Upstream
DIO.3.selenocysteine	ENSP02680022420	Upstream
DIO.3.selenocysteine	ENSP02680022469	Upstream
DIO.4.selenocysteine	ENSP02680050221	Well annotated
DIO.4.selenocysteine	ENSP02680050343	Well annotated
DIO.4.selenocysteine	ENSP02680050489	Well annotated
DIO.4.selenocysteine	ENSP02680050585	Out of frame
DIO.4.selenocysteine	ENSP02680050694	Out of frame
DIO.4.selenocysteine	ENSP02680050806	Upstream
DIO.4.selenocysteine	ENSP02680050962	Out of frame
DIO.4.selenocysteine	ENSP02680051111	Skipped
DIO.4.selenocysteine	ENSP02680051220	Downstream
DIO.4.selenocysteine	ENSP02680051364	Well annotated
DIO.4.selenocysteine	ENSP02680051476	Upstream
DIO.4.selenocysteine	ENSP02680051604	Upstream
GPX.12.selenocysteine	ENSP02680059137	Well annotated
GPX.12.selenocysteine	ENSP02680059360	Well annotated
GPX.12.selenocysteine	ENSP02680059517	Upstream
GPX.12.selenocysteine	ENSP02680059633	Upstream
GPX.12.selenocysteine	ENSP02680059787	Out of frame
GPX.20.selenocysteine	ENSP02680000313	Well annotated
GPX.20.selenocysteine	ENSP02680000316	Well annotated
GPX.25.selenocysteine	ENSP02680011935	Well annotated
GPX.25.selenocysteine	ENSP02680012030	Well annotated
GPX.25.selenocysteine	ENSP02680012140	Well annotated
GPX.25.selenocysteine	ENSP02680012225	Well annotated
GPX.25.selenocysteine	ENSP02680012320	Well annotated
GPX.25.selenocysteine	ENSP02680012407	Well annotated
GPX.25.selenocysteine	ENSP02680012521	Well annotated
GPX.25.selenocysteine	ENSP02680012615	Downstream
GPX.25.selenocysteine	ENSP02680012702	Well annotated
GPX.25.selenocysteine	ENSP02680012804	Well annotated
GPX.25.selenocysteine	ENSP02680012847	Well annotated
GPX.25.selenocysteine	ENSP02680013039	Downstream
GPX.3.selenocysteine	ENSP02680100381	Well annotated
GPX.3.selenocysteine	ENSP02680100402	Well annotated
GPX.3.selenocysteine	ENSP02680100426	Skipped
GPX.3.selenocysteine	ENSP02680100442	Well annotated
GPX.3.selenocysteine	ENSP02680100455	Well annotated
GPX.3.selenocysteine	ENSP02680100479	Well annotated
GPX.3.selenocysteine	ENSP02680100494	Skipped
GPX.3.selenocysteine	ENSP02680100509	Well annotated
GPX.3.selenocysteine	ENSP02680100533	Well annotated
GPX.3.selenocysteine	ENSP02680100554	Well annotated
GPX.3.selenocysteine	ENSP02680100573	Well annotated
GPX.3.selenocysteine	ENSP02680100607	Upstream
