transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-KAN7408948.1	Well annotated
DIO.3.selenocysteine	cds-KAN7406607.1	Well annotated
DIO.5.selenocysteine	cds-KAN7372471.1	Well annotated
GPX.13.selenocysteine	cds-KAN7408412.1	Well annotated
GPX.2.selenocysteine	cds-KAN7423075.1	Well annotated
GPX.4.selenocysteine	cds-KAN7420860.1	Well annotated
GPX.7.selenocysteine	cds-KAN7408967.1	Well annotated
MSRB.1.selenocysteine	cds-KAN7421386.1	Well annotated
SELENOF.3.selenocysteine	cds-KAN7371755.1	Well annotated
SELENOH.3.selenocysteine	cds-KAN7345225.1	Well annotated
SELENOI.3.selenocysteine	cds-KAN7407303.1	Well annotated
SELENOK.1.selenocysteine	cds-KAN7424434.1	Stop codon
SELENON.2.selenocysteine	cds-KAN7388090.1	Well annotated
SELENON.4.selenocysteine	cds-KAN7388301.1	Stop codon
SELENON.4.selenocysteine	cds-KAN7388302.1	Stop codon
SELENON.8.selenocysteine	cds-KAN7388300.1	Stop codon
SELENOO.3.selenocysteine	cds-KAN7353633.1	Stop codon
SELENOP.3.selenocysteine	cds-KAN7423874.1	Well annotated
SELENOP.3.selenocysteine	cds-KAN7423875.1	Well annotated
SELENOP.4.selenocysteine	cds-KAN7369880.1	Well annotated
SELENOS.10.selenocysteine	cds-KAN7409322.1	Stop codon
SELENOS.10.selenocysteine	cds-KAN7409323.1	Stop codon
SELENOS.10.selenocysteine	cds-KAN7409324.1	Stop codon
SELENOT.4.selenocysteine	cds-KAN7390340.1	Well annotated
SELENOT.4.selenocysteine	cds-KAN7390341.1	Well annotated
SEPHS2.1.selenocysteine	cds-KAN7418815.1	Well annotated
TXNRD.12.selenocysteine	cds-KAN7420994.1	Stop codon
TXNRD.12.selenocysteine	cds-KAN7420995.1	Stop codon
TXNRD.18.selenocysteine	cds-KAN7419738.1	Stop codon
TXNRD.18.selenocysteine	cds-KAN7419739.1	Stop codon
TXNRD.22.selenocysteine	cds-KAN7354535.1	Stop codon
TXNRD.22.selenocysteine	cds-KAN7354536.1	Stop codon
