transcript_id	transcript_id_ens	Type_annotation
DIO.1.selenocysteine	cds-XP_048830337.1	Well annotated
DIO.3.selenocysteine	cds-XP_048830021.1	Well annotated
GPX.15.selenocysteine	cds-XP_048885093.1	Well annotated
GPX.16.selenocysteine	cds-XP_048844990.1	Well annotated
GPX.2.selenocysteine	cds-XP_048878549.1	Well annotated
GPX.21.selenocysteine	cds-XP_048843731.1	Downstream
GPX.4.selenocysteine	cds-XP_048830451.1	Well annotated
GPX.6.selenocysteine	cds-XP_048874315.1	Well annotated
MSRB.10.selenocysteine	cds-XP_048847852.1	Well annotated
MSRB.12.selenocysteine	cds-XP_048870861.1	Well annotated
SELENOE.4.selenocysteine	cds-XP_048860656.1	Well annotated
SELENOF.1.selenocysteine	cds-XP_048845043.1	Well annotated
SELENOH.2.selenocysteine	cds-XP_048826647.1	Well annotated
SELENOI.3.selenocysteine	cds-XP_048841078.1	Well annotated
SELENOL.3.selenocysteine	cds-XP_048841620.1	Well annotated
SELENOM.1.selenocysteine	cds-XP_048836830.1	Well annotated
SELENON.1.selenocysteine	cds-XP_048829777.1	Well annotated
SELENOO.1.selenocysteine	cds-XP_048863256.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_048845954.1	Well annotated
SELENOP.1.selenocysteine	cds-XP_048845955.1	Well annotated
SELENOS.2.selenocysteine	cds-XP_048886984.1	Stop codon
SELENOT.3.selenocysteine	cds-XP_048883545.1	Well annotated
SELENOT.5.selenocysteine	cds-XP_048836768.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_048863191.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_048863192.1	Well annotated
SELENOU.7.selenocysteine	cds-XP_048863193.1	Well annotated
SELENOW.2.selenocysteine	cds-XP_048869415.1	Well annotated
SELENOW.4.selenocysteine	cds-XP_048869416.1	Well annotated
SEPHS2.5.selenocysteine	cds-XP_048879817.1	Downstream
TXNRD.25.selenocysteine	cds-XP_048857211.1	Stop codon
TXNRD.3.selenocysteine	cds-XP_048858389.1	Stop codon
